uri;V99c;titre;Description;libellé français;Liste des ressources;libellé anglais;Modèle conceptuel;définition français;Licence;English definition;Créateur;English definition source;Publication;commentaire;Date de création;note supplémentaire;Date de modification;exemples;est contenu par;Son équivalent dans HAL;cette ressource dans ISTEX
"ark:/67375/XTP-1JC4F85T-7";"Types de contenu";"research-article";"Ce jeu correspond au choix de documenter des données ISTEX et plus particulièrement les types de contenu utilisés dans ISTEX.
 
Ils ont fait l'objet d'une homogénéisation opérée par l'équipe ISTEX-DATA et d'un alignement avec le jeu de données types de publication. 

Ces types permettent de retranscrire la structuration initiale de l'ouvrage.";"papier de recherche";"/api/run/syndication";"research article";"https://docs.google.com/drawings/d/1rtQ5_GT9QIHKzEjXU5vzSiAnmcu-hdNuyuEArOwUEU4/pub?w=960&h=720";"Il s’agit d’une source primaire. L’article rapporte les résultats de travaux de recherche originaux. Un article de recherche est composé d’un titre, résumé, introduction, méthodologie, résultats, discussion et références.";"https://www.etalab.gouv.fr/licence-ouverte-open-licence";"Primary source. Article reporting on primary research (The related value “review-article” describes a literature review, research summary, or state-of-the-art article).";"Inist-CNRS";"http://dtd.nlm.nih.gov/archiving/tag-library/3.0/index.html?attr=article-type";"Plateforme ISTEX";"Le type 'research-article' regroupe différents intitulés qui varient selon l'éditeur, la discipline, voire la revue. ";"2017-10-02";"Cette catégorisation émane du type d'article original fourni par l'éditeur. 

Attention, rien ne vaut la lecture d'un article pour en mesurer le contenu et la qualité ! ";"2018-12-06";"original paper, research, categtxt,";"https://publication-type.data.istex.fr/ark:/67375/JMC-0GLKJH51-B,https://publication-type.data.istex.fr/ark:/67375/JMC-5WTPMB5N-F,https://publication-type.data.istex.fr/ark:/67375/JMC-0G6R5W5T-Z";"";"genre.raw:""research-article"""
"ark:/67375/XTP-29919SZJ-6";"Types de contenu";"case-report";"Ce jeu correspond au choix de documenter des données ISTEX et plus particulièrement les types de contenu utilisés dans ISTEX.
 
Ils ont fait l'objet d'une homogénéisation opérée par l'équipe ISTEX-DATA et d'un alignement avec le jeu de données types de publication. 

Ces types permettent de retranscrire la structuration initiale de l'ouvrage.";"étude de cas";"/api/run/syndication";"case report";"https://docs.google.com/drawings/d/1rtQ5_GT9QIHKzEjXU5vzSiAnmcu-hdNuyuEArOwUEU4/pub?w=960&h=720";"Étude de cas, rapport de cas";"https://www.etalab.gouv.fr/licence-ouverte-open-licence";"Case study, case report, or other description of a case.";"Inist-CNRS";"http://dtd.nlm.nih.gov/archiving/tag-library/3.0/index.html?attr=article-type";"Plateforme ISTEX";"Le type 'case-report' regroupe différents intitulés qui varient selon l'éditeur, la discipline, voire la revue. ";"2017-10-02";"Cette catégorisation émane du type d'article original fourni par l'éditeur. 

Attention, rien ne vaut la lecture d'un article pour en mesurer le contenu et la qualité ! ";"2018-12-06";"case study";"https://publication-type.data.istex.fr/ark:/67375/JMC-0GLKJH51-B";"";"genre.raw:""case-report"""
"ark:/67375/XTP-36WXPZKG-C";"Types de contenu";"collected-courses";"Ce jeu correspond au choix de documenter des données ISTEX et plus particulièrement les types de contenu utilisés dans ISTEX.
 
Ils ont fait l'objet d'une homogénéisation opérée par l'équipe ISTEX-DATA et d'un alignement avec le jeu de données types de publication. 

Ces types permettent de retranscrire la structuration initiale de l'ouvrage.";"recueil de cours";"/api/run/syndication";"collected courses";"https://docs.google.com/drawings/d/1rtQ5_GT9QIHKzEjXU5vzSiAnmcu-hdNuyuEArOwUEU4/pub?w=960&h=720";"Les cours de l'Académie de La Haye sont publiés sous forme de recueil de cours (collection phare de l'Académie). Ces contributions d'auteurs prestigieux portent sur les aspects théoriques et pratiques des sujets choisis du droit international, y compris la législation et la jurisprudence";"https://www.etalab.gouv.fr/licence-ouverte-open-licence";"Courses at the Hague Academy are published in the Collected Courses (the Academy’s flagship collection). These contributions by prestigious authors deal with the theoretical and practical aspects of the subject, including legislation and case law";"Inist-CNRS";"";"Plateforme ISTEX";"";"2017-10-02";"";"2018-12-06";"collected-courses, course";"https://publication-type.data.istex.fr/ark:/67375/JMC-5540BQ2P-Q";"";"genre.raw:""collected-courses"""
"ark:/67375/XTP-6N5SZHKN-D";"Types de contenu";"article";"Ce jeu correspond au choix de documenter des données ISTEX et plus particulièrement les types de contenu utilisés dans ISTEX.
 
Ils ont fait l'objet d'une homogénéisation opérée par l'équipe ISTEX-DATA et d'un alignement avec le jeu de données types de publication. 

Ces types permettent de retranscrire la structuration initiale de l'ouvrage.";"article";"/api/run/syndication";"article";"https://docs.google.com/drawings/d/1rtQ5_GT9QIHKzEjXU5vzSiAnmcu-hdNuyuEArOwUEU4/pub?w=960&h=720";"Il est impossible d’identifier s’il s’agit d’un article primaire ou secondaire. ";"https://www.etalab.gouv.fr/licence-ouverte-open-licence";"It is impossible to identify whether it is a primary or secondary article.";"Inist-CNRS";"istex";"Plateforme ISTEX";"Le type 'article' regroupe différents intitulés qui varient selon l'éditeur, la discipline, voire la revue. ";"2017-10-02";"Cette catégorisation émane du type d'article original fourni par l'éditeur. 

Attention, rien ne vaut la lecture d'un article pour en mesurer le contenu et la qualité ! ";"2018-12-06";"regular features, highlights, essay";"https://publication-type.data.istex.fr/ark:/67375/JMC-0GLKJH51-B,https://publication-type.data.istex.fr/ark:/67375/JMC-0G6R5W5T-Z";"https://data.archives-ouvertes.fr/doctype/Article";"genre.raw:""article"""
"ark:/67375/XTP-7474895G-0";"Types de contenu";"other";"Ce jeu correspond au choix de documenter des données ISTEX et plus particulièrement les types de contenu utilisés dans ISTEX.
 
Ils ont fait l'objet d'une homogénéisation opérée par l'équipe ISTEX-DATA et d'un alignement avec le jeu de données types de publication. 

Ces types permettent de retranscrire la structuration initiale de l'ouvrage.";"autre";"/api/run/syndication";"other";"https://docs.google.com/drawings/d/1rtQ5_GT9QIHKzEjXU5vzSiAnmcu-hdNuyuEArOwUEU4/pub?w=960&h=720";"Si l'article ne figure pas dans la liste des types ou que l'article ne peut pas être défini, la valeur 'autre' est utilisée.";"https://www.etalab.gouv.fr/licence-ouverte-open-licence";"If the article is not one of the listed types or the type of article cannot be determined, the “other” attribute value may be used.";"Inist-CNRS";"http://dtd.nlm.nih.gov/archiving/tag-library/3.0/index.html?attr=article-type";"Plateforme ISTEX";"Le type 'other' regroupe tous les autres types de contenus. ";"2017-10-02";"Cette catégorisation regroupe tous les autres contenus. 

Attention, rien ne vaut la lecture d'un article pour en mesurer le contenu et la qualité ! ";"2018-12-06";"obituary, announcement, content, interview, correspondence, index, calendar, appendix, bibliography….";"https://publication-type.data.istex.fr/ark:/67375/JMC-0GLKJH51-B,https://publication-type.data.istex.fr/ark:/67375/JMC-5WTPMB5N-F,https://publication-type.data.istex.fr/ark:/67375/JMC-0G6R5W5T-Z,https://publication-type.data.istex.fr/ark:/67375/JMC-NTSGR1R0-Z";"https://data.archives-ouvertes.fr/doctype/Other";"genre.raw:""other"""
"ark:/67375/XTP-94FB0L8V-T";"Types de contenu";"book";"Ce jeu correspond au choix de documenter des données ISTEX et plus particulièrement les types de contenu utilisés dans ISTEX.
 
Ils ont fait l'objet d'une homogénéisation opérée par l'équipe ISTEX-DATA et d'un alignement avec le jeu de données types de publication. 

Ces types permettent de retranscrire la structuration initiale de l'ouvrage.";"monographie";"/api/run/syndication";"monograph";"https://docs.google.com/drawings/d/1rtQ5_GT9QIHKzEjXU5vzSiAnmcu-hdNuyuEArOwUEU4/pub?w=960&h=720";"Les monographies se réfèrent à des ouvrages de littérature, ou à une division principale de telles œuvres. Dans la bibliothèque et la science de l'information, un livre est appelé une monographie, pour le distinguer des périodiques en série tels que les magazines, les journaux scientifiques ou les journaux.";"https://www.etalab.gouv.fr/licence-ouverte-open-licence";"Books refer to works of literature, or a main division of such a work. In library and information science, a book is called a monograph, to distinguish it from serial periodicals such as magazines, journals, or newspapers.";"Inist-CNRS";"";"Plateforme ISTEX";"Le type 'book' regroupe les manuels de droit de l'Académie de La Haye (collection de monographies sur des sujets choisis du droit international), ainsi que des monographies issues de chez Numérique Premium sur des sujets en Histoire et Sciences Humaines.";"2017-10-02";"";"2018-12-06";"";"https://publication-type.data.istex.fr/ark:/67375/JMC-5WTPMB5N-F,https://publication-type.data.istex.fr/ark:/67375/JMC-5540BQ2P-Q";"";"genre.raw:""book"""
"ark:/67375/XTP-BFHXPBJJ-3";"Types de contenu";"conference";"Ce jeu correspond au choix de documenter des données ISTEX et plus particulièrement les types de contenu utilisés dans ISTEX.
 
Ils ont fait l'objet d'une homogénéisation opérée par l'équipe ISTEX-DATA et d'un alignement avec le jeu de données types de publication. 

Ces types permettent de retranscrire la structuration initiale de l'ouvrage.";"congrès";"/api/run/syndication";"conference";"https://docs.google.com/drawings/d/1rtQ5_GT9QIHKzEjXU5vzSiAnmcu-hdNuyuEArOwUEU4/pub?w=960&h=720";"Rapport d'une conférence, symposium et réunion";"https://www.etalab.gouv.fr/licence-ouverte-open-licence";"Report of a conference, symposium, or meeting.";"Inist-CNRS";"http://dtd.nlm.nih.gov/archiving/tag-library/3.0/index.html?attr=article-type";"Plateforme ISTEX";"Le type 'conference' regroupe différents intitulés qui varient selon l'éditeur, la discipline, voire la revue. ";"2017-10-02";"Cette catégorisation émane du type d'article original fourni par l'éditeur. 

Attention, rien ne vaut la lecture d'un article pour en mesurer le contenu et la qualité ! ";"2018-12-06";"meeting-report (BMJ + deGruyter), Conference";"https://publication-type.data.istex.fr/ark:/67375/JMC-0GLKJH51-B,https://publication-type.data.istex.fr/ark:/67375/JMC-5WTPMB5N-F,https://publication-type.data.istex.fr/ark:/67375/JMC-0G6R5W5T-Z";"https://data.archives-ouvertes.fr/doctype/ConferencePaper";"genre.raw:""conference"""
"ark:/67375/XTP-CGT4WMJM-6";"Types de contenu";"chapter";"Ce jeu correspond au choix de documenter des données ISTEX et plus particulièrement les types de contenu utilisés dans ISTEX.
 
Ils ont fait l'objet d'une homogénéisation opérée par l'équipe ISTEX-DATA et d'un alignement avec le jeu de données types de publication. 

Ces types permettent de retranscrire la structuration initiale de l'ouvrage.";"chapitre";"/api/run/syndication";"chapter";"https://docs.google.com/drawings/d/1rtQ5_GT9QIHKzEjXU5vzSiAnmcu-hdNuyuEArOwUEU4/pub?w=960&h=720";"Division d'une monographie";"https://www.etalab.gouv.fr/licence-ouverte-open-licence";"Division of a book";"Inist-CNRS";"";"Plateforme ISTEX";"Ces chapitres proviennent de monographies et de monographies en séries (en général)";"2017-10-02";"";"2018-12-06";"chapter";"https://publication-type.data.istex.fr/ark:/67375/JMC-0G6R5W5T-Z";"https://data.archives-ouvertes.fr/doctype/Chapter";"genre.raw:""chapter"""
"ark:/67375/XTP-HPN7T1Q2-R";"Types de contenu";"abstract";"Ce jeu correspond au choix de documenter des données ISTEX et plus particulièrement les types de contenu utilisés dans ISTEX.
 
Ils ont fait l'objet d'une homogénéisation opérée par l'équipe ISTEX-DATA et d'un alignement avec le jeu de données types de publication. 

Ces types permettent de retranscrire la structuration initiale de l'ouvrage.";"résumé";"/api/run/syndication";"abstract";"https://docs.google.com/drawings/d/1rtQ5_GT9QIHKzEjXU5vzSiAnmcu-hdNuyuEArOwUEU4/pub?w=960&h=720";"Résumé d’un papier ou d’une présentation qui a été présentée ou publiée séparément.";"https://www.etalab.gouv.fr/licence-ouverte-open-licence";"The article itself is an abstract (of a paper or presentation) that usually has been presented or published separately.";"Inist-CNRS";"http://dtd.nlm.nih.gov/archiving/tag-library/3.0/index.html?attr=article-type";"Plateforme ISTEX";"";"2017-10-02";"";"2018-12-06";"";"https://publication-type.data.istex.fr/ark:/67375/JMC-0GLKJH51-B";"";"genre.raw:""abstract"""
"ark:/67375/XTP-L5L7X3NF-P";"Types de contenu";"review-article";"Ce jeu correspond au choix de documenter des données ISTEX et plus particulièrement les types de contenu utilisés dans ISTEX.
 
Ils ont fait l'objet d'une homogénéisation opérée par l'équipe ISTEX-DATA et d'un alignement avec le jeu de données types de publication. 

Ces types permettent de retranscrire la structuration initiale de l'ouvrage.";"article de synthèse";"/api/run/syndication";"review article";"https://docs.google.com/drawings/d/1rtQ5_GT9QIHKzEjXU5vzSiAnmcu-hdNuyuEArOwUEU4/pub?w=960&h=720";"Il s’agit d’une source secondaire. L’article passe en revue des sources primaires, il se base sur des articles déjà publiés et discute des expériences. I constitue ainsi une analyse, une synthèse.";"https://www.etalab.gouv.fr/licence-ouverte-open-licence";"Secondary source. Review or state-of-the-art summary article (The related value “research-article” describes original research)";"Inist-CNRS";"http://dtd.nlm.nih.gov/archiving/tag-library/3.0/index.html?attr=article-type";"Plateforme ISTEX";"Le type 'review-article' regroupe différents intitulés qui varient selon l'éditeur, la discipline, voire la revue. ";"2017-10-02";"Cette catégorisation émane du type d'article original fourni par l'éditeur. 

Attention, rien ne vaut la lecture d'un article pour en mesurer le contenu et la qualité ! ";"2018-12-06";"review, article-commentary, review paper";"https://publication-type.data.istex.fr/ark:/67375/JMC-0GLKJH51-B,https://publication-type.data.istex.fr/ark:/67375/JMC-0G6R5W5T-Z";"";"genre.raw:""review-article"""
