uri;L99a;Code langue;Description du jeu de données;Source code langue; Liste des ressources;Libellé du code langue;Modèle conceptuel;Description;Licence;Information pour catalogueur;Créateur;Source;Publication;Ce code langue dans LEXVO;Date de creation;Tous les documents  ISTEX pour ce code langue;Date de modification
"ark:/67375/KM1-03K23J27-C";"Langues de publication";"syr";"Ce jeu correspond au choix de documenter des données ISTEX et plus particulièrement les langues de publication utilisées dans ISTEX. Chaque code langue a fait l’objet d’un alignement avec les services proposés par lexvo.org";"http://www.loc.gov/standards/iso639-2/php/code_list.php";"/api/run/syndication";"syriaque";"https://docs.google.com/drawings/d/1cX_Tro42YlOTYWBR-LkrI6e6nhBxzFZ3oZx9iM3drv8/pub?w=960&h=720";"A macrolanguage of Iraq";"https://www.etalab.gouv.fr/licence-ouverte-open-licence";"";"Inist-CNRS";"https://www.rero.ch/page.php?section=aacr2&pageid=annexe_";"Plateforme ISTEX";"http://lexvo.org/id/iso639-3/syr";"2017-08-04";"language:syr";"2017-08-04"
"ark:/67375/KM1-18WLN5M9-6";"Langues de publication";"und";"Ce jeu correspond au choix de documenter des données ISTEX et plus particulièrement les langues de publication utilisées dans ISTEX. Chaque code langue a fait l’objet d’un alignement avec les services proposés par lexvo.org";"http://www.loc.gov/standards/iso639-2/php/code_list.php";"/api/run/syndication";"indéterminé";"https://docs.google.com/drawings/d/1cX_Tro42YlOTYWBR-LkrI6e6nhBxzFZ3oZx9iM3drv8/pub?w=960&h=720";"";"https://www.etalab.gouv.fr/licence-ouverte-open-licence";"";"Inist-CNRS";"https://www.rero.ch/page.php?section=aacr2&pageid=annexe_";"Plateforme ISTEX";"http://lexvo.org/id/iso639-3/und";"2017-08-04";"language:und";"2017-08-04"
"ark:/67375/KM1-1KC7LKZQ-L";"Langues de publication";"may";"Ce jeu correspond au choix de documenter des données ISTEX et plus particulièrement les langues de publication utilisées dans ISTEX. Chaque code langue a fait l’objet d’un alignement avec les services proposés par lexvo.org";"http://www.loc.gov/standards/iso639-2/php/code_list.php";"/api/run/syndication";"malais";"https://docs.google.com/drawings/d/1cX_Tro42YlOTYWBR-LkrI6e6nhBxzFZ3oZx9iM3drv8/pub?w=960&h=720";"A macrolanguage of Malaysia";"https://www.etalab.gouv.fr/licence-ouverte-open-licence";"";"Inist-CNRS";"https://www.rero.ch/page.php?section=aacr2&pageid=annexe_";"Plateforme ISTEX";"http://lexvo.org/id/iso639-3/msa";"2017-08-04";"language:may";"2017-08-04"
"ark:/67375/KM1-1PF3FD4K-D";"Langues de publication";"zxx";"Ce jeu correspond au choix de documenter des données ISTEX et plus particulièrement les langues de publication utilisées dans ISTEX. Chaque code langue a fait l’objet d’un alignement avec les services proposés par lexvo.org";"http://www.loc.gov/standards/iso639-2/php/code_list.php";"/api/run/syndication";"pas de contenu linguistique";"https://docs.google.com/drawings/d/1cX_Tro42YlOTYWBR-LkrI6e6nhBxzFZ3oZx9iM3drv8/pub?w=960&h=720";"";"https://www.etalab.gouv.fr/licence-ouverte-open-licence";"";"Inist-CNRS";"https://www.rero.ch/page.php?section=aacr2&pageid=annexe_";"Plateforme ISTEX";"http://lexvo.org/id/iso639-3/zxx";"2017-08-04";"language:zxx";"2017-08-04"
"ark:/67375/KM1-20X9WD3K-5";"Langues de publication";"per";"Ce jeu correspond au choix de documenter des données ISTEX et plus particulièrement les langues de publication utilisées dans ISTEX. Chaque code langue a fait l’objet d’un alignement avec les services proposés par lexvo.org";"http://www.loc.gov/standards/iso639-2/php/code_list.php";"/api/run/syndication";"persan moderne";"https://docs.google.com/drawings/d/1cX_Tro42YlOTYWBR-LkrI6e6nhBxzFZ3oZx9iM3drv8/pub?w=960&h=720";"A macrolanguage of Iran";"https://www.etalab.gouv.fr/licence-ouverte-open-licence";"farsi ; iranien";"Inist-CNRS";"https://www.rero.ch/page.php?section=aacr2&pageid=annexe_";"Plateforme ISTEX";"http://lexvo.org/id/iso639-3/fas";"2017-08-04";"language:per";"2017-08-04"
"ark:/67375/KM1-34C1ZJVX-G";"Langues de publication";"dut";"Ce jeu correspond au choix de documenter des données ISTEX et plus particulièrement les langues de publication utilisées dans ISTEX. Chaque code langue a fait l’objet d’un alignement avec les services proposés par lexvo.org";"http://www.loc.gov/standards/iso639-2/php/code_list.php";"/api/run/syndication";"néerlandais";"https://docs.google.com/drawings/d/1cX_Tro42YlOTYWBR-LkrI6e6nhBxzFZ3oZx9iM3drv8/pub?w=960&h=720";"A language of Netherlands";"https://www.etalab.gouv.fr/licence-ouverte-open-licence";"flamand ; hollandais";"Inist-CNRS";"https://www.rero.ch/page.php?section=aacr2&pageid=annexe_";"Plateforme ISTEX";"http://lexvo.org/id/iso639-3/nld";"2017-08-04";"language:dut";"2017-08-04"
"ark:/67375/KM1-5WCVG92D-F";"Langues de publication";"ara";"Ce jeu correspond au choix de documenter des données ISTEX et plus particulièrement les langues de publication utilisées dans ISTEX. Chaque code langue a fait l’objet d’un alignement avec les services proposés par lexvo.org";"http://www.loc.gov/standards/iso639-2/php/code_list.php";"/api/run/syndication";"arabe";"https://docs.google.com/drawings/d/1cX_Tro42YlOTYWBR-LkrI6e6nhBxzFZ3oZx9iM3drv8/pub?w=960&h=720";"A macrolanguage of Saudi Arabia";"https://www.etalab.gouv.fr/licence-ouverte-open-licence";"";"Inist-CNRS";"https://www.rero.ch/page.php?section=aacr2&pageid=annexe_";"Plateforme ISTEX";"http://lexvo.org/id/iso639-3/ara";"2017-08-04";"language:ara";"2017-08-04"
"ark:/67375/KM1-6NTDPFXL-1";"Langues de publication";"lat";"Ce jeu correspond au choix de documenter des données ISTEX et plus particulièrement les langues de publication utilisées dans ISTEX. Chaque code langue a fait l’objet d’un alignement avec les services proposés par lexvo.org";"http://www.loc.gov/standards/iso639-2/php/code_list.php";"/api/run/syndication";"latin";"https://docs.google.com/drawings/d/1cX_Tro42YlOTYWBR-LkrI6e6nhBxzFZ3oZx9iM3drv8/pub?w=960&h=720";"A language of Vatican State";"https://www.etalab.gouv.fr/licence-ouverte-open-licence";"";"Inist-CNRS";"https://www.rero.ch/page.php?section=aacr2&pageid=annexe_";"Plateforme ISTEX";"http://lexvo.org/id/iso639-3/lat";"2017-08-04";"language:lat";"2017-08-04"
"ark:/67375/KM1-84H29FR0-B";"Langues de publication";"amh";"Ce jeu correspond au choix de documenter des données ISTEX et plus particulièrement les langues de publication utilisées dans ISTEX. Chaque code langue a fait l’objet d’un alignement avec les services proposés par lexvo.org";"http://www.loc.gov/standards/iso639-2/php/code_list.php";"/api/run/syndication";"amharique";"https://docs.google.com/drawings/d/1cX_Tro42YlOTYWBR-LkrI6e6nhBxzFZ3oZx9iM3drv8/pub?w=960&h=720";"A language of Ethiopia";"https://www.etalab.gouv.fr/licence-ouverte-open-licence";"";"Inist-CNRS";"https://www.rero.ch/page.php?section=aacr2&pageid=annexe_";"Plateforme ISTEX";"http://lexvo.org/id/iso639-3/amh";"2017-08-04";"language:amh";"2017-08-04"
"ark:/67375/KM1-8CSL2N1N-8";"Langues de publication";"por";"Ce jeu correspond au choix de documenter des données ISTEX et plus particulièrement les langues de publication utilisées dans ISTEX. Chaque code langue a fait l’objet d’un alignement avec les services proposés par lexvo.org";"http://www.loc.gov/standards/iso639-2/php/code_list.php";"/api/run/syndication";"portugais";"https://docs.google.com/drawings/d/1cX_Tro42YlOTYWBR-LkrI6e6nhBxzFZ3oZx9iM3drv8/pub?w=960&h=720";"A language of Portugal";"https://www.etalab.gouv.fr/licence-ouverte-open-licence";"";"Inist-CNRS";"https://www.rero.ch/page.php?section=aacr2&pageid=annexe_";"Plateforme ISTEX";"http://lexvo.org/id/iso639-3/por";"2017-08-04";"language:por";"2017-08-04"
