uri;Libellé en anglais;Libellé en français;Ce concept dans la classification sciencemetrix;Ce concept dans la classification WOS;Terme générique;Enrichissement BnF;Cette ressource dans ISTEX; ;Description;Contexte d'utilisation;Lien vers la page Multicat;Liste des ressources;Modèle conceptuel;Licence;Créateur;Publication;Date de création;Date de modification
"https://scopus-category.data.istex.fr/ark:/67375/G19-00Z34VG4-0";"Water Science and Technology";"Science et technologie de l'eau";"";"";"ark:/67375/G19-TDBCRH61-7";"Science et technologie de l'eau";"categories.scopus.raw:(""3 - Water Science and Technology"")";"Classification ASJC de SCOPUS";"Cette table correspond au choix de documenter des données ISTEX et plus particulièrement les codes de la classification ASJC de Scopus. Ces codes de classification ont fait l'objet d'une structuration hiérarchique au format SKOS et d'un alignement avec les catégories Sciences-metrix et les catégories Web of Science.
";"Dans le cadre de l'enrichissement des documents du fonds ISTEX, opéré par l'équipe ISTEX-RD du Service Recherche Développement et Expérimentations (Département Projets et Innovation / INIST-CNRS), des catégories scientifiques sont attribuées aux documents. Les catégories de la classification ASJC (All Science Journal Classification [http://www.scopind.com/2016/06/asjc-code-list.html](http://www.scopind.com/2016/06/asjc-code-list.html)) de Scopus sont reportées, par appariement, aux documents.

Scopus est une base de données de citations et de résumés d’articles scientifiques de la littérature approuvée par les pairs, éditée par Elsevier-Sciverse.
Mise à jour quotidiennement, la base comprend plus de 38 millions de données bibliographiques, références et résumés, dans toutes les disciplines des sciences, de la santé et des lettres et sciences humaines : [https://www.elsevier.com/solutions/scopus]( https://www.elsevier.com/solutions/scopus)
   
L'outil utilisé pour la catégorisation est rd-multicat, développé par l'équipe ISTEX-RD en NodeJs et intégré à la chaîne d'ingestion de l'API ISTEX.

Les catégories sont étiquetées avec des balises XML selon le standard TEI (Text Encoding Initiative). Pour chaque document du fonds ISTEX, elles sont disponibles sur l'API ISTEX sous forme d'une balise TEI déportée (standoff).

Ce standoff regroupe toutes les catégories qui ont été attribuées à l'ISSN par les différentes ressources (Scopus, Web of Science, Science-Metrix).
";"https://enrichment-process.data.istex.fr/ark:/67375/R0H-BMCHCCJF-J";"/api/run/syndication";"https://docs.google.com/drawings/d/e/2PACX-1vQqT3vY1wG49es22hLdZXHl2L9VfplDes4TuMc3_g9IgAgdkF5GFjHZDvzzZQ07-xcZ68ZuWi6u42R3/pub?w=960&h=720";"https://www.etalab.gouv.fr/licence-ouverte-open-licence";"Inist-CNRS";"Plateforme ISTEX";"2017-12-20";"2019-01-17"
"https://scopus-category.data.istex.fr/ark:/67375/G19-06TM01HR-5";"Psychology (miscellaneous)";"Psychologie (divers)";"";"https://wos-category.data.istex.fr/ark:/67375/NHZ-JRHHL1XS-0";"ark:/67375/G19-62CL3KN0-3";"Psychologie (divers)";"categories.scopus.raw:(""3 - Psychology (""miscellaneous"")"")";"Classification ASJC de SCOPUS";"Cette table correspond au choix de documenter des données ISTEX et plus particulièrement les codes de la classification ASJC de Scopus. Ces codes de classification ont fait l'objet d'une structuration hiérarchique au format SKOS et d'un alignement avec les catégories Sciences-metrix et les catégories Web of Science.
";"Dans le cadre de l'enrichissement des documents du fonds ISTEX, opéré par l'équipe ISTEX-RD du Service Recherche Développement et Expérimentations (Département Projets et Innovation / INIST-CNRS), des catégories scientifiques sont attribuées aux documents. Les catégories de la classification ASJC (All Science Journal Classification [http://www.scopind.com/2016/06/asjc-code-list.html](http://www.scopind.com/2016/06/asjc-code-list.html)) de Scopus sont reportées, par appariement, aux documents.

Scopus est une base de données de citations et de résumés d’articles scientifiques de la littérature approuvée par les pairs, éditée par Elsevier-Sciverse.
Mise à jour quotidiennement, la base comprend plus de 38 millions de données bibliographiques, références et résumés, dans toutes les disciplines des sciences, de la santé et des lettres et sciences humaines : [https://www.elsevier.com/solutions/scopus]( https://www.elsevier.com/solutions/scopus)
   
L'outil utilisé pour la catégorisation est rd-multicat, développé par l'équipe ISTEX-RD en NodeJs et intégré à la chaîne d'ingestion de l'API ISTEX.

Les catégories sont étiquetées avec des balises XML selon le standard TEI (Text Encoding Initiative). Pour chaque document du fonds ISTEX, elles sont disponibles sur l'API ISTEX sous forme d'une balise TEI déportée (standoff).

Ce standoff regroupe toutes les catégories qui ont été attribuées à l'ISSN par les différentes ressources (Scopus, Web of Science, Science-Metrix).
";"https://enrichment-process.data.istex.fr/ark:/67375/R0H-BMCHCCJF-J";"/api/run/syndication";"https://docs.google.com/drawings/d/e/2PACX-1vQqT3vY1wG49es22hLdZXHl2L9VfplDes4TuMc3_g9IgAgdkF5GFjHZDvzzZQ07-xcZ68ZuWi6u42R3/pub?w=960&h=720";"https://www.etalab.gouv.fr/licence-ouverte-open-licence";"Inist-CNRS";"Plateforme ISTEX";"2017-12-20";"2019-01-17"
"https://scopus-category.data.istex.fr/ark:/67375/G19-0BLT7KMJ-3";"Developmental Neuroscience";"Neuroscience du développement";"";"";"ark:/67375/G19-310VD6HG-R";"Neuroscience du développement";"categories.scopus.raw:(""3 - Developmental Neuroscience"")";"Classification ASJC de SCOPUS";"Cette table correspond au choix de documenter des données ISTEX et plus particulièrement les codes de la classification ASJC de Scopus. Ces codes de classification ont fait l'objet d'une structuration hiérarchique au format SKOS et d'un alignement avec les catégories Sciences-metrix et les catégories Web of Science.
";"Dans le cadre de l'enrichissement des documents du fonds ISTEX, opéré par l'équipe ISTEX-RD du Service Recherche Développement et Expérimentations (Département Projets et Innovation / INIST-CNRS), des catégories scientifiques sont attribuées aux documents. Les catégories de la classification ASJC (All Science Journal Classification [http://www.scopind.com/2016/06/asjc-code-list.html](http://www.scopind.com/2016/06/asjc-code-list.html)) de Scopus sont reportées, par appariement, aux documents.

Scopus est une base de données de citations et de résumés d’articles scientifiques de la littérature approuvée par les pairs, éditée par Elsevier-Sciverse.
Mise à jour quotidiennement, la base comprend plus de 38 millions de données bibliographiques, références et résumés, dans toutes les disciplines des sciences, de la santé et des lettres et sciences humaines : [https://www.elsevier.com/solutions/scopus]( https://www.elsevier.com/solutions/scopus)
   
L'outil utilisé pour la catégorisation est rd-multicat, développé par l'équipe ISTEX-RD en NodeJs et intégré à la chaîne d'ingestion de l'API ISTEX.

Les catégories sont étiquetées avec des balises XML selon le standard TEI (Text Encoding Initiative). Pour chaque document du fonds ISTEX, elles sont disponibles sur l'API ISTEX sous forme d'une balise TEI déportée (standoff).

Ce standoff regroupe toutes les catégories qui ont été attribuées à l'ISSN par les différentes ressources (Scopus, Web of Science, Science-Metrix).
";"https://enrichment-process.data.istex.fr/ark:/67375/R0H-BMCHCCJF-J";"/api/run/syndication";"https://docs.google.com/drawings/d/e/2PACX-1vQqT3vY1wG49es22hLdZXHl2L9VfplDes4TuMc3_g9IgAgdkF5GFjHZDvzzZQ07-xcZ68ZuWi6u42R3/pub?w=960&h=720";"https://www.etalab.gouv.fr/licence-ouverte-open-licence";"Inist-CNRS";"Plateforme ISTEX";"2017-12-20";"2019-01-17"
"https://scopus-category.data.istex.fr/ark:/67375/G19-0KF4749T-X";"Oral Surgery";"Chirurgie buccale";"https://sciencemetrix-category.data.istex.fr/ark:/67375/Q4W-ZD1DJ928-J";"https://wos-category.data.istex.fr/ark:/67375/NHZ-H8HFTVHJ-T";"ark:/67375/G19-T4XVVN1H-R";"Chirurgie buccale";"categories.scopus.raw:(""3 - Oral Surgery"")";"Classification ASJC de SCOPUS";"Cette table correspond au choix de documenter des données ISTEX et plus particulièrement les codes de la classification ASJC de Scopus. Ces codes de classification ont fait l'objet d'une structuration hiérarchique au format SKOS et d'un alignement avec les catégories Sciences-metrix et les catégories Web of Science.
";"Dans le cadre de l'enrichissement des documents du fonds ISTEX, opéré par l'équipe ISTEX-RD du Service Recherche Développement et Expérimentations (Département Projets et Innovation / INIST-CNRS), des catégories scientifiques sont attribuées aux documents. Les catégories de la classification ASJC (All Science Journal Classification [http://www.scopind.com/2016/06/asjc-code-list.html](http://www.scopind.com/2016/06/asjc-code-list.html)) de Scopus sont reportées, par appariement, aux documents.

Scopus est une base de données de citations et de résumés d’articles scientifiques de la littérature approuvée par les pairs, éditée par Elsevier-Sciverse.
Mise à jour quotidiennement, la base comprend plus de 38 millions de données bibliographiques, références et résumés, dans toutes les disciplines des sciences, de la santé et des lettres et sciences humaines : [https://www.elsevier.com/solutions/scopus]( https://www.elsevier.com/solutions/scopus)
   
L'outil utilisé pour la catégorisation est rd-multicat, développé par l'équipe ISTEX-RD en NodeJs et intégré à la chaîne d'ingestion de l'API ISTEX.

Les catégories sont étiquetées avec des balises XML selon le standard TEI (Text Encoding Initiative). Pour chaque document du fonds ISTEX, elles sont disponibles sur l'API ISTEX sous forme d'une balise TEI déportée (standoff).

Ce standoff regroupe toutes les catégories qui ont été attribuées à l'ISSN par les différentes ressources (Scopus, Web of Science, Science-Metrix).
";"https://enrichment-process.data.istex.fr/ark:/67375/R0H-BMCHCCJF-J";"/api/run/syndication";"https://docs.google.com/drawings/d/e/2PACX-1vQqT3vY1wG49es22hLdZXHl2L9VfplDes4TuMc3_g9IgAgdkF5GFjHZDvzzZQ07-xcZ68ZuWi6u42R3/pub?w=960&h=720";"https://www.etalab.gouv.fr/licence-ouverte-open-licence";"Inist-CNRS";"Plateforme ISTEX";"2017-12-20";"2019-01-17"
"https://scopus-category.data.istex.fr/ark:/67375/G19-0LXL9JD0-0";"Radiological and Ultrasound Technology";"Technologie radiologique et échographique";"";"https://wos-category.data.istex.fr/ark:/67375/NHZ-LNF2ZD9S-2";"ark:/67375/G19-ZTJHV9RK-3";"Technologie radiologique et échographique";"categories.scopus.raw:(""3 - Radiological and Ultrasound Technology"")";"Classification ASJC de SCOPUS";"Cette table correspond au choix de documenter des données ISTEX et plus particulièrement les codes de la classification ASJC de Scopus. Ces codes de classification ont fait l'objet d'une structuration hiérarchique au format SKOS et d'un alignement avec les catégories Sciences-metrix et les catégories Web of Science.
";"Dans le cadre de l'enrichissement des documents du fonds ISTEX, opéré par l'équipe ISTEX-RD du Service Recherche Développement et Expérimentations (Département Projets et Innovation / INIST-CNRS), des catégories scientifiques sont attribuées aux documents. Les catégories de la classification ASJC (All Science Journal Classification [http://www.scopind.com/2016/06/asjc-code-list.html](http://www.scopind.com/2016/06/asjc-code-list.html)) de Scopus sont reportées, par appariement, aux documents.

Scopus est une base de données de citations et de résumés d’articles scientifiques de la littérature approuvée par les pairs, éditée par Elsevier-Sciverse.
Mise à jour quotidiennement, la base comprend plus de 38 millions de données bibliographiques, références et résumés, dans toutes les disciplines des sciences, de la santé et des lettres et sciences humaines : [https://www.elsevier.com/solutions/scopus]( https://www.elsevier.com/solutions/scopus)
   
L'outil utilisé pour la catégorisation est rd-multicat, développé par l'équipe ISTEX-RD en NodeJs et intégré à la chaîne d'ingestion de l'API ISTEX.

Les catégories sont étiquetées avec des balises XML selon le standard TEI (Text Encoding Initiative). Pour chaque document du fonds ISTEX, elles sont disponibles sur l'API ISTEX sous forme d'une balise TEI déportée (standoff).

Ce standoff regroupe toutes les catégories qui ont été attribuées à l'ISSN par les différentes ressources (Scopus, Web of Science, Science-Metrix).
";"https://enrichment-process.data.istex.fr/ark:/67375/R0H-BMCHCCJF-J";"/api/run/syndication";"https://docs.google.com/drawings/d/e/2PACX-1vQqT3vY1wG49es22hLdZXHl2L9VfplDes4TuMc3_g9IgAgdkF5GFjHZDvzzZQ07-xcZ68ZuWi6u42R3/pub?w=960&h=720";"https://www.etalab.gouv.fr/licence-ouverte-open-licence";"Inist-CNRS";"Plateforme ISTEX";"2017-12-20";"2019-01-17"
"https://scopus-category.data.istex.fr/ark:/67375/G19-0M720H0G-B";"Immunology";"Immunologie ";"https://sciencemetrix-category.data.istex.fr/ark:/67375/Q4W-VRHWZS7H-9";"https://wos-category.data.istex.fr/ark:/67375/NHZ-Q88475TT-Z";"ark:/67375/G19-MLKQHDKQ-7";"Immunologie ";"categories.scopus.raw:(""3 - Immunology"")";"Classification ASJC de SCOPUS";"Cette table correspond au choix de documenter des données ISTEX et plus particulièrement les codes de la classification ASJC de Scopus. Ces codes de classification ont fait l'objet d'une structuration hiérarchique au format SKOS et d'un alignement avec les catégories Sciences-metrix et les catégories Web of Science.
";"Dans le cadre de l'enrichissement des documents du fonds ISTEX, opéré par l'équipe ISTEX-RD du Service Recherche Développement et Expérimentations (Département Projets et Innovation / INIST-CNRS), des catégories scientifiques sont attribuées aux documents. Les catégories de la classification ASJC (All Science Journal Classification [http://www.scopind.com/2016/06/asjc-code-list.html](http://www.scopind.com/2016/06/asjc-code-list.html)) de Scopus sont reportées, par appariement, aux documents.

Scopus est une base de données de citations et de résumés d’articles scientifiques de la littérature approuvée par les pairs, éditée par Elsevier-Sciverse.
Mise à jour quotidiennement, la base comprend plus de 38 millions de données bibliographiques, références et résumés, dans toutes les disciplines des sciences, de la santé et des lettres et sciences humaines : [https://www.elsevier.com/solutions/scopus]( https://www.elsevier.com/solutions/scopus)
   
L'outil utilisé pour la catégorisation est rd-multicat, développé par l'équipe ISTEX-RD en NodeJs et intégré à la chaîne d'ingestion de l'API ISTEX.

Les catégories sont étiquetées avec des balises XML selon le standard TEI (Text Encoding Initiative). Pour chaque document du fonds ISTEX, elles sont disponibles sur l'API ISTEX sous forme d'une balise TEI déportée (standoff).

Ce standoff regroupe toutes les catégories qui ont été attribuées à l'ISSN par les différentes ressources (Scopus, Web of Science, Science-Metrix).
";"https://enrichment-process.data.istex.fr/ark:/67375/R0H-BMCHCCJF-J";"/api/run/syndication";"https://docs.google.com/drawings/d/e/2PACX-1vQqT3vY1wG49es22hLdZXHl2L9VfplDes4TuMc3_g9IgAgdkF5GFjHZDvzzZQ07-xcZ68ZuWi6u42R3/pub?w=960&h=720";"https://www.etalab.gouv.fr/licence-ouverte-open-licence";"Inist-CNRS";"Plateforme ISTEX";"2017-12-20";"2019-01-17"
"https://scopus-category.data.istex.fr/ark:/67375/G19-0P0D68NK-C";"Health Professions (miscellaneous)";"Professions de la santé (divers)";"";"";"ark:/67375/G19-ZTJHV9RK-3";"Professions de la santé (divers)";"categories.scopus.raw:(""3 - Health Professions (""miscellaneous"")"")";"Classification ASJC de SCOPUS";"Cette table correspond au choix de documenter des données ISTEX et plus particulièrement les codes de la classification ASJC de Scopus. Ces codes de classification ont fait l'objet d'une structuration hiérarchique au format SKOS et d'un alignement avec les catégories Sciences-metrix et les catégories Web of Science.
";"Dans le cadre de l'enrichissement des documents du fonds ISTEX, opéré par l'équipe ISTEX-RD du Service Recherche Développement et Expérimentations (Département Projets et Innovation / INIST-CNRS), des catégories scientifiques sont attribuées aux documents. Les catégories de la classification ASJC (All Science Journal Classification [http://www.scopind.com/2016/06/asjc-code-list.html](http://www.scopind.com/2016/06/asjc-code-list.html)) de Scopus sont reportées, par appariement, aux documents.

Scopus est une base de données de citations et de résumés d’articles scientifiques de la littérature approuvée par les pairs, éditée par Elsevier-Sciverse.
Mise à jour quotidiennement, la base comprend plus de 38 millions de données bibliographiques, références et résumés, dans toutes les disciplines des sciences, de la santé et des lettres et sciences humaines : [https://www.elsevier.com/solutions/scopus]( https://www.elsevier.com/solutions/scopus)
   
L'outil utilisé pour la catégorisation est rd-multicat, développé par l'équipe ISTEX-RD en NodeJs et intégré à la chaîne d'ingestion de l'API ISTEX.

Les catégories sont étiquetées avec des balises XML selon le standard TEI (Text Encoding Initiative). Pour chaque document du fonds ISTEX, elles sont disponibles sur l'API ISTEX sous forme d'une balise TEI déportée (standoff).

Ce standoff regroupe toutes les catégories qui ont été attribuées à l'ISSN par les différentes ressources (Scopus, Web of Science, Science-Metrix).
";"https://enrichment-process.data.istex.fr/ark:/67375/R0H-BMCHCCJF-J";"/api/run/syndication";"https://docs.google.com/drawings/d/e/2PACX-1vQqT3vY1wG49es22hLdZXHl2L9VfplDes4TuMc3_g9IgAgdkF5GFjHZDvzzZQ07-xcZ68ZuWi6u42R3/pub?w=960&h=720";"https://www.etalab.gouv.fr/licence-ouverte-open-licence";"Inist-CNRS";"Plateforme ISTEX";"2017-12-20";"2019-01-17"
"https://scopus-category.data.istex.fr/ark:/67375/G19-0RNJ6J51-N";"Media Technology";"Technologie des médias ";"";"";"ark:/67375/G19-48VBJPGG-R";"Technologie des médias ";"categories.scopus.raw:(""3 - Media Technology"")";"Classification ASJC de SCOPUS";"Cette table correspond au choix de documenter des données ISTEX et plus particulièrement les codes de la classification ASJC de Scopus. Ces codes de classification ont fait l'objet d'une structuration hiérarchique au format SKOS et d'un alignement avec les catégories Sciences-metrix et les catégories Web of Science.
";"Dans le cadre de l'enrichissement des documents du fonds ISTEX, opéré par l'équipe ISTEX-RD du Service Recherche Développement et Expérimentations (Département Projets et Innovation / INIST-CNRS), des catégories scientifiques sont attribuées aux documents. Les catégories de la classification ASJC (All Science Journal Classification [http://www.scopind.com/2016/06/asjc-code-list.html](http://www.scopind.com/2016/06/asjc-code-list.html)) de Scopus sont reportées, par appariement, aux documents.

Scopus est une base de données de citations et de résumés d’articles scientifiques de la littérature approuvée par les pairs, éditée par Elsevier-Sciverse.
Mise à jour quotidiennement, la base comprend plus de 38 millions de données bibliographiques, références et résumés, dans toutes les disciplines des sciences, de la santé et des lettres et sciences humaines : [https://www.elsevier.com/solutions/scopus]( https://www.elsevier.com/solutions/scopus)
   
L'outil utilisé pour la catégorisation est rd-multicat, développé par l'équipe ISTEX-RD en NodeJs et intégré à la chaîne d'ingestion de l'API ISTEX.

Les catégories sont étiquetées avec des balises XML selon le standard TEI (Text Encoding Initiative). Pour chaque document du fonds ISTEX, elles sont disponibles sur l'API ISTEX sous forme d'une balise TEI déportée (standoff).

Ce standoff regroupe toutes les catégories qui ont été attribuées à l'ISSN par les différentes ressources (Scopus, Web of Science, Science-Metrix).
";"https://enrichment-process.data.istex.fr/ark:/67375/R0H-BMCHCCJF-J";"/api/run/syndication";"https://docs.google.com/drawings/d/e/2PACX-1vQqT3vY1wG49es22hLdZXHl2L9VfplDes4TuMc3_g9IgAgdkF5GFjHZDvzzZQ07-xcZ68ZuWi6u42R3/pub?w=960&h=720";"https://www.etalab.gouv.fr/licence-ouverte-open-licence";"Inist-CNRS";"Plateforme ISTEX";"2017-12-20";"2019-01-17"
"https://scopus-category.data.istex.fr/ark:/67375/G19-0TH074VX-T";"Applied Psychology";"Psychologie appliquée";"";"";"ark:/67375/G19-62CL3KN0-3";"Psychologie appliquée";"categories.scopus.raw:(""3 - Applied Psychology"")";"Classification ASJC de SCOPUS";"Cette table correspond au choix de documenter des données ISTEX et plus particulièrement les codes de la classification ASJC de Scopus. Ces codes de classification ont fait l'objet d'une structuration hiérarchique au format SKOS et d'un alignement avec les catégories Sciences-metrix et les catégories Web of Science.
";"Dans le cadre de l'enrichissement des documents du fonds ISTEX, opéré par l'équipe ISTEX-RD du Service Recherche Développement et Expérimentations (Département Projets et Innovation / INIST-CNRS), des catégories scientifiques sont attribuées aux documents. Les catégories de la classification ASJC (All Science Journal Classification [http://www.scopind.com/2016/06/asjc-code-list.html](http://www.scopind.com/2016/06/asjc-code-list.html)) de Scopus sont reportées, par appariement, aux documents.

Scopus est une base de données de citations et de résumés d’articles scientifiques de la littérature approuvée par les pairs, éditée par Elsevier-Sciverse.
Mise à jour quotidiennement, la base comprend plus de 38 millions de données bibliographiques, références et résumés, dans toutes les disciplines des sciences, de la santé et des lettres et sciences humaines : [https://www.elsevier.com/solutions/scopus]( https://www.elsevier.com/solutions/scopus)
   
L'outil utilisé pour la catégorisation est rd-multicat, développé par l'équipe ISTEX-RD en NodeJs et intégré à la chaîne d'ingestion de l'API ISTEX.

Les catégories sont étiquetées avec des balises XML selon le standard TEI (Text Encoding Initiative). Pour chaque document du fonds ISTEX, elles sont disponibles sur l'API ISTEX sous forme d'une balise TEI déportée (standoff).

Ce standoff regroupe toutes les catégories qui ont été attribuées à l'ISSN par les différentes ressources (Scopus, Web of Science, Science-Metrix).
";"https://enrichment-process.data.istex.fr/ark:/67375/R0H-BMCHCCJF-J";"/api/run/syndication";"https://docs.google.com/drawings/d/e/2PACX-1vQqT3vY1wG49es22hLdZXHl2L9VfplDes4TuMc3_g9IgAgdkF5GFjHZDvzzZQ07-xcZ68ZuWi6u42R3/pub?w=960&h=720";"https://www.etalab.gouv.fr/licence-ouverte-open-licence";"Inist-CNRS";"Plateforme ISTEX";"2017-12-20";"2019-01-17"
"https://scopus-category.data.istex.fr/ark:/67375/G19-0VR37TPT-0";"Community and Home Care";"Soins communautaires et à domicile";"";"";"ark:/67375/G19-HRHH062B-Z";"Soins communautaires et à domicile";"categories.scopus.raw:(""3 - Community and Home Care"")";"Classification ASJC de SCOPUS";"Cette table correspond au choix de documenter des données ISTEX et plus particulièrement les codes de la classification ASJC de Scopus. Ces codes de classification ont fait l'objet d'une structuration hiérarchique au format SKOS et d'un alignement avec les catégories Sciences-metrix et les catégories Web of Science.
";"Dans le cadre de l'enrichissement des documents du fonds ISTEX, opéré par l'équipe ISTEX-RD du Service Recherche Développement et Expérimentations (Département Projets et Innovation / INIST-CNRS), des catégories scientifiques sont attribuées aux documents. Les catégories de la classification ASJC (All Science Journal Classification [http://www.scopind.com/2016/06/asjc-code-list.html](http://www.scopind.com/2016/06/asjc-code-list.html)) de Scopus sont reportées, par appariement, aux documents.

Scopus est une base de données de citations et de résumés d’articles scientifiques de la littérature approuvée par les pairs, éditée par Elsevier-Sciverse.
Mise à jour quotidiennement, la base comprend plus de 38 millions de données bibliographiques, références et résumés, dans toutes les disciplines des sciences, de la santé et des lettres et sciences humaines : [https://www.elsevier.com/solutions/scopus]( https://www.elsevier.com/solutions/scopus)
   
L'outil utilisé pour la catégorisation est rd-multicat, développé par l'équipe ISTEX-RD en NodeJs et intégré à la chaîne d'ingestion de l'API ISTEX.

Les catégories sont étiquetées avec des balises XML selon le standard TEI (Text Encoding Initiative). Pour chaque document du fonds ISTEX, elles sont disponibles sur l'API ISTEX sous forme d'une balise TEI déportée (standoff).

Ce standoff regroupe toutes les catégories qui ont été attribuées à l'ISSN par les différentes ressources (Scopus, Web of Science, Science-Metrix).
";"https://enrichment-process.data.istex.fr/ark:/67375/R0H-BMCHCCJF-J";"/api/run/syndication";"https://docs.google.com/drawings/d/e/2PACX-1vQqT3vY1wG49es22hLdZXHl2L9VfplDes4TuMc3_g9IgAgdkF5GFjHZDvzzZQ07-xcZ68ZuWi6u42R3/pub?w=960&h=720";"https://www.etalab.gouv.fr/licence-ouverte-open-licence";"Inist-CNRS";"Plateforme ISTEX";"2017-12-20";"2019-01-17"
