uri	titre	libellé anglais	libellé français	définition anglais	source	définition français	commentaire	note supplémentaire	exemples	est contenu par	cette ressource dans ISTEX	Titre du jeu de données	Description	Modèle conceptuel	Date de création	Créateur	Editeur	Licence
ark:/67375/XTP-PBH5VBM9-4	book-reviews	book-review	monographie	Review or analysis of one or more printed or online books (The similar value “product-review” is used for product analyses).	http://dtd.nlm.nih.gov/archiving/tag-library/3.0/index.html?attr=article-type	Revue ou analyse d’un ou plusieurs livres imprimés ou électroniques				https://publication-type.data.istex.fr/ark:/67375/JMC-0GLKJH51-B ; https://publication-type.data.istex.fr/ark:/67375/JMC-0G6R5W5T-Z	"genre.raw:""book-reviews"""	Jeu de données types de contenu	Ce jeu correspond au choix de documenter des données ISTEX et plus particulièrement les types de contenu utilisés dans ISTEX. Ils ont fait l'objet d'une homogénéisation opérée par l'équipe ISTEX-DATA et d'un alignement avec le jeu de données types de publication. Ces types permettent de retranscrire la structuration initiale de l'ouvrage.	https://docs.google.com/drawings/d/1rtQ5_GT9QIHKzEjXU5vzSiAnmcu-hdNuyuEArOwUEU4/pub?w=960&h=720	2017-10-02	LODEX Team	ISTEX	http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf
ark:/67375/XTP-S9SX2MFS-0	brief-communication	brief communication	courte communication	Short and rapid communication of research results.	http://dtd.nlm.nih.gov/archiving/tag-library/3.0/index.html?attr=article-type	Courte et rapide communication sur des résultats de recherche	Le type 'brief-communication' regroupe différents intitulés qui varient selon l'éditeur, la discipline, voire la revue. 	Cette catégorisation émane du type d'article original fourni par l'éditeur. Attention, rien ne vaut la lecture d'un article pour en mesurer le contenu et la qualité ! 	rapid-communication, short communication, short-report	https://publication-type.data.istex.fr/ark:/67375/JMC-0GLKJH51-B ; https://publication-type.data.istex.fr/ark:/67375/JMC-0G6R5W5T-Z	"genre.raw:""brief-communication"""	Jeu de données types de contenu	Ce jeu correspond au choix de documenter des données ISTEX et plus particulièrement les types de contenu utilisés dans ISTEX. Ils ont fait l'objet d'une homogénéisation opérée par l'équipe ISTEX-DATA et d'un alignement avec le jeu de données types de publication. Ces types permettent de retranscrire la structuration initiale de l'ouvrage.	https://docs.google.com/drawings/d/1rtQ5_GT9QIHKzEjXU5vzSiAnmcu-hdNuyuEArOwUEU4/pub?w=960&h=720	2017-10-02	LODEX Team	ISTEX	http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf
ark:/67375/XTP-BFHXPBJJ-3	conference	conference	congrès	Report of a conference, symposium, or meeting.	http://dtd.nlm.nih.gov/archiving/tag-library/3.0/index.html?attr=article-type	Rapport d'une conférence, symposium et réunion	Le type 'conference' regroupe différents intitulés qui varient selon l'éditeur, la discipline, voire la revue. 	Cette catégorisation émane du type d'article original fourni par l'éditeur. Attention, rien ne vaut la lecture d'un article pour en mesurer le contenu et la qualité ! 	meeting-report (BMJ + deGruyter), Conference	https://publication-type.data.istex.fr/ark:/67375/JMC-0GLKJH51-B ; https://publication-type.data.istex.fr/ark:/67375/JMC-5WTPMB5N-F ; https://publication-type.data.istex.fr/ark:/67375/JMC-0G6R5W5T-Z	"genre.raw:""conference"""	Jeu de données types de contenu	Ce jeu correspond au choix de documenter des données ISTEX et plus particulièrement les types de contenu utilisés dans ISTEX. Ils ont fait l'objet d'une homogénéisation opérée par l'équipe ISTEX-DATA et d'un alignement avec le jeu de données types de publication. Ces types permettent de retranscrire la structuration initiale de l'ouvrage.	https://docs.google.com/drawings/d/1rtQ5_GT9QIHKzEjXU5vzSiAnmcu-hdNuyuEArOwUEU4/pub?w=960&h=720	2017-10-02	LODEX Team	ISTEX	http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf
ark:/67375/XTP-6N5SZHKN-D	article	article	article	It is impossible to identify whether it is a primary or secondary article.	http://www.inist.fr	Il est impossible d’identifier s’il s’agit d’un article primaire ou secondaire. 	Le type 'article' regroupe différents intitulés qui varient selon l'éditeur, la discipline, voire la revue. 	Cette catégorisation émane du type d'article original fourni par l'éditeur. Attention, rien ne vaut la lecture d'un article pour en mesurer le contenu et la qualité ! 	regular features, highlights, essay	https://publication-type.data.istex.fr/ark:/67375/JMC-0GLKJH51-B ; https://publication-type.data.istex.fr/ark:/67375/JMC-0G6R5W5T-Z	"genre.raw:""article"""	Jeu de données types de contenu	Ce jeu correspond au choix de documenter des données ISTEX et plus particulièrement les types de contenu utilisés dans ISTEX. Ils ont fait l'objet d'une homogénéisation opérée par l'équipe ISTEX-DATA et d'un alignement avec le jeu de données types de publication. Ces types permettent de retranscrire la structuration initiale de l'ouvrage.	https://docs.google.com/drawings/d/1rtQ5_GT9QIHKzEjXU5vzSiAnmcu-hdNuyuEArOwUEU4/pub?w=960&h=720	2017-10-02	LODEX Team	ISTEX	http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf
ark:/67375/XTP-94FB0L8V-T	book	monograph	monographie	Books refer to works of literature, or a main division of such a work. In library and information science, a book is called a monograph, to distinguish it from serial periodicals such as magazines, journals, or newspapers	http://www.inist.fr	Les monographies se réfèrent à des ouvrages de littérature, ou à une division principale de telles œuvres. Dans la bibliothèque et la science de l'information, un livre est appelé une monographie, pour le distinguer des périodiques en série tels que les magazines, les journaux scientifiques ou les journaux	Le type 'book' regroupe les manuels de droit de l'Académie de La Haye (collection de monographies sur des sujets choisis du droit international), ainsi que des monographies issues de chez Numérique Premium sur des sujets en Histoire et Sciences Humaines.			https://publication-type.data.istex.fr/ark:/67375/JMC-5WTPMB5N-F ; https://publication-type.data.istex.fr/ark:/67375/JMC-5540BQ2P-Q	"genre.raw:""book"""	Jeu de données types de contenu	Ce jeu correspond au choix de documenter des données ISTEX et plus particulièrement les types de contenu utilisés dans ISTEX. Ils ont fait l'objet d'une homogénéisation opérée par l'équipe ISTEX-DATA et d'un alignement avec le jeu de données types de publication. Ces types permettent de retranscrire la structuration initiale de l'ouvrage.	https://docs.google.com/drawings/d/1rtQ5_GT9QIHKzEjXU5vzSiAnmcu-hdNuyuEArOwUEU4/pub?w=960&h=720	2017-10-02	LODEX Team	ISTEX	http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf
ark:/67375/XTP-CGT4WMJM-6	chapter	chapter	chapitre	Division of a book	http://www.inist.fr	Division d'une monographie	Ces chapitres proviennent de monographies et de monographies en séries (en général)		chapter	https://publication-type.data.istex.fr/ark:/67375/JMC-0G6R5W5T-Z	"genre.raw:""chapter"""	Jeu de données types de contenu	Ce jeu correspond au choix de documenter des données ISTEX et plus particulièrement les types de contenu utilisés dans ISTEX. Ils ont fait l'objet d'une homogénéisation opérée par l'équipe ISTEX-DATA et d'un alignement avec le jeu de données types de publication. Ces types permettent de retranscrire la structuration initiale de l'ouvrage.	https://docs.google.com/drawings/d/1rtQ5_GT9QIHKzEjXU5vzSiAnmcu-hdNuyuEArOwUEU4/pub?w=960&h=720	2017-10-02	LODEX Team	ISTEX	http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf
ark:/67375/XTP-36WXPZKG-C	collected-courses	collected courses	recueil de cours	Courses at the Hague Academy are published in the Collected Courses (the Academy’s flagship collection). These contributions by prestigious authors deal with the theoretical and practical aspects of the subject, including legislation and case law		Les cours de l'Académie de La Haye sont publiés sous forme de recueil de cours (collection phare de l'Académie). Ces contributions d'auteurs prestigieux portent sur les aspects théoriques et pratiques des sujets choisis du droit international, y compris la législation et la jurisprudence			collected-courses, course	https://publication-type.data.istex.fr/ark:/67375/JMC-5540BQ2P-Q	"genre.raw:""collected-courses"""	Jeu de données types de contenu	Ce jeu correspond au choix de documenter des données ISTEX et plus particulièrement les types de contenu utilisés dans ISTEX. Ils ont fait l'objet d'une homogénéisation opérée par l'équipe ISTEX-DATA et d'un alignement avec le jeu de données types de publication. Ces types permettent de retranscrire la structuration initiale de l'ouvrage.	https://docs.google.com/drawings/d/1rtQ5_GT9QIHKzEjXU5vzSiAnmcu-hdNuyuEArOwUEU4/pub?w=960&h=720	2017-10-02	LODEX Team	ISTEX	http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf
ark:/67375/XTP-29919SZJ-6	case-report	case report	étude de cas	Case study, case report, or other description of a case.	http://dtd.nlm.nih.gov/archiving/tag-library/3.0/index.html?attr=article-type	Étude de cas, rapport de cas	Le type 'case-report' regroupe différents intitulés qui varient selon l'éditeur, la discipline, voire la revue. 	Cette catégorisation émane du type d'article original fourni par l'éditeur. Attention, rien ne vaut la lecture d'un article pour en mesurer le contenu et la qualité ! 	case study	https://publication-type.data.istex.fr/ark:/67375/JMC-0GLKJH51-B	"genre.raw:""case-report"""	Jeu de données types de contenu	Ce jeu correspond au choix de documenter des données ISTEX et plus particulièrement les types de contenu utilisés dans ISTEX. Ils ont fait l'objet d'une homogénéisation opérée par l'équipe ISTEX-DATA et d'un alignement avec le jeu de données types de publication. Ces types permettent de retranscrire la structuration initiale de l'ouvrage.	https://docs.google.com/drawings/d/1rtQ5_GT9QIHKzEjXU5vzSiAnmcu-hdNuyuEArOwUEU4/pub?w=960&h=720	2017-10-02	LODEX Team	ISTEX	http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf
ark:/67375/XTP-L5L7X3NF-P	review-article	review article	article de synthèse	Secondary source. Review or state-of-the-art summary article (The related value “research-article” describes original research)	http://dtd.nlm.nih.gov/archiving/tag-library/3.0/index.html?attr=article-type	Il s’agit d’une source secondaire. L’article passe en revue des sources primaires, il se base sur des articles déjà publiés et discute des expériences. I constitue ainsi une analyse, une synthèse.	Le type 'review-article' regroupe différents intitulés qui varient selon l'éditeur, la discipline, voire la revue. 	Cette catégorisation émane du type d'article original fourni par l'éditeur. Attention, rien ne vaut la lecture d'un article pour en mesurer le contenu et la qualité ! 	review, article-commentary, review paper	https://publication-type.data.istex.fr/ark:/67375/JMC-0GLKJH51-B ; https://publication-type.data.istex.fr/ark:/67375/JMC-0G6R5W5T-Z	"genre.raw:""review-article"""	Jeu de données types de contenu	Ce jeu correspond au choix de documenter des données ISTEX et plus particulièrement les types de contenu utilisés dans ISTEX. Ils ont fait l'objet d'une homogénéisation opérée par l'équipe ISTEX-DATA et d'un alignement avec le jeu de données types de publication. Ces types permettent de retranscrire la structuration initiale de l'ouvrage.	https://docs.google.com/drawings/d/1rtQ5_GT9QIHKzEjXU5vzSiAnmcu-hdNuyuEArOwUEU4/pub?w=960&h=720	2017-10-02	LODEX Team	ISTEX	http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf
ark:/67375/XTP-HPN7T1Q2-R	abstract	abstract	résumé	The article itself is an abstract (of a paper or presentation) that usually has been presented or published separately.	http://dtd.nlm.nih.gov/archiving/tag-library/3.0/index.html?attr=article-type	Résumé d’un papier ou d’une présentation qui a été présentée ou publiée séparément.				https://publication-type.data.istex.fr/ark:/67375/JMC-0GLKJH51-B	"genre.raw:""abstract"""	Jeu de données types de contenu	Ce jeu correspond au choix de documenter des données ISTEX et plus particulièrement les types de contenu utilisés dans ISTEX. Ils ont fait l'objet d'une homogénéisation opérée par l'équipe ISTEX-DATA et d'un alignement avec le jeu de données types de publication. Ces types permettent de retranscrire la structuration initiale de l'ouvrage.	https://docs.google.com/drawings/d/1rtQ5_GT9QIHKzEjXU5vzSiAnmcu-hdNuyuEArOwUEU4/pub?w=960&h=720	2017-10-02	LODEX Team	ISTEX	http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf
