uri	titre	Définition	lien	Titre du jeu de données	Description	Modèle conceptuel	Date de création	Date de modification	Créateur	Editeur	Licence	Source de la licence	Version
ark:/67375/84B-N5P5NRB7-F	Catégories Web of Science	Cette table correspond au choix de documenter des données ISTEX et plus particulièrement les catégories web of science.	https://wos-category.data.istex.fr	Jeu des jeux de données (DATA-SET)	L'expérimentation LODEX a pour ambition d'extraire de chaque document présent dans le fonds ISTEX un même type d'information pour créer des jeux de données représentatifs, normalisés et interopérables en respectant au maximum les normes du web sémantique. Ce jeu de données décrit les différents jeux de données contenus dans LODEX.	https://docs.google.com/drawings/d/1dJGjRuEQRUdNy1xJipxSz-2TqE7zI13DmbQTUPD6dac/pub?w=960&h=720	2017-05-12	2017-07-20	LODEX team	LODEX team	Les données mises en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX. Comme les métadonnées ISTEX, elles sont placées sous le régime de la licence ouverte/_open licence_ Etalab.	http://lodex.inist.fr/licence/	v1.0
ark:/67375/84B-SD36CDZR-R	Types de publication	Cette table correspond à la sélection retenue et assumée par l'équipe Istex data et adoptée par l'équipe LODEX. Elle résulte de l'analyse des informations fournies par les éditeurs sur les types de publication. Ceux-ci constituent une des facettes permettant de valoriser les ressources ISTEX conformément aux normes du web sémantique.	https://publication-type.data.istex.fr	Jeu des jeux de données (DATA-SET)	L'expérimentation LODEX a pour ambition d'extraire de chaque document présent dans le fonds ISTEX un même type d'information pour créer des jeux de données représentatifs, normalisés et interopérables en respectant au maximum les normes du web sémantique. Ce jeu de données décrit les différents jeux de données contenus dans LODEX.	https://docs.google.com/drawings/d/1dJGjRuEQRUdNy1xJipxSz-2TqE7zI13DmbQTUPD6dac/pub?w=960&h=720	2017-05-12	2017-07-20	LODEX team	LODEX team	Les données mises en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX. Comme les métadonnées ISTEX, elles sont placées sous le régime de la licence ouverte/_open licence_ Etalab.	http://lodex.inist.fr/licence/	v1.0
ark:/67375/84B-VQG2ZCHW-L	Référentiel des corpus chargés dans ISTEX	Ce jeu correspond à l'état des lieux des corpus chargés dans ISTEX	https://loaded-corpus.data.istex.fr	Jeu des jeux de données (DATA-SET)	L'expérimentation LODEX a pour ambition d'extraire de chaque document présent dans le fonds ISTEX un même type d'information pour créer des jeux de données représentatifs, normalisés et interopérables en respectant au maximum les normes du web sémantique. Ce jeu de données décrit les différents jeux de données contenus dans LODEX.	https://docs.google.com/drawings/d/1dJGjRuEQRUdNy1xJipxSz-2TqE7zI13DmbQTUPD6dac/pub?w=960&h=720	2017-05-12	2017-07-20	LODEX team	LODEX team	Les données mises en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX. Comme les métadonnées ISTEX, elles sont placées sous le régime de la licence ouverte/_open licence_ Etalab.	http://lodex.inist.fr/licence/	v1.0
ark:/67375/84B-GMW28T7B-4	Entités nommées	Cette table correspond à une reprise du choix d'annotation des données ISTEX avec des entités nommées : mots ou groupes de mots présentant un intérêt particulier sur le plan sémantique et pouvant être catégorisés. Il s’agit de noms propres (personnes, lieux,organisations) ou d’autres unités lexicales (dates, projets financés, URL).	https://named-entity.data.istex.fr	Jeu des jeux de données (DATA-SET)	L'expérimentation LODEX a pour ambition d'extraire de chaque document présent dans le fonds ISTEX un même type d'information pour créer des jeux de données représentatifs, normalisés et interopérables en respectant au maximum les normes du web sémantique. Ce jeu de données décrit les différents jeux de données contenus dans LODEX.	https://docs.google.com/drawings/d/1dJGjRuEQRUdNy1xJipxSz-2TqE7zI13DmbQTUPD6dac/pub?w=960&h=720	2017-05-12	2017-07-20	LODEX team	LODEX team	Les données mises en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX. Comme les métadonnées ISTEX, elles sont placées sous le régime de la licence ouverte/_open licence_ Etalab.	http://lodex.inist.fr/licence/	v1.0
ark:/67375/84B-GJKNDLVK-C	Catégories Science Metrix	Ce jeu correspond au choix de documenter des données ISTEX et plus particulièrement les catégories Science-Metrix. Ces catégories ont fait l'objet d'une structuration hiérarchique au format SKOS après enrichissement, et d'un alignement avec les catégories Inist.	https://sciencemetrix-category.data.istex.fr	Jeu des jeux de données (DATA-SET)	L'expérimentation LODEX a pour ambition d'extraire de chaque document présent dans le fonds ISTEX un même type d'information pour créer des jeux de données représentatifs, normalisés et interopérables en respectant au maximum les normes du web sémantique. Ce jeu de données décrit les différents jeux de données contenus dans LODEX.	https://docs.google.com/drawings/d/1dJGjRuEQRUdNy1xJipxSz-2TqE7zI13DmbQTUPD6dac/pub?w=960&h=720	2017-05-12	2017-07-20	LODEX team	LODEX team	Les données mises en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX. Comme les métadonnées ISTEX, elles sont placées sous le régime de la licence ouverte/_open licence_ Etalab.	http://lodex.inist.fr/licence/	v1.0
ark:/67375/84B-F2NP7VDC-8	Entité placeName	L'expérimentation LODEX a pour ambition d'extraire de chaque document présent dans le fonds ISTEX un même type d'information pour créer des jeux de données représentatifs, normalisés et interopérables en respectant au maximum les normes du web sémantique. Voici un aperçu des quelques entités placeName (noms de lieux) décrites dans ce jeu de données.	https://placename-entity.data.istex.fr	Jeu des jeux de données (DATA-SET)	L'expérimentation LODEX a pour ambition d'extraire de chaque document présent dans le fonds ISTEX un même type d'information pour créer des jeux de données représentatifs, normalisés et interopérables en respectant au maximum les normes du web sémantique. Ce jeu de données décrit les différents jeux de données contenus dans LODEX.	https://docs.google.com/drawings/d/1dJGjRuEQRUdNy1xJipxSz-2TqE7zI13DmbQTUPD6dac/pub?w=960&h=720	2017-05-12	2017-07-20	LODEX team	LODEX team	Les données mises en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX. Comme les métadonnées ISTEX, elles sont placées sous le régime de la licence ouverte/_open licence_ Etalab.	http://lodex.inist.fr/licence/	v1.0
ark:/67375/84B-LSKKHM9Q-Z	Catégories Inist	Cette table correspond au choix de documenter des données ISTEX  et plus particulières les catégories INIST.  Il s’agit  des codes de classement (tronqués à 3 niveaux) utilisés lors de l'indexation pour constituer les bases de données PASCAL et FRANCIS. Ces catégories ont fait l'objet d'une structuration hiérarchique au format SKOS après enrichissement et d'un alignement avec la classification décimale universelle (CDU ) et le thésaurus de référence dans le domaine biomédical MeSH (Medical Subject Headinds).	https://inist-category.data.istex.fr	Jeu des jeux de données (DATA-SET)	L'expérimentation LODEX a pour ambition d'extraire de chaque document présent dans le fonds ISTEX un même type d'information pour créer des jeux de données représentatifs, normalisés et interopérables en respectant au maximum les normes du web sémantique. Ce jeu de données décrit les différents jeux de données contenus dans LODEX.	https://docs.google.com/drawings/d/1dJGjRuEQRUdNy1xJipxSz-2TqE7zI13DmbQTUPD6dac/pub?w=960&h=720	2017-05-12	2017-07-20	LODEX team	LODEX team	Les données mises en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX. Comme les métadonnées ISTEX, elles sont placées sous le régime de la licence ouverte/_open licence_ Etalab.	http://lodex.inist.fr/licence/	v1.0
ark:/67375/84B-G8NW02BF-S	Types de contenu	Cette table correspond à la sélection retenue et assumée par l'équipe ISTEX-DATA et adoptée par l'équipe LODEX. Elle résulte de l'analyse des informations fournies par les éditeurs sur les types de contenu. Ceux-ci constituent une des facettes permettant de valoriser les ressources ISTEX conformément aux normes du web sémantique.	https://content-type.data.istex.fr	Jeu des jeux de données (DATA-SET)	L'expérimentation LODEX a pour ambition d'extraire de chaque document présent dans le fonds ISTEX un même type d'information pour créer des jeux de données représentatifs, normalisés et interopérables en respectant au maximum les normes du web sémantique. Ce jeu de données décrit les différents jeux de données contenus dans LODEX.	https://docs.google.com/drawings/d/1dJGjRuEQRUdNy1xJipxSz-2TqE7zI13DmbQTUPD6dac/pub?w=960&h=720	2017-05-12	2017-07-20	LODEX team	LODEX team	Les données mises en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX. Comme les métadonnées ISTEX, elles sont placées sous le régime de la licence ouverte/_open licence_ Etalab.	http://lodex.inist.fr/licence/	v1.0
ark:/67375/84B-QPB6JQTS-3	Jeu des jeux de données	Cette table correspond à une collection de jeux de données produite par les différentes équipes ISTEX : jeu types de contenu article (content-type), jeu de données types de publication (publication-type), jeux de données catégories INIST (inist-category), catégories Science Metrix (sciencemetrix-category), catégories Web of Science (wos-category), jeu de données des corpus chargés dans ISTEX (loaded-corpus)  et jeux de données entités nommées (named-entity ; placename-entity ...). Il s’agit, à partir de cette table maîtresse d'accéder aux données appartenant à chaque jeu.	https://data-set.data.istex.fr	Jeu des jeux de données (DATA-SET)	L'expérimentation LODEX a pour ambition d'extraire de chaque document présent dans le fonds ISTEX un même type d'information pour créer des jeux de données représentatifs, normalisés et interopérables en respectant au maximum les normes du web sémantique. Ce jeu de données décrit les différents jeux de données contenus dans LODEX.	https://docs.google.com/drawings/d/1dJGjRuEQRUdNy1xJipxSz-2TqE7zI13DmbQTUPD6dac/pub?w=960&h=720	2017-05-12	2017-07-20	LODEX team	LODEX team	Les données mises en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX. Comme les métadonnées ISTEX, elles sont placées sous le régime de la licence ouverte/_open licence_ Etalab.	http://lodex.inist.fr/licence/	v1.0
ark:/67375/84B-HKZV2R73-T	Jeu sur les éditeurs	Cette table contient la liste des éditeurs contractuels d’ISTEX dans le cadre des licences nationales.	https://publisher-list.data.istex.fr	Jeu des jeux de données (DATA-SET)	L'expérimentation LODEX a pour ambition d'extraire de chaque document présent dans le fonds ISTEX un même type d'information pour créer des jeux de données représentatifs, normalisés et interopérables en respectant au maximum les normes du web sémantique. Ce jeu de données décrit les différents jeux de données contenus dans LODEX.	https://docs.google.com/drawings/d/1dJGjRuEQRUdNy1xJipxSz-2TqE7zI13DmbQTUPD6dac/pub?w=960&h=720	2017-05-12	2017-07-20	LODEX team	LODEX team	Les données mises en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX. Comme les métadonnées ISTEX, elles sont placées sous le régime de la licence ouverte/_open licence_ Etalab.	http://lodex.inist.fr/licence/	v1.0
