uri;  ;Nom Etablissement;Description;Type d'Etablissement;Liste des ressources;Autre label;Modèle conceptuel;Site internet;Licence;Fournisseur d'identités;Créateur;Source fournisseur d'identités;Publication;Alignement dataBnf;Date de création;Adresse;Date de modification;Rue ;Ville;Pays;Code Postal
"uid:/ABES1584HP4PA";"Ayants droit à l'usage d' ISTEX";"ISARA-Lyon";"Liste des bénéficiaires de la licence nationale dans le cadre du projet ISTEX. Ces données ont été transmises par l'ABES et ont été alignées avec les données issues de data.bnf.fr et ont enrichies avec les données issues du service de Fédération d’Identités Éducation Recherche.";"Écoles d'ingénieurs";"/api/run/syndication";"";"https://docs.google.com/drawings/d/e/2PACX-1vRZCzVhwfi1r-MhkNOt1BH0oCk9gcNn5zA6RN-IUCh91RVyyINPEAbZU8PzrrtQcw_NUT17Lqku8miX/pub?w=960&h=720";"https://www.isara.fr";"https://www.etalab.gouv.fr/licence-ouverte-open-licence";"";"ISTEX";"";"Lodex team";"";"30-08-2017";"";"31-07-2018";"23, rue Jean Baldassinin";"LYON - CEDEX 7";"France";"69364"
"uid:/ABES1BW1D18GT";"Ayants droit à l'usage d' ISTEX";"Groupe Sup de Co La Rochelle";"Liste des bénéficiaires de la licence nationale dans le cadre du projet ISTEX. Ces données ont été transmises par l'ABES et ont été alignées avec les données issues de data.bnf.fr et ont enrichies avec les données issues du service de Fédération d’Identités Éducation Recherche.";"Ecoles de management";"/api/run/syndication";"";"https://docs.google.com/drawings/d/e/2PACX-1vRZCzVhwfi1r-MhkNOt1BH0oCk9gcNn5zA6RN-IUCh91RVyyINPEAbZU8PzrrtQcw_NUT17Lqku8miX/pub?w=960&h=720";"https://www.esc-larochelle.fr/";"https://www.etalab.gouv.fr/licence-ouverte-open-licence";"";"ISTEX";"";"Lodex team";"";"30-08-2017";"";"31-07-2018";"102 rue de coureilles";"LA ROCHELLE -CEDEX 2";"France";"17024"
"uid:/ABES1CECJFVN4";"Ayants droit à l'usage d' ISTEX";"École française d'Extrême Orient";"Liste des bénéficiaires de la licence nationale dans le cadre du projet ISTEX. Ces données ont été transmises par l'ABES et ont été alignées avec les données issues de data.bnf.fr et ont enrichies avec les données issues du service de Fédération d’Identités Éducation Recherche.";"Enseignement Supérieur et Recherche";"/api/run/syndication";"";"https://docs.google.com/drawings/d/e/2PACX-1vRZCzVhwfi1r-MhkNOt1BH0oCk9gcNn5zA6RN-IUCh91RVyyINPEAbZU8PzrrtQcw_NUT17Lqku8miX/pub?w=960&h=720";"http://www.efeo.fr";"https://www.etalab.gouv.fr/licence-ouverte-open-licence";"";"ISTEX";"";"Lodex team";"http://data.bnf.fr/ark:/12148/cb118755461";"30-08-2017";"";"31-07-2018";"22, avenue du Président Wilson";"PARIS";"France";"75116"
"uid:/ABES1DFEJD1V1";"Ayants droit à l'usage d' ISTEX";"Bibliothèque Diderot de Lyon - ENS de Lyon";"Liste des bénéficiaires de la licence nationale dans le cadre du projet ISTEX. Ces données ont été transmises par l'ABES et ont été alignées avec les données issues de data.bnf.fr et ont enrichies avec les données issues du service de Fédération d’Identités Éducation Recherche.";"Universités";"/api/run/syndication";"";"https://docs.google.com/drawings/d/e/2PACX-1vRZCzVhwfi1r-MhkNOt1BH0oCk9gcNn5zA6RN-IUCh91RVyyINPEAbZU8PzrrtQcw_NUT17Lqku8miX/pub?w=960&h=720";"http://www.bibliotheque-diderot.fr/";"https://www.etalab.gouv.fr/licence-ouverte-open-licence";"https://idp.ens-lyon.fr/idp/shibboleth";"ISTEX";"https://federation.renater.fr/liste?action=view&file_id=26137881d5dc56b6b450";"Lodex team";"";"30-08-2017";"";"31-07-2018";"15, parvis René Descartes, BP 7000";"LYON - CEDEX 7";"France";"69342"
"uid:/ABES1DT9EP6P7";"Ayants droit à l'usage d' ISTEX";"Université de Tours";"Liste des bénéficiaires de la licence nationale dans le cadre du projet ISTEX. Ces données ont été transmises par l'ABES et ont été alignées avec les données issues de data.bnf.fr et ont enrichies avec les données issues du service de Fédération d’Identités Éducation Recherche.";"Universités";"/api/run/syndication";"Université François-Rabelais de Tours";"https://docs.google.com/drawings/d/e/2PACX-1vRZCzVhwfi1r-MhkNOt1BH0oCk9gcNn5zA6RN-IUCh91RVyyINPEAbZU8PzrrtQcw_NUT17Lqku8miX/pub?w=960&h=720";"http://www.univ-tours.fr";"https://www.etalab.gouv.fr/licence-ouverte-open-licence";"https://idp.univ-tours.fr/idp/shibboleth";"ISTEX";"https://federation.renater.fr/liste?action=view&file_id=44d07e0d06d39518dba4";"Lodex team";"http://data.bnf.fr/ark:/12148/cb11865804q";"30-08-2017";"";"31-07-2018";"60, rue du Plat d'Etain, BP 12050";"TOURS - CEDEX 1";"France";"37020"
"uid:/ABES1FL90SAB7";"Ayants droit à l'usage d' ISTEX";"Montpellier SupAgro";"Liste des bénéficiaires de la licence nationale dans le cadre du projet ISTEX. Ces données ont été transmises par l'ABES et ont été alignées avec les données issues de data.bnf.fr et ont enrichies avec les données issues du service de Fédération d’Identités Éducation Recherche.";"EPIC/EPST";"/api/run/syndication";"";"https://docs.google.com/drawings/d/e/2PACX-1vRZCzVhwfi1r-MhkNOt1BH0oCk9gcNn5zA6RN-IUCh91RVyyINPEAbZU8PzrrtQcw_NUT17Lqku8miX/pub?w=960&h=720";"www.montpellier-supagro.fr/";"https://www.etalab.gouv.fr/licence-ouverte-open-licence";"https://idp.supagro.fr/idp";"ISTEX";"https://federation.renater.fr/liste?action=view&file_id=bef148d89458d1b4ce5b";"Lodex team";"http://data.bnf.fr/ark:/12148/cb15808732q";"30-08-2017";"";"31-07-2018";"2, place Viala";"MONTPELLIER - CEDEX 2";"France";"34060"
"uid:/ABES1GEH9CC8M";"Ayants droit à l'usage d' ISTEX";"TBS- TOULOUSE BUSINESS SCHOOL";"Liste des bénéficiaires de la licence nationale dans le cadre du projet ISTEX. Ces données ont été transmises par l'ABES et ont été alignées avec les données issues de data.bnf.fr et ont enrichies avec les données issues du service de Fédération d’Identités Éducation Recherche.";"Enseignement Supérieur et Recherche";"/api/run/syndication";"";"https://docs.google.com/drawings/d/e/2PACX-1vRZCzVhwfi1r-MhkNOt1BH0oCk9gcNn5zA6RN-IUCh91RVyyINPEAbZU8PzrrtQcw_NUT17Lqku8miX/pub?w=960&h=720";"http://www.esc-toulouse.fr/fr";"https://www.etalab.gouv.fr/licence-ouverte-open-licence";"";"ISTEX";"";"Lodex team";"http://data.bnf.fr/ark:/12148/cb12157764h";"30-08-2017";"";"31-07-2018";"20, bd Lascrosses, BP 7010";"TOULOUSE - CEDEX 7";"France";"31068"
"uid:/ABES1I4LRRK7A";"Ayants droit à l'usage d' ISTEX";"The American University of Paris";"Liste des bénéficiaires de la licence nationale dans le cadre du projet ISTEX. Ces données ont été transmises par l'ABES et ont été alignées avec les données issues de data.bnf.fr et ont enrichies avec les données issues du service de Fédération d’Identités Éducation Recherche.";"Enseignement Supérieur et Recherche";"/api/run/syndication";"";"https://docs.google.com/drawings/d/e/2PACX-1vRZCzVhwfi1r-MhkNOt1BH0oCk9gcNn5zA6RN-IUCh91RVyyINPEAbZU8PzrrtQcw_NUT17Lqku8miX/pub?w=960&h=720";"http://www.aup.edu";"https://www.etalab.gouv.fr/licence-ouverte-open-licence";"";"ISTEX";"";"Lodex team";"http://data.bnf.fr/ark:/12148/cb122021743";"30-08-2017";"";"31-07-2018";"Bibliothèque AUP - 9, rue de Monttessuy";"PARIS";"France";"75007"
"uid:/ABES1IQI3JBHT";"Ayants droit à l'usage d' ISTEX";"Ecole normale supérieure de Rennes";"Liste des bénéficiaires de la licence nationale dans le cadre du projet ISTEX. Ces données ont été transmises par l'ABES et ont été alignées avec les données issues de data.bnf.fr et ont enrichies avec les données issues du service de Fédération d’Identités Éducation Recherche.";"EPIC/EPST";"/api/run/syndication";"";"https://docs.google.com/drawings/d/e/2PACX-1vRZCzVhwfi1r-MhkNOt1BH0oCk9gcNn5zA6RN-IUCh91RVyyINPEAbZU8PzrrtQcw_NUT17Lqku8miX/pub?w=960&h=720";"http://www.ens-rennes.fr/";"https://www.etalab.gouv.fr/licence-ouverte-open-licence";"";"ISTEX";"";"Lodex team";"";"30-08-2017";"";"31-07-2018";"Avenue Robert Schuman, Campus de Ker Lann";"BRUZ";"France";"35170"
"uid:/ABES1KW8NY88T";"Ayants droit à l'usage d' ISTEX";"CENTRE HOSPITALIER REGIONAL UNIVERSITAIRE NIMES";"Liste des bénéficiaires de la licence nationale dans le cadre du projet ISTEX. Ces données ont été transmises par l'ABES et ont été alignées avec les données issues de data.bnf.fr et ont enrichies avec les données issues du service de Fédération d’Identités Éducation Recherche.";"Hôpitaux universitaires";"/api/run/syndication";"";"https://docs.google.com/drawings/d/e/2PACX-1vRZCzVhwfi1r-MhkNOt1BH0oCk9gcNn5zA6RN-IUCh91RVyyINPEAbZU8PzrrtQcw_NUT17Lqku8miX/pub?w=960&h=720";"http://www.chu-nimes.fr/";"https://www.etalab.gouv.fr/licence-ouverte-open-licence";"";"ISTEX";"";"Lodex team";"http://data.bnf.fr/ark:/12148/cb121699266";"30-08-2017";"";"31-07-2018";"Place du Professeur Robert Debré";"NIMES - CEDEX 9";"France";"30029"
