uri; ;Nom long du corpus ISTEX;Description;Nom de l’éditeur;Liste des ressources;Information sur l’éditeur;Modèle conceptuel;Identifiant du corpus ISTEX;Licence;Domaine scientifique;Créateur;lien vers domaine scientifique;Publication;état de collection;Date de création;début;Date de modification;fin;nombre de titres de revue;nombre de titres de monographie;description;source;année d'acquisition;accès fichiers kbart - BACON - BAse de COnnaissance Nationale de l'ABES;bénéficiaires;licences nationales;langue de la ressource;chargement;année de chargement;cette ressource dans ISTEX
"ark:/67375/XBH-00BJNC61-D";"Référentiel des corpus chargés dans ISTEX";"EDP Sciences";"Jeu de données décrivant la liste des corpus disponibles dans l’API-ISTEX.";"EDP Sciences";"/api/run/syndication";"https://scientific-publisher.data.istex.fr/ark:/67375/H02-RWBHQBJV-W";"https://docs.google.com/drawings/d/14nzpA38UM_uVLtF9ubeKqgjtV3f6NOogftIYh5yrA_w/pub?w=960&h=720";"edp-sciences";"http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf";"Pluridisciplinaire";"Inist-CNRS";"https://scientific-domain.data.istex.fr/ark:/67375/4P5-JX9M1P02-3";"Plateforme ISTEX";"Des origines à 2012";"2017-12-07";"1872";"2018-12-06";"2012";"91";"";"Archives de 91 titres de revues scientifiques, souvent depuis leur premier numéro et jusque 2012, dont les prestigieux titres « Journal de Physique » et « Le Radium ».  Il couvre les domaines allant des mathématiques aux sciences du vivant en passant par la physique et la biologie.";"https://www.licencesnationales.fr/liste-ressource/edp-sciences-revues/";"2017";"https://bacon.abes.fr/package2kbart/EDPSCIENCES_FRANCE_ISTEXJOURNALS";"Tous les établissements publics français (situés ou non sur le territoire français) ayant des missions d’enseignement supérieur et/ou de recherche, lesétablissements d’enseignement supérieur privés, la BnF, la BPI et toutes les bibliothéques publiques.";"https://www.licencesnationales.fr/wp-content/uploads/Marche_2017-06_EDPSciences_Licence.pdf";"multilingue";"Disponible dans l'API-ISTEX";"2018";"corpusName.raw:""edp-sciences"""
"ark:/67375/XBH-0J1N7DQT-B";"Référentiel des corpus chargés dans ISTEX";"Sage";"Jeu de données décrivant la liste des corpus disponibles dans l’API-ISTEX.";"Sage";"/api/run/syndication";"https://scientific-publisher.data.istex.fr/ark:/67375/H02-7W6GJSM4-X";"https://docs.google.com/drawings/d/14nzpA38UM_uVLtF9ubeKqgjtV3f6NOogftIYh5yrA_w/pub?w=960&h=720";"sage";"http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf";"Sciences économiques et gestion";"Inist-CNRS";"https://scientific-domain.data.istex.fr/ark:/67375/4P5-KRHKFQ2C-L";"Plateforme ISTEX";"Des origines à 2009";"2017-12-07";"1847";"2018-12-06";"2009";"748";"";"Archives de 748 titres de revues scientifiques pluridisciplinaires de 1847 à 2009.";"http://www.licencesnationales.fr/liste-ressource/sage-revues/";"2014";"http://bacon.abes.fr/package2kbart/SAGE_FRANCE_ISTEXJOURNALS";"Tous les établissements publics français (situés ou non sur le territoire français) ayant des missions d’enseignement supérieur et/ou de recherche, les établissements d’enseignement supérieur privés, les CHR/CHU, la BnF, la BPI et toutes les bibliothèques publiques.";"http://www.licencesnationales.fr/wp-content/uploads/Licence-signee_sage_istex_finale.pdf";"multilingue";"Disponible dans l’API-ISTEX";"2015";"corpusName.raw:""sage"""
"ark:/67375/XBH-28JZMH20-M";"Référentiel des corpus chargés dans ISTEX";"Gale-Eigtheenth Century Collections Online (ECCO)";"Jeu de données décrivant la liste des corpus disponibles dans l’API-ISTEX.";"Gale Cengage";"/api/run/syndication";"https://scientific-publisher.data.istex.fr/ark:/67375/H02-P08W2FQ2-9";"https://docs.google.com/drawings/d/14nzpA38UM_uVLtF9ubeKqgjtV3f6NOogftIYh5yrA_w/pub?w=960&h=720";"ecco";"http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf";"Lettres et sciences humaines";"Inist-CNRS";"https://scientific-domain.data.istex.fr/ark:/67375/4P5-7DJ8J3D4-D";"Plateforme ISTEX";"Période de 1701 à 1800";"2017-12-07";"1701";"2018-12-06";"1800";"591";"183180";"Archives de plus de 180 000 titres de revues et de monographies scientifiques dans les domaines scientifiques de l’histoire et la géographie, les sciences sociales et les Beaux-Arts, la médecine, les sciences et la technologie, les langues et la littérature, la religion et la philosophie, le droit de 1701 à 1800. ";"http://www.licencesnationales.fr/liste-ressource/eighteenth-century-collections-online/";"2012";"http://abes.fr/Media/Fichiers/Ressources-electroniques/ECCO_liste_tabulee_perios";"Tous les établissements publics français (situés ou non sur le territoire français) ayant des missions d’enseignement supérieur et/ou de recherche, les établissements d’enseignement supérieur privés, la BnF, la BPI, toutes les bibliothèques publiques, et les bibliothèques du réseau culturel français à l’étranger.";"http://www.licencesnationales.fr/wp-content/uploads/Licence_Gale_ECCO_2012-05.pdf";"multilingue";"Disponible dans l’API-ISTEX";"2012";"corpusName.raw:""ecco"""
"ark:/67375/XBH-3XSW68JL-F";"Référentiel des corpus chargés dans ISTEX";"Springer-revues";"Jeu de données décrivant la liste des corpus disponibles dans l’API-ISTEX.";"Springer Nature";"/api/run/syndication";"https://scientific-publisher.data.istex.fr/ark:/67375/H02-SWLMH5L1-1";"https://docs.google.com/drawings/d/14nzpA38UM_uVLtF9ubeKqgjtV3f6NOogftIYh5yrA_w/pub?w=960&h=720";"springer-journals";"http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf";"Sciences et techniques";"Inist-CNRS";"https://scientific-domain.data.istex.fr/ark:/67375/4P5-LW5CBGBW-N";"Plateforme ISTEX";"Des origines à 1996";"2017-12-07";"1832";"2018-12-06";"2014";"1393";"";"Archives de 1 393 titres de revues scientifiques dans le domaine des sciences et techniques de 1832 à 1996. ";"https://www.licencesnationales.fr/liste-ressource/springer-2/";"2011";"http://bacon.abes.fr/package2kbart/SPRINGER_FRANCE_ISTEXJOURNALS";"Tous les établissements publics français (situés ou non sur le territoire français) ayant des missions d’enseignement supérieur et/ou de recherche, les établissements d’enseignement supérieur privés, les CHR/CHU, la BnF, la BPI et toutes les bibliothèques publiques.";"http://www.licencesnationales.fr/wp-content/uploads/Licence_Nationale_Springer_OJA_07_2011.pdf";"multilingue";"Disponible dans l’API-ISTEX";"2012";"corpusName.raw:""springer-journals"""
"ark:/67375/XBH-4D4R3TJT-T";"Référentiel des corpus chargés dans ISTEX";"Institute of Physics Publishing (IOP)";"Jeu de données décrivant la liste des corpus disponibles dans l’API-ISTEX.";"Institute of Physics Publishing";"/api/run/syndication";"https://scientific-publisher.data.istex.fr/ark:/67375/H02-FGF2R386-Z";"https://docs.google.com/drawings/d/14nzpA38UM_uVLtF9ubeKqgjtV3f6NOogftIYh5yrA_w/pub?w=960&h=720";"iop";"http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf";"Sciences et techniques";"Inist-CNRS";"https://scientific-domain.data.istex.fr/ark:/67375/4P5-LW5CBGBW-N";"Plateforme ISTEX";"Des origines à 2012";"2017-12-07";"1874";"2018-12-06";"2012";"105";"";"Archives de 105 titres de revues scientifiques dans le domaine des sciences et techniques de 1874 à 2012.";"https://www.licencesnationales.fr/liste-ressource/institute-of-physics-publishing-revues/";"2014";"http://bacon.abes.fr/package2kbart/IOP_FRANCE_ISTEXJOURNALS";"Tous les établissements publics français (situés ou non sur le territoire français) ayant des missions d’enseignement supérieur et/ou de recherche, les établissements d’enseignement supérieur privés, les CHR/CHU, la BnF, la BPI et toutes les bibliothèques publiques.";"http://www.licencesnationales.fr/wp-content/uploads/Licence-IoP-signee.pdf";"multilingue";"Disponible dans l’API-ISTEX";"2015";"corpusName.raw:""iop"""
"ark:/67375/XBH-4L897VLR-T";"Référentiel des corpus chargés dans ISTEX";"Lavoisier";"Jeu de données décrivant la liste des corpus disponibles dans l’API-ISTEX.";"Lavoisier";"/api/run/syndication";"https://scientific-publisher.data.istex.fr/ark:/67375/H02-CQ8NZ9RJ-M";"https://docs.google.com/drawings/d/14nzpA38UM_uVLtF9ubeKqgjtV3f6NOogftIYh5yrA_w/pub?w=960&h=720";"lavoisier";"http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf";"Sciences de la vie et santé; Sciences et techniques";"Inist-CNRS";"https://scientific-domain.data.istex.fr/ark:/67375/4P5-XMHMQQS9-6,https://scientific-domain.data.istex.fr/ark:/67375/4P5-LW5CBGBW-N";"Plateforme ISTEX";"Des origines à 2013";"2017-12-07";"1984";"2018-12-06";"2013";"34";"";"Archives de 34 titres de revues scientifiques dans des sciences de la vie et de la santé, parfois du premier numéro à 2013. Attention : l’éditeur ne propose pas l’accès au contenu via sa propre plate-forme. Les contenus de Lavoisier seront accessibles uniquement via la plate-forme ISTEX.";"https://www.licencesnationales.fr/liste-ressource/lavoisier-revues/";"2017";"https://www.licencesnationales.fr/wp-content/uploads/Lavoisier_listecontractuelle_12092017.xlsx";"Personnes morales pour le compte desquelles la licence est souscrite à savoir l’ensemble des personnes ou organismes publics ou privés ayant une activité d’enseignement supérieur ou de recherche, ainsi que la BnF et les bibliothèques publiques, notamment la BPI.";"https://www.licencesnationales.fr/wp-content/uploads/Marche_2017-16_Lavoisier_Licence.pdf";"française";"Disponible dans l’API-ISTEX";"2018";"corpusName.raw:""lavoisier"""
"ark:/67375/XBH-4WZF4NWT-L";"Référentiel des corpus chargés dans ISTEX";"Nature";"Jeu de données décrivant la liste des corpus disponibles dans l’API-ISTEX.";"Nature Publishing Group";"/api/run/syndication";"https://scientific-publisher.data.istex.fr/ark:/67375/H02-12K39592-G";"https://docs.google.com/drawings/d/14nzpA38UM_uVLtF9ubeKqgjtV3f6NOogftIYh5yrA_w/pub?w=960&h=720";"nature";"http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf";"Pluridisciplinaire";"Inist-CNRS";"https://scientific-domain.data.istex.fr/ark:/67375/4P5-JX9M1P02-3";"Plateforme ISTEX";"Des origines à 2012";"2017-12-07";"1869";"2018-12-06";"2012";"11";"";"Archives de 11 titres de revues scientifiques pluridisciplinaires de 1869 à 2012.";"https://www.licencesnationales.fr/liste-ressource/nature/";"2014";"http://bacon.abes.fr/package2kbart/NPG_FRANCE_ISTEXJOURNALS";"Tous les établissements publics français (situés ou non sur le territoire français) ayant des missions d’enseignement supérieur et/ou de recherche, les établissements d’enseignement supérieur privés, les CHR/CHU, la BnF, la BPI et toutes les bibliothèques publiques.";"http://www.licencesnationales.fr/wp-content/uploads/LICENCE-2013-18-ISTEX-NATURE.pdf";"multilingue";"Disponible dans l’API-ISTEX";"2015";"corpusName.raw:""nature"""
"ark:/67375/XBH-56W3KPD5-3";"Référentiel des corpus chargés dans ISTEX";"Brill-revues";"Jeu de données décrivant la liste des corpus disponibles dans l’API-ISTEX.";"Brill";"/api/run/syndication";"https://scientific-publisher.data.istex.fr/ark:/67375/H02-K2ZBW2MB-4";"https://docs.google.com/drawings/d/14nzpA38UM_uVLtF9ubeKqgjtV3f6NOogftIYh5yrA_w/pub?w=960&h=720";"brill-journals";"http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf";"Pluridisciplinaire";"Inist-CNRS";"https://scientific-domain.data.istex.fr/ark:/67375/4P5-JX9M1P02-3";"Plateforme ISTEX";"Des origines à 2012";"2017-12-07";"1853";"2018-12-06";"2012";"203";"";"Archives de 203 titres de revues scientifiques pluridisciplinaires de 1853 à 2012.";"https://www.licencesnationales.fr/liste-ressource/brill-revues/";"2014";"http://bacon.abes.fr/package2kbart/BRILL_FRANCE_ISTEXJOURNALS";"Tous les établissements publics français (situés ou non sur le territoire français) ayant des missions d’enseignement supérieur et/ou de recherche, les établissements d’enseignement supérieur privés, les CHR/CHU, la BnF, la BPI et toutes les bibliothèques publiques.";"http://www.licencesnationales.fr/wp-content/uploads/Licence-Brill-signé.pdf";"multilingue";"Disponible dans l’API-ISTEX";"2014";"corpusName.raw:""brill-journals"""
"ark:/67375/XBH-7M42M2QJ-2";"Référentiel des corpus chargés dans ISTEX";"British Medical Journal";"Jeu de données décrivant la liste des corpus disponibles dans l’API-ISTEX.";"British Medical Journal";"/api/run/syndication";"https://scientific-publisher.data.istex.fr/ark:/67375/H02-ZD657HT6-W";"https://docs.google.com/drawings/d/14nzpA38UM_uVLtF9ubeKqgjtV3f6NOogftIYh5yrA_w/pub?w=960&h=720";"bmj";"http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf";"Sciences de la vie et santé";"Inist-CNRS";"https://scientific-domain.data.istex.fr/ark:/67375/4P5-XMHMQQS9-6";"Plateforme ISTEX";"Des origines à 2013";"2017-12-07";"1840";"2018-12-06";"2013";"64";"";"Archives de 64 titres de revues scientifiques dans le domaine des sciences de la vie et de la santé de 1840 à 2013.";"https://www.licencesnationales.fr/liste-ressource/british-medical-journal-revues/";"2014";"http://bacon.abes.fr/package2kbart/BMJ_FRANCE_ISTEXJOURNALS";"Tous les établissements publics français (situés ou non sur le territoire français) ayant des missions d’enseignement supérieur et/ou de recherche, les établissements d’enseignement supérieur privés, les CHR/CHU, la BnF, la BPI et toutes les bibliothèques publiques.";"http://www.licencesnationales.fr/wp-content/uploads/Licence_BMJ_signee.pdf";"multilingue";"Disponible dans l’API-ISTEX";"2014";"corpusName.raw:""bmj"""
"ark:/67375/XBH-9G49N83K-2";"Référentiel des corpus chargés dans ISTEX";"Royal Society of Chemistry-ebooks";"Jeu de données décrivant la liste des corpus disponibles dans l’API-ISTEX.";"Royal Society of Chemistry";"/api/run/syndication";"https://scientific-publisher.data.istex.fr/ark:/67375/H02-1368GWRS-X";"https://docs.google.com/drawings/d/14nzpA38UM_uVLtF9ubeKqgjtV3f6NOogftIYh5yrA_w/pub?w=960&h=720";"rsc-ebooks";"http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf";"Sciences et techniques";"Inist-CNRS";"https://scientific-domain.data.istex.fr/ark:/67375/4P5-LW5CBGBW-N";"Plateforme ISTEX";"Des origines à 2014";"2017-12-07";"1968";"2018-12-06";"2014";"";"1347";"Archives de 1 347 titres de monographies scientifiques dans le domaine des sciences et techniques de 1968 à 2014.";"https://www.licencesnationales.fr/liste-ressource/royal-society-of-chemistry-ebooks/";"2016";"http://bacon.abes.fr/package2kbart/RSC_FRANCE_ISTEXEBOOKS";"Tous les établissements publics français (situés ou non sur le territoire français) ayant des missions d’enseignement supérieur et/ou de recherche, les établissements d’enseignement supérieur privés, les CHR/CHU, la BnF, la BPI et toutes les bibliothèques publiques.";"http://www.licencesnationales.fr/wp-content/uploads/Licence-signee_ISTEX_RSC_ebooks.pdf";"multilingue";"Disponible dans l’API-ISTEX";"2016";"corpusName.raw:""rsc-ebooks"""
