uri;Titre de l'article;Auteur;Pourquoi?;Editeur;ARK correspondant au jeu de corpus;Discipline;URI correspondant à la;TEI Linéaire;Pub2TEI;ark istex;id istex;Les documents sélectionnés
"uid:/09H017TV";"Myopic Loss Aversion and the Equity Premium Puzzle";"Shlomo Benartzi,Richard H.Thaler";"R. H. Thaler Nobel Economie 2017";"OUP";"https://loaded-corpus.data.istex.fr/ark:/67375/XBH-GTWS0RDP-M";"Pluridisciplinaire";"https://scientific-domain.data.istex.fr/ark:/67375/4P5-JX9M1P02-3";"X";"";"ark:/67375/HXZ-6Q5B70FB-T";"493E5BC4F026238E11219BD969603FA527F17E5B";"/api/run/syndication"
"uid:/0KP4RMX7";"Postmemory, Prememory, Paramemory: The Writing of Patrick Modiano";"Johnnie Gratton";"Patrick Modiano Nobel Littérature 2014";"OUP";"https://loaded-corpus.data.istex.fr/ark:/67375/XBH-GTWS0RDP-M";"Pluridisciplinaire";"https://scientific-domain.data.istex.fr/ark:/67375/4P5-JX9M1P02-3";"X";"";"ark:/67375/HXZ-GXH05C0W-Q";"6FE6E15F33DE28B3786AD195D8F64838F4A173E6";"/api/run/syndication"
"uid:/1QL6FFS5";"Optimal Transport and Curvature";"Alessio Figalli,Cédric Villani";"Cédric Villani Médaille Field 2010";"Springer Nature";"https://loaded-corpus.data.istex.fr/ark:/67375/XBH-RLRX46XW-4";"Sciences et technique";"https://scientific-domain.data.istex.fr/ark:/67375/4P5-LW5CBGBW-N";"X";"ark:/67375/HCB-1LMQK38L-D";"ark:/67375/HCB-1LMQK38L-D";"91B64977A32885ECEC535087EAF3EB19B5F806E3";"/api/run/syndication"
"uid:/3QQJM4BC";"La «scène terroriste» : réflexions théoriques autour de l'«ancien» et du «nouveau» terrorisme";"Antoine Mégie";"Evolution du terrorisme";"Cambridge";"https://loaded-corpus.data.istex.fr/ark:/67375/XBH-G3RCRD03-V";"Pluridisciplinaire";"https://scientific-domain.data.istex.fr/ark:/67375/4P5-JX9M1P02-3";"X";"";"ark:/67375/6GQ-B5NS9730-B";"4626DB0C34D82CE2939DF5C214352850F9481956";"/api/run/syndication"
"uid:/50LW45DK";"Copper-complexed catenanes and rotaxanes in motion: 15 years of molecular machines";"Stéphanie Durot,Felipe Reviriego,Jean-Pierre Sauvage";"Jean-Pierre Sauvage Nobel Chimie 2016 ";"RSC journal";"https://loaded-corpus.data.istex.fr/ark:/67375/XBH-Z6ZBG4DQ-N";"Sciences et technique";"https://scientific-domain.data.istex.fr/ark:/67375/4P5-LW5CBGBW-N";"X";"";"ark:/67375/QHD-J10NPNJK-G

";"B1C50C35621D64E3E9E43228874103DC974AC8F2";"/api/run/syndication"
"uid:/62XRKKKG";"Remapping the Fiscal State After the Global Financial Crisis";"Andrew van Hulten";"Evasion fiscale";"Wiley";"https://loaded-corpus.data.istex.fr/ark:/67375/XBH-L0C46X92-X";"Sciences économiques et gestion";"https://scientific-domain.data.istex.fr/ark:/67375/4P5-KRHKFQ2C-L";"";"X";"ark:/67375/WNG-BQHX1Q24-D";"5AA879B1BA71228E9A2DA0CC015C9BEE857F03E7";"/api/run/syndication"
"uid:/7TD77RR9";"Aimé Césaire, Frantz Fanon Portraits de décolonisés";"Sylvie Gillet";"Lutte contre le colonialisme ";"Numerique premium ";"https://loaded-corpus.data.istex.fr/ark:/67375/XBH-XPK2D80W-F";"Lettres et sciences humaines";"https://scientific-domain.data.istex.fr/ark:/67375/4P5-7DJ8J3D4-D";"X";"";"ark:/67375/C41-22L7SNL3-4";"3AEF6E1C07B7197AE3B46E1211A0105F72A0909E";"/api/run/syndication"
"uid:/985BX9G8";"Tests of quantum mechanics with single atoms in high Q cavities";"Serge Haroche";"Nobel 2012";"Springer Nature";"https://loaded-corpus.data.istex.fr/ark:/67375/XBH-3XSW68JL-F";"Sciences et technique";"https://scientific-domain.data.istex.fr/ark:/67375/4P5-LW5CBGBW-N";"X";"";"ark:/67375/VQC-XMSD8GB9-4";"085BAF015321B0706A7BBA48270304EBC5CB5752";"/api/run/syndication"
"uid:/9RCH2DJJ";"Biological studies of post-traumatic stress disorder";"Roger K. Pitman,Ann M. Rasmusson,Karestan C. Koenen,Lisa M. Shin,Scott P. Orr,Mark W. Gilbertson,Mohammed R. Milad,Israel Liberzon";"Stress post traumatique : guerres attentats";"Nature";"https://loaded-corpus.data.istex.fr/ark:/67375/XBH-4WZF4NWT-L";"Pluridisciplinaire";"https://scientific-domain.data.istex.fr/ark:/67375/4P5-JX9M1P02-3";"X";"";"ark:/67375/GT4-47XJBF9Q-8";"C69387762B6D99BBE200E3863B0D44DF7C067E66";"/api/run/syndication"
"uid:/C7WLH95Q";"Sexual harassment and abuse in sport: the role of the team doctor";"Saul Marks,Margo Mountjoy,Madalyn Marcus";"Harcèlement sexuel";"BMJ";"https://loaded-corpus.data.istex.fr/ark:/67375/XBH-7M42M2QJ-2";"Sciences de la vie et santé";"https://scientific-domain.data.istex.fr/ark:/67375/4P5-XMHMQQS9-6";"X";"";"ark:/67375/NVC-C6Z4P871-4";"0C15A1DE0B1DC2858BD41998AB82DD5A10BD542B";"/api/run/syndication"
"uid:/D4VRW9GW";"Commercial surrogacy: how provisions of monetary remuneration and powers of international law can prevent exploitation of gestational surrogates";"Louise Anna Helena Ramskold,Marcus Paul Posner";"Gestation pour autrui : loi, rémunération..";"BMJ";"https://loaded-corpus.data.istex.fr/ark:/67375/XBH-7M42M2QJ-2";"Sciences de la vie et santé";"https://scientific-domain.data.istex.fr/ark:/67375/4P5-XMHMQQS9-6";"X";"";"ark:/67375/NVC-MJ8LPN3X-R";"5B968981D439AD0C95AB8DFFB9E8BCBEFFCF8A3D";"/api/run/syndication"
"uid:/DJHZKDP1";"Le Deuxième Sexe  ";"Simone de Beauvoir";" Essai existentialiste et féministe";"Numerique premium ";"https://loaded-corpus.data.istex.fr/ark:/67375/XBH-XPK2D80W-F";"Lettres et sciences humaines";"https://scientific-domain.data.istex.fr/ark:/67375/4P5-7DJ8J3D4-D";"X";"";"ark:/67375/C41-3JLR446Z-7";"1F4C55FAA61F90EDFC37DE74DF12D739C854BE2A";"/api/run/syndication"
"uid:/F8GZSFS0";"Credit rating agencies , the subprime mortgage debacle and global governance: The EU strikes back";"Harry Mcvea";"Subprime : crise 2007";"Cambridge";"https://loaded-corpus.data.istex.fr/ark:/67375/XBH-G3RCRD03-V";"Pluridisciplinaire";"https://scientific-domain.data.istex.fr/ark:/67375/4P5-JX9M1P02-3";"X";"";"ark:/67375/6GQ-MLC8GRWC-5";"784305308C8E8716F8846E8765CC2EBE511FFB7E";"/api/run/syndication"
"uid:/GDD1CP1K";"Framing robot arms control";"Wendell Wallach,Colin Allen";"Robots et guerre";"Springer Nature";"https://loaded-corpus.data.istex.fr/ark:/67375/XBH-3XSW68JL-F";"Sciences et technique";"https://scientific-domain.data.istex.fr/ark:/67375/4P5-LW5CBGBW-N";"";"";"ark:/67375/VQC-TCLN1FK6-Z";"B68BC1559311E3D749ECC1E7DA87807146D34C6D";"/api/run/syndication"
"uid:/GDP9NHTR";"Student Perceptions of Mistreatment and Harassment During Medical School A Survey of Ten United States Schools";"Witt C. Baldwin,Steven R. Daugherty,Edward J. Eckenfels";"Harcèlement physique et psychologique";"BMJ";"https://loaded-corpus.data.istex.fr/ark:/67375/XBH-7M42M2QJ-2";"Sciences de la vie et santé";"https://scientific-domain.data.istex.fr/ark:/67375/4P5-XMHMQQS9-6";"X";"";"ark:/67375/NVC-ZDNSV5XP-5";"F45D266FE7961F775CF2BCEB94CB0CE920612253";"/api/run/syndication"
"uid:/H5GRXGK2";"Jean-Jacques Rousseau vitaliste : La moralisation de l’hygiène médicale entre régime diététique et éthique alimentaire";"Marco Menin";"Clin d'oeil au colloque sur l'hygiène au 21 siècle organisé par INSHS ";"Brill Journal";"https://loaded-corpus.data.istex.fr/ark:/67375/XBH-56W3KPD5-3";"Lettres et sciences humaines";"https://scientific-domain.data.istex.fr/ark:/67375/4P5-7DJ8J3D4-D";"X";"";"ark:/67375/JKT-T3K1XBKC-V";"FB10F6877B4DE053F39B690AC2CA946F479C61D2";"/api/run/syndication"
"uid:/HD8XLCF9";"Législation sur la protection de l'emploi et stabilité des emplois: une analyse transversale en Europe";"Sandrine Cazes,Mirco Tonin";"Loi travail ";"Wiley";"https://loaded-corpus.data.istex.fr/ark:/67375/XBH-L0C46X92-X";"Sciences économiques et gestion";"https://scientific-domain.data.istex.fr/ark:/67375/4P5-KRHKFQ2C-L";"";"X";"ark:/67375/WNG-GLWWMPDP-N";"C94008B5746EFB72D1A556CC9C31A7CD929A4513";"/api/run/syndication"
"uid:/HZF81L1C";"Chapitre I - Le domaine du régime communautaire de circulation";"Marc Fallon";"Circulation des biens et des personnes";"Brill-hacco";"https://loaded-corpus.data.istex.fr/ark:/67375/XBH-JTPD0WM6-L";"Sciences juridiques";"https://scientific-domain.data.istex.fr/ark:/67375/4P5-2KXMFZP3-5";"X";"";"ark:/67375/TP3-JZKZ6VTK-1";"D6836F287708BAD66B760ED2AFBE266B04D4DB3D";"/api/run/syndication"
"uid:/J1MGWG2D";"The Euro Changeover and Its Effects on Price Transparency and Inflation";"Wioletta Dziuda,Giovanni Mastrobuoni";"Passage à l'Euro et inflation";"Wiley";"https://loaded-corpus.data.istex.fr/ark:/67375/XBH-L0C46X92-X";"Sciences économiques et gestion";"https://scientific-domain.data.istex.fr/ark:/67375/4P5-KRHKFQ2C-L";"";"X";"ark:/67375/WNG-30PRRSBN-5";"E8C267204A9B7F0CDB031505A80BD360ADE974B3";"/api/run/syndication"
"uid:/JLFJZXD1";"Virtual reality posttraumatic stress disorder (PTSD) exposure therapy results with active duty OIF/OEF service members
";"Albert Rizzo,Greg Reger,Karen Perlman,Barbara Rothbaum,JoAnn Difede,Rob McLay,Ken Graap,Greg Gahm,Scott Johnston,Rob Deal,Jarrell Pair,Thomas Parsons,Mike Roy,Russell
Shilling,Paul M. Sharkey";"Traitement du stress post traumatique";"Degruyter";"https://loaded-corpus.data.istex.fr/ark:/67375/XBH-B4QPMMZB-D";"Pluridisciplinaire";"https://scientific-domain.data.istex.fr/ark:/67375/4P5-JX9M1P02-3";"X";"";"ark:/67375/QT4-WCJ92N4V-B";"4B877045BD0C3962D0C6383FC428B47CF29FAEAB";"/api/run/syndication"
"uid:/LZB4HMRT";"Chapitre I. - Théorie Des Droits De L’Homme Et Droit International Contemporain";"Riccardo Pisillo Mazzeschi";"Droits de l'homme et Droit international";"Brill-hacco";"https://loaded-corpus.data.istex.fr/ark:/67375/XBH-JTPD0WM6-L";"Sciences juridiques";"https://scientific-domain.data.istex.fr/ark:/67375/4P5-2KXMFZP3-5";"X";"";"ark:/67375/TP3-P7WZP8CS-P";"F3B83179575660B4B28B35685342F1A1B68FDF2D";"/api/run/syndication"
"uid:/ZZ14TG8V";"Chapitre III - Naissance et existence de l’Etat";"Vladimir-Djuro Degan";"Indépendance";"Brill-hacco";"https://loaded-corpus.data.istex.fr/ark:/67375/XBH-JTPD0WM6-L";"Sciences juridiques";"https://scientific-domain.data.istex.fr/ark:/67375/4P5-2KXMFZP3-5";"X";"";"ark:/67375/TP3-PFP77396-P";"BA6486C50D6EA37190EEFA3DB95E279E53EE5A94";"/api/run/syndication"
