uri;Libellé en anglais;Libellé en français;Source;Terme Générique;Description;Enrichissement BnF;Cette ressource dans ISTEX; ;Description;Liste des ressources;Contexte d'utilisation;Lien vers la page Multicat;Modèle conceptuel;Licence;Publication;Créateur;date de création;date de modification
"https://wos-category.data.istex.fr/ark:/67375/NHZ-01SB423V-4";"Water Resources";"Ressources hydriques";"http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/";"ark:/67375/NHZ-4XDHMKBW-G";"Water Resources covers resources concerning a number of water-related topics. These include desalination, ground water monitoring and remediation, hydrology, irrigation and drainage science and technology, water quality, hydraulic engineering, ocean and coastal management, river research and management, waterways and ports. ";"Ressources hydriques";"categories.wos.raw:(""2 - water resources"")";"Catégories Web Of Science ";"Cette table correspond au choix de documenter des données ISTEX et plus particulièrement les catégories Web Of Science.";"/api/run/syndication";"Dans le cadre de l'enrichissement des documents du fonds ISTEX, opéré par l'équipe ISTEX-RD du Service Recherche Développement et Expérimentations (Département Projets et Innovation / INIST-CNRS) des catégories scientifiques sont attribuées aux documents. Les catégories que le Web of Science attribue aux ISSN sont reportées, par appariement, aux documents.

La ressource est la liste des catégories scientifiques telle que définie par le WoS (Web of Science, auparavant Web of Knowledge) base de données documentaire internationale produite par la société Clarivate Analytics : [https://clarivate.com/products/web-of-science/](https://clarivate.com/products/web-of-science/)
   
L'outil utilisé pour la catégorisation est rd-multicat, développé par l'équipe ISTEX-RD en NodeJs et intégré à la chaîne d'ingestion de l'API ISTEX.

Les catégories sont étiquetées avec des balises XML selon le standard TEI (Text Encoding Initiative). Pour chaque document du fonds ISTEX, elles sont disponibles sur l'API ISTEX sous forme d'une balise TEI déportée (standoff).

Ce standoff regroupe toutes les catégories qui ont été attribuées à l'ISSN par les différentes ressources (Web of Science, Science-Metrix, Scopus).";"https://enrichment-process.data.istex.fr/ark:/67375/R0H-PWBRNFQ8-H";"https://docs.google.com/drawings/d/1LzjO-oD6snh0MYfqxfPB7q-LU6Dev1SRmJstXFGzgvg/pub?w=960&h=720";"https://www.etalab.gouv.fr/licence-ouverte-open-licence";"Plateforme ISTEX";"Inist-CNRS";"2016-05-12";"2019-01-16"
"https://wos-category.data.istex.fr/ark:/67375/NHZ-036SSCQ9-3";"History";"Histoire";"http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/";"ark:/67375/NHZ-ZQPC7NL6-N";"The History category in Social Science covers resources that are primarily concerned with political, social, and economic history. This category also includes history resources that focus on a particular group, country or geographic area.";"Histoire";"categories.wos.raw:(""2 - history"")";"Catégories Web Of Science ";"Cette table correspond au choix de documenter des données ISTEX et plus particulièrement les catégories Web Of Science.";"/api/run/syndication";"Dans le cadre de l'enrichissement des documents du fonds ISTEX, opéré par l'équipe ISTEX-RD du Service Recherche Développement et Expérimentations (Département Projets et Innovation / INIST-CNRS) des catégories scientifiques sont attribuées aux documents. Les catégories que le Web of Science attribue aux ISSN sont reportées, par appariement, aux documents.

La ressource est la liste des catégories scientifiques telle que définie par le WoS (Web of Science, auparavant Web of Knowledge) base de données documentaire internationale produite par la société Clarivate Analytics : [https://clarivate.com/products/web-of-science/](https://clarivate.com/products/web-of-science/)
   
L'outil utilisé pour la catégorisation est rd-multicat, développé par l'équipe ISTEX-RD en NodeJs et intégré à la chaîne d'ingestion de l'API ISTEX.

Les catégories sont étiquetées avec des balises XML selon le standard TEI (Text Encoding Initiative). Pour chaque document du fonds ISTEX, elles sont disponibles sur l'API ISTEX sous forme d'une balise TEI déportée (standoff).

Ce standoff regroupe toutes les catégories qui ont été attribuées à l'ISSN par les différentes ressources (Web of Science, Science-Metrix, Scopus).";"https://enrichment-process.data.istex.fr/ark:/67375/R0H-PWBRNFQ8-H";"https://docs.google.com/drawings/d/1LzjO-oD6snh0MYfqxfPB7q-LU6Dev1SRmJstXFGzgvg/pub?w=960&h=720";"https://www.etalab.gouv.fr/licence-ouverte-open-licence";"Plateforme ISTEX";"Inist-CNRS";"2016-05-12";"2019-01-16"
"https://wos-category.data.istex.fr/ark:/67375/NHZ-059C0M2F-4";"Biophysics";"Biophysique";"http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/";"ark:/67375/NHZ-4XDHMKBW-G";"Biophysics covers resources that focus on the transfer and effects of physical forces and energy-light, sound, electricity, magnetism, heat, cold, pressure, mechanical forces, and radiation-within and on cells, tissues, and whole organisms.";"Biophysique";"categories.wos.raw:(""2 - biophysics"")";"Catégories Web Of Science ";"Cette table correspond au choix de documenter des données ISTEX et plus particulièrement les catégories Web Of Science.";"/api/run/syndication";"Dans le cadre de l'enrichissement des documents du fonds ISTEX, opéré par l'équipe ISTEX-RD du Service Recherche Développement et Expérimentations (Département Projets et Innovation / INIST-CNRS) des catégories scientifiques sont attribuées aux documents. Les catégories que le Web of Science attribue aux ISSN sont reportées, par appariement, aux documents.

La ressource est la liste des catégories scientifiques telle que définie par le WoS (Web of Science, auparavant Web of Knowledge) base de données documentaire internationale produite par la société Clarivate Analytics : [https://clarivate.com/products/web-of-science/](https://clarivate.com/products/web-of-science/)
   
L'outil utilisé pour la catégorisation est rd-multicat, développé par l'équipe ISTEX-RD en NodeJs et intégré à la chaîne d'ingestion de l'API ISTEX.

Les catégories sont étiquetées avec des balises XML selon le standard TEI (Text Encoding Initiative). Pour chaque document du fonds ISTEX, elles sont disponibles sur l'API ISTEX sous forme d'une balise TEI déportée (standoff).

Ce standoff regroupe toutes les catégories qui ont été attribuées à l'ISSN par les différentes ressources (Web of Science, Science-Metrix, Scopus).";"https://enrichment-process.data.istex.fr/ark:/67375/R0H-PWBRNFQ8-H";"https://docs.google.com/drawings/d/1LzjO-oD6snh0MYfqxfPB7q-LU6Dev1SRmJstXFGzgvg/pub?w=960&h=720";"https://www.etalab.gouv.fr/licence-ouverte-open-licence";"Plateforme ISTEX";"Inist-CNRS";"2016-05-12";"2019-01-16"
"https://wos-category.data.istex.fr/ark:/67375/NHZ-07GNLZ5N-X";"Nutrition & Dietetics";"Nutrition & Diététique";"http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/";"ark:/67375/NHZ-4XDHMKBW-G";"Nutrition & Dietetics covers resources concerning many aspects of nutrition, including general nutrition, nutrition and metabolism, nutrition science, clinical nutrition, vitamin research and nutritional biochemistry. Dietetics, the application of nutritional principles, is also included in this category. ";"Nutrition & Diététique";"categories.wos.raw:(""2 - nutrition & dietetics"")";"Catégories Web Of Science ";"Cette table correspond au choix de documenter des données ISTEX et plus particulièrement les catégories Web Of Science.";"/api/run/syndication";"Dans le cadre de l'enrichissement des documents du fonds ISTEX, opéré par l'équipe ISTEX-RD du Service Recherche Développement et Expérimentations (Département Projets et Innovation / INIST-CNRS) des catégories scientifiques sont attribuées aux documents. Les catégories que le Web of Science attribue aux ISSN sont reportées, par appariement, aux documents.

La ressource est la liste des catégories scientifiques telle que définie par le WoS (Web of Science, auparavant Web of Knowledge) base de données documentaire internationale produite par la société Clarivate Analytics : [https://clarivate.com/products/web-of-science/](https://clarivate.com/products/web-of-science/)
   
L'outil utilisé pour la catégorisation est rd-multicat, développé par l'équipe ISTEX-RD en NodeJs et intégré à la chaîne d'ingestion de l'API ISTEX.

Les catégories sont étiquetées avec des balises XML selon le standard TEI (Text Encoding Initiative). Pour chaque document du fonds ISTEX, elles sont disponibles sur l'API ISTEX sous forme d'une balise TEI déportée (standoff).

Ce standoff regroupe toutes les catégories qui ont été attribuées à l'ISSN par les différentes ressources (Web of Science, Science-Metrix, Scopus).";"https://enrichment-process.data.istex.fr/ark:/67375/R0H-PWBRNFQ8-H";"https://docs.google.com/drawings/d/1LzjO-oD6snh0MYfqxfPB7q-LU6Dev1SRmJstXFGzgvg/pub?w=960&h=720";"https://www.etalab.gouv.fr/licence-ouverte-open-licence";"Plateforme ISTEX";"Inist-CNRS";"2016-05-12";"2019-01-16"
"https://wos-category.data.istex.fr/ark:/67375/NHZ-09Z5B5Z9-K";"Multidisciplinary Sciences";"Sciences multidisciplinaires";"http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/";"ark:/67375/NHZ-4XDHMKBW-G";"Multidisciplinary Sciences includes resources of a very broad or general character in the sciences. It covers the spectrum of major scientific disciplines such as Physics, Chemistry, Mathematics, Biology, etc. Nature and Science are the preeminent resources in this category and serve as typical examples. The Web site of the National Science Foundation is a good example of a web resource included in this category. Some specialized resources that have a wide range of applications in the sciences also may fall under this category. The journal Fractals---Complex Geometry Patterns and Scaling in Nature and Society would be an example of such a resource. ";"Sciences multidisciplinaires";"categories.wos.raw:(""2 - multidisciplinary sciences"")";"Catégories Web Of Science ";"Cette table correspond au choix de documenter des données ISTEX et plus particulièrement les catégories Web Of Science.";"/api/run/syndication";"Dans le cadre de l'enrichissement des documents du fonds ISTEX, opéré par l'équipe ISTEX-RD du Service Recherche Développement et Expérimentations (Département Projets et Innovation / INIST-CNRS) des catégories scientifiques sont attribuées aux documents. Les catégories que le Web of Science attribue aux ISSN sont reportées, par appariement, aux documents.

La ressource est la liste des catégories scientifiques telle que définie par le WoS (Web of Science, auparavant Web of Knowledge) base de données documentaire internationale produite par la société Clarivate Analytics : [https://clarivate.com/products/web-of-science/](https://clarivate.com/products/web-of-science/)
   
L'outil utilisé pour la catégorisation est rd-multicat, développé par l'équipe ISTEX-RD en NodeJs et intégré à la chaîne d'ingestion de l'API ISTEX.

Les catégories sont étiquetées avec des balises XML selon le standard TEI (Text Encoding Initiative). Pour chaque document du fonds ISTEX, elles sont disponibles sur l'API ISTEX sous forme d'une balise TEI déportée (standoff).

Ce standoff regroupe toutes les catégories qui ont été attribuées à l'ISSN par les différentes ressources (Web of Science, Science-Metrix, Scopus).";"https://enrichment-process.data.istex.fr/ark:/67375/R0H-PWBRNFQ8-H";"https://docs.google.com/drawings/d/1LzjO-oD6snh0MYfqxfPB7q-LU6Dev1SRmJstXFGzgvg/pub?w=960&h=720";"https://www.etalab.gouv.fr/licence-ouverte-open-licence";"Plateforme ISTEX";"Inist-CNRS";"2016-05-12";"2019-01-16"
"https://wos-category.data.istex.fr/ark:/67375/NHZ-0C0T00QC-H";"Limnology";"Limnologie";"http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/";"ark:/67375/NHZ-4XDHMKBW-G";"Limnology covers resources concerning the study of the physical, chemical, meteorological, biological and ecological aspects of freshwaters. ";"Limnologie";"categories.wos.raw:(""2 - limnology"")";"Catégories Web Of Science ";"Cette table correspond au choix de documenter des données ISTEX et plus particulièrement les catégories Web Of Science.";"/api/run/syndication";"Dans le cadre de l'enrichissement des documents du fonds ISTEX, opéré par l'équipe ISTEX-RD du Service Recherche Développement et Expérimentations (Département Projets et Innovation / INIST-CNRS) des catégories scientifiques sont attribuées aux documents. Les catégories que le Web of Science attribue aux ISSN sont reportées, par appariement, aux documents.

La ressource est la liste des catégories scientifiques telle que définie par le WoS (Web of Science, auparavant Web of Knowledge) base de données documentaire internationale produite par la société Clarivate Analytics : [https://clarivate.com/products/web-of-science/](https://clarivate.com/products/web-of-science/)
   
L'outil utilisé pour la catégorisation est rd-multicat, développé par l'équipe ISTEX-RD en NodeJs et intégré à la chaîne d'ingestion de l'API ISTEX.

Les catégories sont étiquetées avec des balises XML selon le standard TEI (Text Encoding Initiative). Pour chaque document du fonds ISTEX, elles sont disponibles sur l'API ISTEX sous forme d'une balise TEI déportée (standoff).

Ce standoff regroupe toutes les catégories qui ont été attribuées à l'ISSN par les différentes ressources (Web of Science, Science-Metrix, Scopus).";"https://enrichment-process.data.istex.fr/ark:/67375/R0H-PWBRNFQ8-H";"https://docs.google.com/drawings/d/1LzjO-oD6snh0MYfqxfPB7q-LU6Dev1SRmJstXFGzgvg/pub?w=960&h=720";"https://www.etalab.gouv.fr/licence-ouverte-open-licence";"Plateforme ISTEX";"Inist-CNRS";"2016-05-12";"2019-01-16"
"https://wos-category.data.istex.fr/ark:/67375/NHZ-0NNT08FN-V";"Computer Science, Software Engineering";"Science informatique, Génie logiciel";"http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/";"ark:/67375/NHZ-4XDHMKBW-G";"Computer Science, Software Engineering includes resources that are concerned with the programs, routines, and symbolic languages that control the functioning of the hardware and direct its operation. Also covered in this category are computer graphics, digital signal processing, and programming languages.";"Science informatique, Génie logiciel";"categories.wos.raw:(""2 - computer science, software engineering"")";"Catégories Web Of Science ";"Cette table correspond au choix de documenter des données ISTEX et plus particulièrement les catégories Web Of Science.";"/api/run/syndication";"Dans le cadre de l'enrichissement des documents du fonds ISTEX, opéré par l'équipe ISTEX-RD du Service Recherche Développement et Expérimentations (Département Projets et Innovation / INIST-CNRS) des catégories scientifiques sont attribuées aux documents. Les catégories que le Web of Science attribue aux ISSN sont reportées, par appariement, aux documents.

La ressource est la liste des catégories scientifiques telle que définie par le WoS (Web of Science, auparavant Web of Knowledge) base de données documentaire internationale produite par la société Clarivate Analytics : [https://clarivate.com/products/web-of-science/](https://clarivate.com/products/web-of-science/)
   
L'outil utilisé pour la catégorisation est rd-multicat, développé par l'équipe ISTEX-RD en NodeJs et intégré à la chaîne d'ingestion de l'API ISTEX.

Les catégories sont étiquetées avec des balises XML selon le standard TEI (Text Encoding Initiative). Pour chaque document du fonds ISTEX, elles sont disponibles sur l'API ISTEX sous forme d'une balise TEI déportée (standoff).

Ce standoff regroupe toutes les catégories qui ont été attribuées à l'ISSN par les différentes ressources (Web of Science, Science-Metrix, Scopus).";"https://enrichment-process.data.istex.fr/ark:/67375/R0H-PWBRNFQ8-H";"https://docs.google.com/drawings/d/1LzjO-oD6snh0MYfqxfPB7q-LU6Dev1SRmJstXFGzgvg/pub?w=960&h=720";"https://www.etalab.gouv.fr/licence-ouverte-open-licence";"Plateforme ISTEX";"Inist-CNRS";"2016-05-12";"2019-01-16"
"https://wos-category.data.istex.fr/ark:/67375/NHZ-0QSZVPJX-P";"Materials Science, Biomaterials";"Science des matériaux, Biomatériaux";"http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/";"ark:/67375/NHZ-4XDHMKBW-G";"Materials Science, Biomaterials includes resources that analyze the physical characteristics of living tissue to aid in the development of synthetic replacements for repairs or augmentation of functions. Resources in this category cover the development, testing, performance, and biocompatibility of engineered biomaterials in vitro and in vivo for purposes such as medical implants, devices, and sensors. ";"Science des matériaux, Biomatériaux";"categories.wos.raw:(""2 - materials science, biomaterials"")";"Catégories Web Of Science ";"Cette table correspond au choix de documenter des données ISTEX et plus particulièrement les catégories Web Of Science.";"/api/run/syndication";"Dans le cadre de l'enrichissement des documents du fonds ISTEX, opéré par l'équipe ISTEX-RD du Service Recherche Développement et Expérimentations (Département Projets et Innovation / INIST-CNRS) des catégories scientifiques sont attribuées aux documents. Les catégories que le Web of Science attribue aux ISSN sont reportées, par appariement, aux documents.

La ressource est la liste des catégories scientifiques telle que définie par le WoS (Web of Science, auparavant Web of Knowledge) base de données documentaire internationale produite par la société Clarivate Analytics : [https://clarivate.com/products/web-of-science/](https://clarivate.com/products/web-of-science/)
   
L'outil utilisé pour la catégorisation est rd-multicat, développé par l'équipe ISTEX-RD en NodeJs et intégré à la chaîne d'ingestion de l'API ISTEX.

Les catégories sont étiquetées avec des balises XML selon le standard TEI (Text Encoding Initiative). Pour chaque document du fonds ISTEX, elles sont disponibles sur l'API ISTEX sous forme d'une balise TEI déportée (standoff).

Ce standoff regroupe toutes les catégories qui ont été attribuées à l'ISSN par les différentes ressources (Web of Science, Science-Metrix, Scopus).";"https://enrichment-process.data.istex.fr/ark:/67375/R0H-PWBRNFQ8-H";"https://docs.google.com/drawings/d/1LzjO-oD6snh0MYfqxfPB7q-LU6Dev1SRmJstXFGzgvg/pub?w=960&h=720";"https://www.etalab.gouv.fr/licence-ouverte-open-licence";"Plateforme ISTEX";"Inist-CNRS";"2016-05-12";"2019-01-16"
"https://wos-category.data.istex.fr/ark:/67375/NHZ-14FJC1FP-P";"History & Philosophy of Science";"Histoire et Philosophie de la Science";"http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/";"ark:/67375/NHZ-4XDHMKBW-G";"History & Philosophy of Science covers resources on the historical and logical connections in the development of the scientific method and in scientific discoveries.";"Histoire et Philosophie de la Science";"categories.wos.raw:(""2 - history & philosophy of science"")";"Catégories Web Of Science ";"Cette table correspond au choix de documenter des données ISTEX et plus particulièrement les catégories Web Of Science.";"/api/run/syndication";"Dans le cadre de l'enrichissement des documents du fonds ISTEX, opéré par l'équipe ISTEX-RD du Service Recherche Développement et Expérimentations (Département Projets et Innovation / INIST-CNRS) des catégories scientifiques sont attribuées aux documents. Les catégories que le Web of Science attribue aux ISSN sont reportées, par appariement, aux documents.

La ressource est la liste des catégories scientifiques telle que définie par le WoS (Web of Science, auparavant Web of Knowledge) base de données documentaire internationale produite par la société Clarivate Analytics : [https://clarivate.com/products/web-of-science/](https://clarivate.com/products/web-of-science/)
   
L'outil utilisé pour la catégorisation est rd-multicat, développé par l'équipe ISTEX-RD en NodeJs et intégré à la chaîne d'ingestion de l'API ISTEX.

Les catégories sont étiquetées avec des balises XML selon le standard TEI (Text Encoding Initiative). Pour chaque document du fonds ISTEX, elles sont disponibles sur l'API ISTEX sous forme d'une balise TEI déportée (standoff).

Ce standoff regroupe toutes les catégories qui ont été attribuées à l'ISSN par les différentes ressources (Web of Science, Science-Metrix, Scopus).";"https://enrichment-process.data.istex.fr/ark:/67375/R0H-PWBRNFQ8-H";"https://docs.google.com/drawings/d/1LzjO-oD6snh0MYfqxfPB7q-LU6Dev1SRmJstXFGzgvg/pub?w=960&h=720";"https://www.etalab.gouv.fr/licence-ouverte-open-licence";"Plateforme ISTEX";"Inist-CNRS";"2016-05-12";"2019-01-16"
"https://wos-category.data.istex.fr/ark:/67375/NHZ-1544JWKW-F";"Industrial Relations & Labor";"Relations industrielles & Travail";"http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/";"ark:/67375/NHZ-ZQPC7NL6-N";"Industrial Relations & Labor covers resources on arbitration, business and labor law, human resources, labor history, labor relations, and the sociology of work relations. ";"Relations industrielles & Travail";"categories.wos.raw:(""2 - industrial relations & labor"")";"Catégories Web Of Science ";"Cette table correspond au choix de documenter des données ISTEX et plus particulièrement les catégories Web Of Science.";"/api/run/syndication";"Dans le cadre de l'enrichissement des documents du fonds ISTEX, opéré par l'équipe ISTEX-RD du Service Recherche Développement et Expérimentations (Département Projets et Innovation / INIST-CNRS) des catégories scientifiques sont attribuées aux documents. Les catégories que le Web of Science attribue aux ISSN sont reportées, par appariement, aux documents.

La ressource est la liste des catégories scientifiques telle que définie par le WoS (Web of Science, auparavant Web of Knowledge) base de données documentaire internationale produite par la société Clarivate Analytics : [https://clarivate.com/products/web-of-science/](https://clarivate.com/products/web-of-science/)
   
L'outil utilisé pour la catégorisation est rd-multicat, développé par l'équipe ISTEX-RD en NodeJs et intégré à la chaîne d'ingestion de l'API ISTEX.

Les catégories sont étiquetées avec des balises XML selon le standard TEI (Text Encoding Initiative). Pour chaque document du fonds ISTEX, elles sont disponibles sur l'API ISTEX sous forme d'une balise TEI déportée (standoff).

Ce standoff regroupe toutes les catégories qui ont été attribuées à l'ISSN par les différentes ressources (Web of Science, Science-Metrix, Scopus).";"https://enrichment-process.data.istex.fr/ark:/67375/R0H-PWBRNFQ8-H";"https://docs.google.com/drawings/d/1LzjO-oD6snh0MYfqxfPB7q-LU6Dev1SRmJstXFGzgvg/pub?w=960&h=720";"https://www.etalab.gouv.fr/licence-ouverte-open-licence";"Plateforme ISTEX";"Inist-CNRS";"2016-05-12";"2019-01-16"
