Code	Langue	Source	Description	Infos RERO	nb Docs total	URI LEXVO	nb de doc entre 1301-1400	nb de doc entre 1401-1500	nb de doc entre 1501-1600	nb de doc entre 1601-1700	nb de doc entre 1701-1800	nb de doc entre 1801-1900	nb de doc entre 1901-2000	nb de doc entre 2001-2100	Statut : code	Statut : verbalisation	Statut : description	Statut : source	Classification
eng	anglais	http://www.iso.org/iso/fr/home/standards/language_codes.htm	A language of United Kingdom		https://api.istex.fr/document/?q=language:eng	http://lexvo.org/id/iso639-3/eng	https://api.istex.fr/document/?q=language:eng AND publicationDate:[1301 TO 1400]	https://api.istex.fr/document/?q=language:eng AND publicationDate:[1401 TO 1500]	https://api.istex.fr/document/?q=language:eng AND publicationDate:[1501 TO 1600]	https://api.istex.fr/document/?q=language:eng AND publicationDate:[1601 TO 1700]	https://api.istex.fr/document/?q=language:eng AND publicationDate:[1701 TO 1800]	https://api.istex.fr/document/?q=language:eng AND publicationDate:[1801 TO 1900]	https://api.istex.fr/document/?q=language:eng AND publicationDate:[1901 TO 2000]	https://api.istex.fr/document/?q=language:eng AND publicationDate:[2001 TO 2100]	1	National	De facto national language	https://www.ethnologue.com/language/eng	Indo-European, Germanic, West, English
ger	allemand	http://www.iso.org/iso/fr/home/standards/language_codes.htm	A language of Germany	alsacien ; allemand, nouvel haut ; Frühneuhochdeutsch	https://api.istex.fr/document/?q=language:ger	http://lexvo.org/id/iso639-3/deu	https://api.istex.fr/document/?q=language:ger AND publicationDate:[1301 TO 1400]	https://api.istex.fr/document/?q=language:ger AND publicationDate:[1401 TO 1500]	https://api.istex.fr/document/?q=language:ger AND publicationDate:[1501 TO 1600]	https://api.istex.fr/document/?q=language:ger AND publicationDate:[1601 TO 1700]	https://api.istex.fr/document/?q=language:ger AND publicationDate:[1701 TO 1800]	https://api.istex.fr/document/?q=language:ger AND publicationDate:[1801 TO 1900]	https://api.istex.fr/document/?q=language:ger AND publicationDate:[1901 TO 2000]	https://api.istex.fr/document/?q=language:ger AND publicationDate:[2001 TO 2100]	1	National	De facto national language	https://www.ethnologue.com/language/deu	Indo-European, Germanic, West, High German, German, Middle German, East Middle German
unknown	inconnu	http://www.iso.org/iso/fr/home/standards/language_codes.htm			https://api.istex.fr/document/?q=language:und	http://lexvo.org/id/iso639-3/und	https://api.istex.fr/document/?q=language:und AND publicationDate:[1301 TO 1400]	https://api.istex.fr/document/?q=language:und AND publicationDate:[1401 TO 1500]	https://api.istex.fr/document/?q=language:und AND publicationDate:[1501 TO 1600]	https://api.istex.fr/document/?q=language:und AND publicationDate:[1601 TO 1700]	https://api.istex.fr/document/?q=language:und AND publicationDate:[1701 TO 1800]	https://api.istex.fr/document/?q=language:und AND publicationDate:[1801 TO 1900]	https://api.istex.fr/document/?q=language:und AND publicationDate:[1901 TO 2000]	https://api.istex.fr/document/?q=language:und AND publicationDate:[2001 TO 2100]
fre	français	http://www.iso.org/iso/fr/home/standards/language_codes.htm	A language of France		https://api.istex.fr/document/?q=language:fre	http://lexvo.org/id/iso639-3/fra	https://api.istex.fr/document/?q=language:fre AND publicationDate:[1301 TO 1400]	https://api.istex.fr/document/?q=language:fre AND publicationDate:[1401 TO 1500]	https://api.istex.fr/document/?q=language:fre AND publicationDate:[1501 TO 1600]	https://api.istex.fr/document/?q=language:fre AND publicationDate:[1601 TO 1700]	https://api.istex.fr/document/?q=language:fre AND publicationDate:[1701 TO 1800]	https://api.istex.fr/document/?q=language:fre AND publicationDate:[1801 TO 1900]	https://api.istex.fr/document/?q=language:fre AND publicationDate:[1901 TO 2000]	https://api.istex.fr/document/?q=language:fre AND publicationDate:[2001 TO 2100]	1	National	"De facto national language (1958, Consitution, Article 2.1)"	https://www.ethnologue.com/language/fra	Indo-European, Italic, Romance, Italo-Western, Western, Gallo-Iberian, Gallo-Romance, Gallo-Rhaetian, Oïl, French
lat	latin	http://www.iso.org/iso/fr/home/standards/language_codes.htm	A language of Vatican State		https://api.istex.fr/document/?q=language:lat	http://lexvo.org/id/iso639-3/lat	https://api.istex.fr/document/?q=language:lat AND publicationDate:[1301 TO 1400]	https://api.istex.fr/document/?q=language:lat AND publicationDate:[1401 TO 1500]	https://api.istex.fr/document/?q=language:lat AND publicationDate:[1501 TO 1600]	https://api.istex.fr/document/?q=language:lat AND publicationDate:[1601 TO 1700]	https://api.istex.fr/document/?q=language:lat AND publicationDate:[1701 TO 1800]	https://api.istex.fr/document/?q=language:lat AND publicationDate:[1801 TO 1900]	https://api.istex.fr/document/?q=language:lat AND publicationDate:[1901 TO 2000]	https://api.istex.fr/document/?q=language:lat AND publicationDate:[2001 TO 2100]	9	Second language only	De facto national working language, used for all official Holy See documents	https://www.ethnologue.com/language/lat	Indo-European, Italic, Latino-Faliscan
spa	espagnol	http://www.iso.org/iso/fr/home/standards/language_codes.htm	A language of Spain	castillan	https://api.istex.fr/document/?q=language:spa	http://lexvo.org/id/iso639-3/spa	https://api.istex.fr/document/?q=language:spa AND publicationDate:[1301 TO 1400]	https://api.istex.fr/document/?q=language:spa AND publicationDate:[1401 TO 1500]	https://api.istex.fr/document/?q=language:spa AND publicationDate:[1501 TO 1600]	https://api.istex.fr/document/?q=language:spa AND publicationDate:[1601 TO 1700]	https://api.istex.fr/document/?q=language:spa AND publicationDate:[1701 TO 1800]	https://api.istex.fr/document/?q=language:spa AND publicationDate:[1801 TO 1900]	https://api.istex.fr/document/?q=language:spa AND publicationDate:[1901 TO 2000]	https://api.istex.fr/document/?q=language:spa AND publicationDate:[2001 TO 2100]	1	National	Statutory national language (1978, Constitution, Art 3(1)), recognized statutory language in all autonomous cities and communities under various local laws	https://www.ethnologue.com/language/spa	Indo-European, Italic, Romance, Italo-Western, Western, Gallo-Iberian, Ibero-Romance, West Iberian, Castilian
ita	italien	http://www.iso.org/iso/fr/home/standards/language_codes.htm	A language of Italy		https://api.istex.fr/document/?q=language:ita	http://lexvo.org/id/iso639-3/ita	https://api.istex.fr/document/?q=language:ita AND publicationDate:[1301 TO 1400]	https://api.istex.fr/document/?q=language:ita AND publicationDate:[1401 TO 1500]	https://api.istex.fr/document/?q=language:ita AND publicationDate:[1501 TO 1600]	https://api.istex.fr/document/?q=language:ita AND publicationDate:[1601 TO 1700]	https://api.istex.fr/document/?q=language:ita AND publicationDate:[1701 TO 1800]	https://api.istex.fr/document/?q=language:ita AND publicationDate:[1801 TO 1900]	https://api.istex.fr/document/?q=language:ita AND publicationDate:[1901 TO 2000]	https://api.istex.fr/document/?q=language:ita AND publicationDate:[2001 TO 2100]	1	National	Statutory national language (1999, Law No. 482, Article 1.1)	https://www.ethnologue.com/language/ita	Indo-European, Italic, Romance, Italo-Western, Italo-Dalmatian
dut	néerlandais	http://www.iso.org/iso/fr/home/standards/language_codes.htm	A language of Netherlands	flamand ; hollandais	https://api.istex.fr/document/?q=language:dut	http://lexvo.org/id/iso639-3/nld	https://api.istex.fr/document/?q=language:dut AND publicationDate:[1301 TO 1400]	https://api.istex.fr/document/?q=language:dut AND publicationDate:[1401 TO 1500]	https://api.istex.fr/document/?q=language:dut AND publicationDate:[1501 TO 1600]	https://api.istex.fr/document/?q=language:dut AND publicationDate:[1601 TO 1700]	https://api.istex.fr/document/?q=language:dut AND publicationDate:[1701 TO 1800]	https://api.istex.fr/document/?q=language:dut AND publicationDate:[1801 TO 1900]	https://api.istex.fr/document/?q=language:dut AND publicationDate:[1901 TO 2000]	https://api.istex.fr/document/?q=language:dut AND publicationDate:[2001 TO 2100]	1	National	De facto national language	https://www.ethnologue.com/language/nld	Indo-European, Germanic, West, Low Saxon-Low Franconian, Low Franconian
rus	russe	http://www.iso.org/iso/fr/home/standards/language_codes.htm	A language of Russian Federation		https://api.istex.fr/document/?q=language:rus	http://lexvo.org/id/iso639-3/rus	https://api.istex.fr/document/?q=language:rus AND publicationDate:[1301 TO 1400]	https://api.istex.fr/document/?q=language:rus AND publicationDate:[1401 TO 1500]	https://api.istex.fr/document/?q=language:rus AND publicationDate:[1501 TO 1600]	https://api.istex.fr/document/?q=language:rus AND publicationDate:[1601 TO 1700]	https://api.istex.fr/document/?q=language:rus AND publicationDate:[1701 TO 1800]	https://api.istex.fr/document/?q=language:rus AND publicationDate:[1801 TO 1900]	https://api.istex.fr/document/?q=language:rus AND publicationDate:[1901 TO 2000]	https://api.istex.fr/document/?q=language:rus AND publicationDate:[2001 TO 2100]	1	National	Statutory national language (1993, Constitution, Article 68(1))	https://www.ethnologue.com/language/rus	Indo-European, Balto-Slavic, Slavic, East
wel	gallois	http://www.iso.org/iso/fr/home/standards/language_codes.htm	A language of United Kingdom		https://api.istex.fr/document/?q=language:wel	http://lexvo.org/id/iso639-3/cym	https://api.istex.fr/document/?q=language:wel AND publicationDate:[1301 TO 1400]	https://api.istex.fr/document/?q=language:wel AND publicationDate:[1401 TO 1500]	https://api.istex.fr/document/?q=language:wel AND publicationDate:[1501 TO 1600]	https://api.istex.fr/document/?q=language:wel AND publicationDate:[1601 TO 1700]	https://api.istex.fr/document/?q=language:wel AND publicationDate:[1701 TO 1800]	https://api.istex.fr/document/?q=language:wel AND publicationDate:[1801 TO 1900]	https://api.istex.fr/document/?q=language:wel AND publicationDate:[1901 TO 2000]	https://api.istex.fr/document/?q=language:wel AND publicationDate:[2001 TO 2100]	2	Provincial	De facto provincial language in Wales	https://www.ethnologue.com/language/cym	Indo-European, Celtic, Insular, Brythonic
