uri,nom corpus ISTEX,nom de l’éditeur,information sur l’éditeur,domaine scientifique,liens vers catégories INIST,état de collection,début,fin,nombre de titres,description,source,année d'acquisition,accès fichiers kbart - BACON - BAse de COnnaissance Nationale de l'ABES,bénéficiaires,licences nationales,langue de la ressource,chargement,année de chargement,cette ressource dans ISTEX,Titre du jeu de données,Description,Modèle conceptuel,Date de création,Editeur,Licence,Site de la licence,,,,,,,,,,,,,,
ark:/67375/XBH-L0C46X92-X,wiley,Wiley ,https://publisher-list.data.istex.fr/ark:/67375/H02-QW5Q88H5-V,Sciences Humaines et Sociales ; Sciences et techniques,https://inist-category.data.istex.fr/ark:/67375/RZL-CQZJ2R3W-2 ; https://inist-category.data.istex.fr/ark:/67375/RZL-MZFQGD7K-2,Des origines à 2013,1791,2013,940 titres,Archives de collections de revues scientifiques. Près de 2200 titres de revues scientifiques publiées par Wiley. La licence prévoit la livraison supplémentaire des années 2012,2013,2014, 2015 et 2016 entre 2015 et 2019.,Licences nationales,2016,http://bacon.abes.fr/package2kbart/WILEY_FRANCE_ISTEXJOURNALS,Tous les établissements publics français (situés ou non sur le territoire français) ayant des missions d’enseignement supérieur et/ou de recherche, les établissements d’enseignement supérieur privés, les CHR/CHU, la BnF, la BPI et toutes les bibliothèques publiques.,http://www.licencesnationales.fr/wp-content/uploads/Licence-signee_ISTEX_Wiley.pdf,multilingue,Chargé dans l’API-ISTEX,2016,"corpusName.raw:""wiley""",Liste des corpus ISTEX chargés,Jeu de données décrivant la liste des corpus chargés.,https://docs.google.com/drawings/d/14nzpA38UM_uVLtF9ubeKqgjtV3f6NOogftIYh5yrA_w/pub?w=960&h=720,2017/06/13,ISTEX,Les données mises en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX. Comme les métadonnées ISTEX, elles sont placées sous le régime de la licence ouverte/_open licence_ Etalab,http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf,,,,,,
ark:/67375/XBH-C67SBDHP-R,emerald,Emerald,https://publisher-list.data.istex.fr/ark:/67375/H02-GBTST89X-K,Sciences économiques et gestion ; Sciences Humaines et Sociales ; Sciences et techniques,https://inist-category.data.istex.fr/ark:/67375/RZL-CQZJ2R3W-2 ; https://inist-category.data.istex.fr/ark:/67375/RZL-MZFQGD7K-2,Des origines à 2006 (eJournals) et de 1991 à 2013 (Ebook series collections),1898,2013,230 titres (eJournals) et 502 titres (Ebook series collections),Emerald publie des revues et des livres électroniques dans plusieurs domaines disciplinaires, mais avec une forte dominante en commerce, gestion et économie. ,Licences nationales,2015,http://bacon.abes.fr/package2kbart/EMERALD_FRANCE_ISTEXJOURNALS,Tous les établissements publics français (situés ou non sur le territoire français) ayant des missions d’enseignement supérieur et/ou de recherche, les établissements d’enseignement supérieur privés, les CHR/CHU, la BnF, la BPI et toutes les bibliothèques publiques.,http://www.licencesnationales.fr/wp-content/uploads/Emerald_Istex_Licence_signee.pdf,multilingue,Chargé dans l’API-ISTEX,2016,"corpusName.raw:""emerald""",Liste des corpus ISTEX chargés,Jeu de données décrivant la liste des corpus chargés.,https://docs.google.com/drawings/d/14nzpA38UM_uVLtF9ubeKqgjtV3f6NOogftIYh5yrA_w/pub?w=960&h=720,2017/06/13,ISTEX,Les données mises en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX. Comme les métadonnées ISTEX, elles sont placées sous le régime de la licence ouverte/_open licence_ Etalab,http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf,,,,,,,
ark:/67375/XBH-4WZF4NWT-L,nature,Nature Publishing Group,https://publisher-list.data.istex.fr/ark:/67375/H02-12K39592-G,Sciences et techniques,https://inist-category.data.istex.fr/ark:/67375/RZL-MZFQGD7K-2,Des origines à 2012,1869,2012,11 titres,Archives de collections de revues scientifiques.,Licences nationales,2014,http://bacon.abes.fr/package2kbart/NPG_FRANCE_ISTEXJOURNALS,Tous les établissements publics français (situés ou non sur le territoire français) ayant des missions d’enseignement supérieur et/ou de recherche, les établissements d’enseignement supérieur privés, les CHR/CHU, la BnF, la BPI et toutes les bibliothèques publiques.,http://www.licencesnationales.fr/wp-content/uploads/LICENCE-2013-18-ISTEX-NATURE.pdf,multilingue,Chargé dans l’API-ISTEX,2015,"corpusName.raw:""nature""",Liste des corpus ISTEX chargés,Jeu de données décrivant la liste des corpus chargés.,https://docs.google.com/drawings/d/14nzpA38UM_uVLtF9ubeKqgjtV3f6NOogftIYh5yrA_w/pub?w=960&h=720,2017/06/13,ISTEX,Les données mises en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX. Comme les métadonnées ISTEX, elles sont placées sous le régime de la licence ouverte/_open licence_ Etalab,http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf,,,,,,,,,
ark:/67375/XBH-3XSW68JL-F,springer,Springer,https://publisher-list.data.istex.fr/ark:/67375/H02-SWLMH5L1-1,Sciences et techniques,https://inist-category.data.istex.fr/ark:/67375/RZL-MZFQGD7K-2,Des origines à 2013,1832,2013,33 527 titres,Archives de collections de revues scientifiques dans les thématique Sciences : collections anglaises complètes des ebooks en Physique et Astronomie, Chimie et Sciences des Matériaux, Mathématiques, et Ingénierie,Licences nationales,2011,http://bacon.abes.fr/package2kbart/SPRINGER_FRANCE_ISTEXJOURNALS,Tous les établissements publics français (situés ou non sur le territoire français) ayant des missions d’enseignement supérieur et/ou de recherche, les établissements d’enseignement supérieur privés, les CHR/CHU, la BnF, la BPI et toutes les bibliothèques publiques.,http://www.licencesnationales.fr/wp-content/uploads/Licence_Nationale_Springer_OJA_07_2011.pdf,multilingue,Chargé dans l’API-ISTEX,2012,"corpusName.raw:""springer""",Liste des corpus ISTEX chargés,Jeu de données décrivant la liste des corpus chargés.,https://docs.google.com/drawings/d/14nzpA38UM_uVLtF9ubeKqgjtV3f6NOogftIYh5yrA_w/pub?w=960&h=720,2017/06/13,ISTEX,Les données mises en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX. Comme les métadonnées ISTEX, elles sont placées sous le régime de la licence ouverte/_open licence_ Etalab,http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf,,,,,,
ark:/67375/XBH-XPK2D80W-F,numerique-premium,Numérique Premium,https://publisher-list.data.istex.fr/ark:/67375/H02-ZX4M1CKJ-Z,Littérature française et francophone ; Révolution française et Premier Empire,https://inist-category.data.istex.fr/ark:/67375/RZL-D8HWLQ3L-M,Des origines à 2015,1962,2015,268 titres,"Le corpus acquis est constitué de deux bouquets : « Littérature française et francophone » et « Révolution française et Premier Empire ».
Nous attirons votre attention sur le fait que le contenu de ces bouquets diffère en nombre de titres de celui habituellement proposé par Numérique Premium sous ces intitulés.",http://www.licencesnationales.fr/liste-ressource/numerique-premium-ebooks/,2017,https://bacon.abes.fr/package2kbart/NUMERIQUEPREMIUM_FRANCE_ISTEXEBOOKS,Tous les établissements publics français (situés ou non sur le territoire français) ayant des missions d’enseignement supérieur et/ou de recherche, les établissements d’enseignement supérieur privés, la BnF.,http://www.licencesnationales.fr/wp-content/uploads/NumPrem_Licence_signe.pdf,français,Chargé dans l’API-ISTEX,2017,"corpusName.raw:""numerique-premium""",Liste des corpus ISTEX chargés,Jeu de données décrivant la liste des corpus chargés.,https://docs.google.com/drawings/d/14nzpA38UM_uVLtF9ubeKqgjtV3f6NOogftIYh5yrA_w/pub?w=960&h=720,2017/06/13,ISTEX,Les données mises en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX. Comme les métadonnées ISTEX, elles sont placées sous le régime de la licence ouverte/_open licence_ Etalab,http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf,,,,,,,,,,,
ark:/67375/XBH-Z6ZBG4DQ-N,rsc-journals,Royal Society of Chemistry,https://publisher-list.data.istex.fr/ark:/67375/H02-1368GWRS-X,Sciences et techniques,https://inist-category.data.istex.fr/ark:/67375/RZL-MZFQGD7K-2,Des origines à 2011,1841,2011,93 titres,Archives de collections de revues scientifiques dans les thématique Sciences et technique,Licences nationales,2014,http://bacon.abes.fr/package2kbart/RSC_FRANCE_ISTEXJOURNALS,Tous les établissements publics français (situés ou non sur le territoire français) ayant des missions d’enseignement supérieur et/ou de recherche, les établissements d’enseignement supérieur privés, les CHR/CHU, la BnF, la BPI et toutes les bibliothèques publiques.,http://www.licencesnationales.fr/wp-content/uploads/LICENCE-2013-16ISTEX-RSC.pdf,multilingue,Chargé dans l’API-ISTEX,2015,"corpusName.raw:""rsc-journals""",Liste des corpus ISTEX chargés,Jeu de données décrivant la liste des corpus chargés.,https://docs.google.com/drawings/d/14nzpA38UM_uVLtF9ubeKqgjtV3f6NOogftIYh5yrA_w/pub?w=960&h=720,2017/06/13,ISTEX,Les données mises en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX. Comme les métadonnées ISTEX, elles sont placées sous le régime de la licence ouverte/_open licence_ Etalab,http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf,,,,,,,,,
ark:/67375/XBH-9G49N83K-2,rsc-ebooks,Royal Society of Chemistry,https://publisher-list.data.istex.fr/ark:/67375/H02-1368GWRS-X,Sciences et techniques,https://inist-category.data.istex.fr/ark:/67375/RZL-MZFQGD7K-2,Des origines à 2015,1968,2015,1346 titres,Collection complete Ebook ,Licences nationales,2016,http://bacon.abes.fr/package2kbart/RSC_FRANCE_ISTEXEBOOKS,Tous les établissements publics français (situés ou non sur le territoire français) ayant des missions d’enseignement supérieur et/ou de recherche, les établissements d’enseignement supérieur privés, les CHR/CHU, la BnF, la BPI et toutes les bibliothèques publiques.,http://www.licencesnationales.fr/wp-content/uploads/Licence-signee_ISTEX_RSC_ebooks.pdf,multilingue,Chargé dans l’API-ISTEX,2016,"corpusName.raw:""rsc-ebooks""",Liste des corpus ISTEX chargés,Jeu de données décrivant la liste des corpus chargés.,https://docs.google.com/drawings/d/14nzpA38UM_uVLtF9ubeKqgjtV3f6NOogftIYh5yrA_w/pub?w=960&h=720,2017/06/13,ISTEX,Les données mises en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX. Comme les métadonnées ISTEX, elles sont placées sous le régime de la licence ouverte/_open licence_ Etalab,http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf,,,,,,,,,
ark:/67375/XBH-HKKZVM7B-M,elsevier,Elsevier,https://publisher-list.data.istex.fr/ark:/67375/H02-C6NSG6CL-G,Sciences Humaines et Sociales ; Sciences et techniques,https://inist-category.data.istex.fr/ark:/67375/RZL-MZFQGD7K-2,Des origines à 2013,1823,2013,2253 titres et 9 titres en sciences et techniques,Archives de collections de revues scientifiques constitutées de plus de 2200 titres de revues scientifiques publiées par Elsevier comprenant les archives de la Freedom Collection, Lancet et Cell Press, et la collection d’encyclopédies en Sciences de la terre et de l’univers.,Licences nationales,2014,http://bacon.abes.fr/package2kbart/ELSEVIER_FRANCE_ISTEXJOURNALS,Tous les établissements publics français (situés ou non sur le territoire français) ayant des missions d’enseignement supérieur et/ou de recherche, les établissements d’enseignement supérieur privés, les CHR/CHU, la BnF, la BPI et toutes les bibliothèques publiques.,http://www.licencesnationales.fr/wp-content/uploads/Licence-2013-20-ISTEX-ELSEVIER.pdf,multilingue,Chargé dans l’API-ISTEX,2014,"corpusName.raw:""elsevier""",Liste des corpus ISTEX chargés,Jeu de données décrivant la liste des corpus chargés.,https://docs.google.com/drawings/d/14nzpA38UM_uVLtF9ubeKqgjtV3f6NOogftIYh5yrA_w/pub?w=960&h=720,2017/06/13,ISTEX,Les données mises en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX. Comme les métadonnées ISTEX, elles sont placées sous le régime de la licence ouverte/_open licence_ Etalab,http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf,,,,,,,
ark:/67375/XBH-28JZMH20-M,ecco,Gale Cengage,https://publisher-list.data.istex.fr/ark:/67375/H02-P08W2FQ2-9,Histoire et Géographie ; Sciences sociales et Beaux-Arts ; Médecine, Sciences et Technologie ; Langues et littérature ; Religion et philosophie ; Droit,https://inist-category.data.istex.fr/ark:/67375/RZL-CQZJ2R3W-2 ; ,Période de 1701 à 1800,1701,1800,207 414 titres (périodiques et monographiques) ,Inscrite dans la continuité de la base Early English Books Online (EEBO), la base ECCO Eighteenth Century Collections Online est une réalisation de l’éditeur Gale Cengage. Cette base propose la version numérisée d’un vaste corpus de textes du XVIIIème siècle. ECCO compte plus de 180 000 titres (200 000 volumes) imprimés entre 1701 et 1800,http://www.licencesnationales.fr/liste-ressource/eighteenth-century-collections-online/,2012,http://abes.fr/Media/Fichiers/Ressources-electroniques/ECCO_liste_tabulee_perios,Tous les établissements publics français (situés ou non sur le territoire français) ayant des missions d’enseignement supérieur et/ou de recherche, les établissements d’enseignement supérieur privés, la BnF, la BPI, toutes les bibliothèques publiques, et les bibliothèques du réseau culturel français à l’étranger.,http://www.licencesnationales.fr/wp-content/uploads/Licence_Gale_ECCO_2012-05.pdf,multilingue,Chargé dans l’API-ISTEX,2012,"corpusName.raw:""ecco""",Liste des corpus ISTEX chargés,Jeu de données décrivant la liste des corpus chargés.,https://docs.google.com/drawings/d/14nzpA38UM_uVLtF9ubeKqgjtV3f6NOogftIYh5yrA_w/pub?w=960&h=720,2017/06/13,ISTEX,Les données mises en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX. Comme les métadonnées ISTEX, elles sont placées sous le régime de la licence ouverte/_open licence_ Etalab,http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf,,,,,,
ark:/67375/XBH-7M42M2QJ-2,bmj,British Medical Journal,https://publisher-list.data.istex.fr/ark:/67375/H02-ZD657HT6-W,Sciences de la vie et santé ; Sciences Humaines et Sociales ; Sciences et techniques,https://inist-category.data.istex.fr/ark:/67375/RZL-CQZJ2R3W-2 ; https://inist-category.data.istex.fr/ark:/67375/RZL-MZFQGD7K-2,Des origines à 2014,1840,2014,64 titres,Archives de collections de revues scientifiques de 64 titres de revues médicales publiées par le groupe BMJ (British Medical Journal), branche édition de l’association des médecins britanniques (BMA) depuis les origines jusqu’à 2013.,Licences nationales,2014,http://bacon.abes.fr/package2kbart/BMJ_FRANCE_ISTEXJOURNALS,Tous les établissements publics français (situés ou non sur le territoire français) ayant des missions d’enseignement supérieur et/ou de recherche, les établissements d’enseignement supérieur privés, les CHR/CHU, la BnF, la BPI et toutes les bibliothèques publiques.,http://www.licencesnationales.fr/wp-content/uploads/Licence_BMJ_signee.pdf,multilingue,Chargé dans l’API-ISTEX,2014,"corpusName.raw:""bmj""",Liste des corpus ISTEX chargés,Jeu de données décrivant la liste des corpus chargés.,https://docs.google.com/drawings/d/14nzpA38UM_uVLtF9ubeKqgjtV3f6NOogftIYh5yrA_w/pub?w=960&h=720,2017/06/13,ISTEX,Les données mises en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX. Comme les métadonnées ISTEX, elles sont placées sous le régime de la licence ouverte/_open licence_ Etalab,http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf,,,,,,,,
