uri	Nom Etablissement	Type d'Etablissement	Site internet	Alignement data.bnf	Adresse	Rue 	Ville	Pays	Code Postal	Titre du jeu de données	Description	Modèle conceptuel	Créateur	Editeur	Licence	idp-esr-renater	Source de la licence	Date de création	Date de modification
uid:/ABES4OW6QR5FD	VetAgro Sup.Campus vétérinaire de Lyon	Ecoles de formation spécialisée	www.vetagro-sup.fr/fr/			1 avenue Bourgelat -  - 	MARCY L'ETOILE - 	France	69280	Jeu des ayants-droits	Jeu des ayants-droits à l'usage d'ISTEX. Ces données ont été transmises par l'ABES et ont été alignées avec les données issues de data.bnf.fr	https://docs.google.com/drawings/d/e/2PACX-1vRZCzVhwfi1r-MhkNOt1BH0oCk9gcNn5zA6RN-IUCh91RVyyINPEAbZU8PzrrtQcw_NUT17Lqku8miX/pub?w=960&h=720	ISTEX	Lodex team	Les données mise en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX. Comme les métadonnées ISTEX, elles sont placées sous le régime de la licence ouverte/open licence EtalabSource de la licence		http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf	2017/08/30	2017/08/30
uid:/ABESDE6W2DJ4L	VetAgro Sup Campus Agronomique de Clermont-Ferrand	Ecoles de formation spécialisée	www.vetagro-sup.fr/fr/			VetAgro Sup Campus Agronomique de Clermont  89 Avenue de l’Europe -  - BP 35	LEMPDES - 	France	63370	Jeu des ayants-droits	Jeu des ayants-droits à l'usage d'ISTEX. Ces données ont été transmises par l'ABES et ont été alignées avec les données issues de data.bnf.fr	https://docs.google.com/drawings/d/e/2PACX-1vRZCzVhwfi1r-MhkNOt1BH0oCk9gcNn5zA6RN-IUCh91RVyyINPEAbZU8PzrrtQcw_NUT17Lqku8miX/pub?w=960&h=720	ISTEX	Lodex team	Les données mise en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX. Comme les métadonnées ISTEX, elles sont placées sous le régime de la licence ouverte/open licence EtalabSource de la licence		http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf	2017/08/30	2017/08/30
uid:/ABES2IJ1Q7DNC	Université Toulouse 1 Capitole	Universités	http://www.univ-tlse1.fr	http://data.bnf.fr/ark:/12148/cb118657978		2 rue du Doyen-Gabriel-Marty -  - 	TOULOUSE - Cedex 9	France	31042	Jeu des ayants-droits	Jeu des ayants-droits à l'usage d'ISTEX. Ces données ont été transmises par l'ABES et ont été alignées avec les données issues de data.bnf.fr	https://docs.google.com/drawings/d/e/2PACX-1vRZCzVhwfi1r-MhkNOt1BH0oCk9gcNn5zA6RN-IUCh91RVyyINPEAbZU8PzrrtQcw_NUT17Lqku8miX/pub?w=960&h=720	ISTEX	Lodex team	Les données mise en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX. Comme les métadonnées ISTEX, elles sont placées sous le régime de la licence ouverte/open licence EtalabSource de la licence		http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf	2017/08/30	2017/08/30
uid:/ABES3OF4BUB0Y	Université Savoie Mont Blanc	Universités	https://www.univ-smb.fr	http://data.bnf.fr/ark:/12148/cb11863008d		Site de Jacob-Bellecombette - Bâtiment 15 (Bibliothèque) - BP 1104	CHAMBERY - 	France	73011	Jeu des ayants-droits	Jeu des ayants-droits à l'usage d'ISTEX. Ces données ont été transmises par l'ABES et ont été alignées avec les données issues de data.bnf.fr	https://docs.google.com/drawings/d/e/2PACX-1vRZCzVhwfi1r-MhkNOt1BH0oCk9gcNn5zA6RN-IUCh91RVyyINPEAbZU8PzrrtQcw_NUT17Lqku8miX/pub?w=960&h=720	ISTEX	Lodex team	Les données mise en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX. Comme les métadonnées ISTEX, elles sont placées sous le régime de la licence ouverte/open licence EtalabSource de la licence		http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf	2017/08/30	2017/08/30
uid:/ABES5MH8APKFB	Université Pierre et Marie Curie	Universités	http://www.upmc.fr	http://data.bnf.fr/ark:/12148/cb11865824b		Bibliothèque numérique   Bâtiment F74 – mezzanine  4, place Jussieu   -  - 	PARIS  - Cedex 5	France	75252	Jeu des ayants-droits	Jeu des ayants-droits à l'usage d'ISTEX. Ces données ont été transmises par l'ABES et ont été alignées avec les données issues de data.bnf.fr	https://docs.google.com/drawings/d/e/2PACX-1vRZCzVhwfi1r-MhkNOt1BH0oCk9gcNn5zA6RN-IUCh91RVyyINPEAbZU8PzrrtQcw_NUT17Lqku8miX/pub?w=960&h=720	ISTEX	Lodex team	Les données mise en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX. Comme les métadonnées ISTEX, elles sont placées sous le régime de la licence ouverte/open licence EtalabSource de la licence		http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf	2017/08/30	2017/08/30
uid:/ABESCGRIG95TI	ISAE Institut Supérieur de l'Aéronautique et de l'Espace	Ecoles d'ingénieurs	https://www.isae-supaero.fr	http://data.bnf.fr/ark:/12148/cb16186059x		10 avenue Edouard Belin -  - BP 54032	TOULOUSE - Cedex 4	France	31055	Jeu des ayants-droits	Jeu des ayants-droits à l'usage d'ISTEX. Ces données ont été transmises par l'ABES et ont été alignées avec les données issues de data.bnf.fr	https://docs.google.com/drawings/d/e/2PACX-1vRZCzVhwfi1r-MhkNOt1BH0oCk9gcNn5zA6RN-IUCh91RVyyINPEAbZU8PzrrtQcw_NUT17Lqku8miX/pub?w=960&h=720	ISTEX	Lodex team	Les données mise en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX. Comme les métadonnées ISTEX, elles sont placées sous le régime de la licence ouverte/open licence EtalabSource de la licence		http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf	2017/08/30	2017/08/30
uid:/ABESAZPCN1HEO	IRSTEA	EPIC/EPST	http://www.irstea.fr	http://data.bnf.fr/ark:/12148/cb165741178		1 rue Pierre Gilles de Gennes -  - 	ANTONY - 	France	92761	Jeu des ayants-droits	Jeu des ayants-droits à l'usage d'ISTEX. Ces données ont été transmises par l'ABES et ont été alignées avec les données issues de data.bnf.fr	https://docs.google.com/drawings/d/e/2PACX-1vRZCzVhwfi1r-MhkNOt1BH0oCk9gcNn5zA6RN-IUCh91RVyyINPEAbZU8PzrrtQcw_NUT17Lqku8miX/pub?w=960&h=720	ISTEX	Lodex team	Les données mise en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX. Comme les métadonnées ISTEX, elles sont placées sous le régime de la licence ouverte/open licence EtalabSource de la licence		http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf	2017/08/30	2017/08/30
uid:/ABESUY4YT4HU4	INSTITUT PAOLI CALMETTES	ESPIC	www.institutpaolicalmettes.fr			232, Bd Sainte Marguerite - -  - BP 156	MARSEILLE - Cedex 9	France	13273	Jeu des ayants-droits	Jeu des ayants-droits à l'usage d'ISTEX. Ces données ont été transmises par l'ABES et ont été alignées avec les données issues de data.bnf.fr	https://docs.google.com/drawings/d/e/2PACX-1vRZCzVhwfi1r-MhkNOt1BH0oCk9gcNn5zA6RN-IUCh91RVyyINPEAbZU8PzrrtQcw_NUT17Lqku8miX/pub?w=960&h=720	ISTEX	Lodex team	Les données mise en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX. Comme les métadonnées ISTEX, elles sont placées sous le régime de la licence ouverte/open licence EtalabSource de la licence		http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf	2017/08/30	2017/08/30
uid:/ABESG20EV62ZK	Institut National Polytechnique de Toulouse	Ecoles d'ingénieurs	http://www.inp-toulouse.fr	http://data.bnf.fr/ark:/12148/cb11864570f		6 allée Emile Monso -  - BP 34038	TOULOUSE - Cedex 4	France	31029	Jeu des ayants-droits	Jeu des ayants-droits à l'usage d'ISTEX. Ces données ont été transmises par l'ABES et ont été alignées avec les données issues de data.bnf.fr	https://docs.google.com/drawings/d/e/2PACX-1vRZCzVhwfi1r-MhkNOt1BH0oCk9gcNn5zA6RN-IUCh91RVyyINPEAbZU8PzrrtQcw_NUT17Lqku8miX/pub?w=960&h=720	ISTEX	Lodex team	Les données mise en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX. Comme les métadonnées ISTEX, elles sont placées sous le régime de la licence ouverte/open licence EtalabSource de la licence		http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf	2017/08/30	2017/08/30
uid:/ABESGVW6HKIJT	Institut National des Sciences Appliquées de Toulouse	Ecoles d'ingénieurs	http://www.insa-toulouse.fr	http://data.bnf.fr/ark:/12148/cb11864564h		135 avenue de Rangueil -  - 	TOULOUSE - Cedex 4	France	31077	Jeu des ayants-droits	Jeu des ayants-droits à l'usage d'ISTEX. Ces données ont été transmises par l'ABES et ont été alignées avec les données issues de data.bnf.fr	https://docs.google.com/drawings/d/e/2PACX-1vRZCzVhwfi1r-MhkNOt1BH0oCk9gcNn5zA6RN-IUCh91RVyyINPEAbZU8PzrrtQcw_NUT17Lqku8miX/pub?w=960&h=720	ISTEX	Lodex team	Les données mise en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX. Comme les métadonnées ISTEX, elles sont placées sous le régime de la licence ouverte/open licence EtalabSource de la licence		http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf	2017/08/30	2017/08/30
