uri	Code langue	Source code langue	Langue de publication	Description	Information pour catalogueur	Source	Tous les documents  ISTEX pour ce code langue	URI LEXVO	Nom du jeu de données	Description du jeu de données	Modèle conceptuel	Créateur	Editeur	Licence	Source de la licence	Date de creation	Date de modification
ark:/67375/KM1-H93XKKFJ-Z	tur	http://www.loc.gov/standards/iso639-2/php/code_list.php	turc	A language of Turkey		https://www.rero.ch/page.php?section=aacr2&pageid=annexe_	language:tur 	http://lexvo.org/id/iso639-3/tur	Jeu des langues de publication	L'expérimentation LODEX a pour ambition d'extraire de chaque document présent dans le fonds ISTEX un même type d'information pour créer des jeux de données représentatifs, normalisés et interopérables en respectant au maximum les normes du web sémantique. Voici un aperçu des langues de publication décrites dans ce jeu de données. 	https://docs.google.com/drawings/d/1cX_Tro42YlOTYWBR-LkrI6e6nhBxzFZ3oZx9iM3drv8/pub?w=960&h=720	ISTEX	Lodex team	Les données mise en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX. Comme les métadonnées ISTEX, elles sont placées sous le régime de la licence ouverte/open licence EtalabSource de la licence 	http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf	2017/08/04	2017/08/04
ark:/67375/KM1-GRPT203M-W	cze	http://www.loc.gov/standards/iso639-2/php/code_list.php	tchèque	A language of Czech Republic		https://www.rero.ch/page.php?section=aacr2&pageid=annexe_	language:cze	http://lexvo.org/id/iso639-3/ces	Jeu des langues de publication	L'expérimentation LODEX a pour ambition d'extraire de chaque document présent dans le fonds ISTEX un même type d'information pour créer des jeux de données représentatifs, normalisés et interopérables en respectant au maximum les normes du web sémantique. Voici un aperçu des langues de publication décrites dans ce jeu de données. 	https://docs.google.com/drawings/d/1cX_Tro42YlOTYWBR-LkrI6e6nhBxzFZ3oZx9iM3drv8/pub?w=960&h=720	ISTEX	Lodex team	Les données mise en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX. Comme les métadonnées ISTEX, elles sont placées sous le régime de la licence ouverte/open licence EtalabSource de la licence 	http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf	2017/08/04	2017/08/04
ark:/67375/KM1-K56J7677-8	und	http://www.loc.gov/standards/iso639-2/php/code_list.php	indéterminé			https://www.rero.ch/page.php?section=aacr2&pageid=annexe_	language:und	http://lexvo.org/id/iso639-3/und	Jeu des langues de publication	L'expérimentation LODEX a pour ambition d'extraire de chaque document présent dans le fonds ISTEX un même type d'information pour créer des jeux de données représentatifs, normalisés et interopérables en respectant au maximum les normes du web sémantique. Voici un aperçu des langues de publication décrites dans ce jeu de données. 	https://docs.google.com/drawings/d/1cX_Tro42YlOTYWBR-LkrI6e6nhBxzFZ3oZx9iM3drv8/pub?w=960&h=720	ISTEX	Lodex team	Les données mise en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX. Comme les métadonnées ISTEX, elles sont placées sous le régime de la licence ouverte/open licence EtalabSource de la licence 	http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf	2017/08/04	2017/08/04
ark:/67375/KM1-BGNSK1LZ-Q	frm	http://www.loc.gov/standards/iso639-2/php/code_list.php	français moyen		(1400-1600)	https://www.rero.ch/page.php?section=aacr2&pageid=annexe_	language:frm	http://lexvo.org/id/iso639-3/frm	Jeu des langues de publication	L'expérimentation LODEX a pour ambition d'extraire de chaque document présent dans le fonds ISTEX un même type d'information pour créer des jeux de données représentatifs, normalisés et interopérables en respectant au maximum les normes du web sémantique. Voici un aperçu des langues de publication décrites dans ce jeu de données. 	https://docs.google.com/drawings/d/1cX_Tro42YlOTYWBR-LkrI6e6nhBxzFZ3oZx9iM3drv8/pub?w=960&h=720	ISTEX	Lodex team	Les données mise en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX. Comme les métadonnées ISTEX, elles sont placées sous le régime de la licence ouverte/open licence EtalabSource de la licence 	http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf	2017/08/04	2017/08/04
ark:/67375/KM1-92D79T06-5	rus	http://www.loc.gov/standards/iso639-2/php/code_list.php	russe	A language of Russian Federation		https://www.rero.ch/page.php?section=aacr2&pageid=annexe_	language:rus	http://lexvo.org/id/iso639-3/rus	Jeu des langues de publication	L'expérimentation LODEX a pour ambition d'extraire de chaque document présent dans le fonds ISTEX un même type d'information pour créer des jeux de données représentatifs, normalisés et interopérables en respectant au maximum les normes du web sémantique. Voici un aperçu des langues de publication décrites dans ce jeu de données. 	https://docs.google.com/drawings/d/1cX_Tro42YlOTYWBR-LkrI6e6nhBxzFZ3oZx9iM3drv8/pub?w=960&h=720	ISTEX	Lodex team	Les données mise en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX. Comme les métadonnées ISTEX, elles sont placées sous le régime de la licence ouverte/open licence EtalabSource de la licence 	http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf	2017/08/04	2017/08/04
ark:/67375/KM1-B254GJ5T-9	may	http://www.loc.gov/standards/iso639-2/php/code_list.php	malais	A macrolanguage of Malaysia		https://www.rero.ch/page.php?section=aacr2&pageid=annexe_	language:may	http://lexvo.org/id/iso639-3/msa	Jeu des langues de publication	L'expérimentation LODEX a pour ambition d'extraire de chaque document présent dans le fonds ISTEX un même type d'information pour créer des jeux de données représentatifs, normalisés et interopérables en respectant au maximum les normes du web sémantique. Voici un aperçu des langues de publication décrites dans ce jeu de données. 	https://docs.google.com/drawings/d/1cX_Tro42YlOTYWBR-LkrI6e6nhBxzFZ3oZx9iM3drv8/pub?w=960&h=720	ISTEX	Lodex team	Les données mise en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX. Comme les métadonnées ISTEX, elles sont placées sous le régime de la licence ouverte/open licence EtalabSource de la licence 	http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf	2017/08/04	2017/08/04
ark:/67375/KM1-Q0BFFP1F-5	pal	http://www.loc.gov/standards/iso639-2/php/code_list.php	pahlavi		pehlevi	https://www.rero.ch/page.php?section=aacr2&pageid=annexe_	language:pal	http://lexvo.org/id/iso639-3/pal	Jeu des langues de publication	L'expérimentation LODEX a pour ambition d'extraire de chaque document présent dans le fonds ISTEX un même type d'information pour créer des jeux de données représentatifs, normalisés et interopérables en respectant au maximum les normes du web sémantique. Voici un aperçu des langues de publication décrites dans ce jeu de données. 	https://docs.google.com/drawings/d/1cX_Tro42YlOTYWBR-LkrI6e6nhBxzFZ3oZx9iM3drv8/pub?w=960&h=720	ISTEX	Lodex team	Les données mise en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX. Comme les métadonnées ISTEX, elles sont placées sous le régime de la licence ouverte/open licence EtalabSource de la licence 	http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf	2017/08/04	2017/08/04
ark:/67375/KM1-82FJKRRG-4	eng	http://www.loc.gov/standards/iso639-2/php/code_list.php	anglais	A language of United Kingdom		https://www.rero.ch/page.php?section=aacr2&pageid=annexe_	language:eng	http://lexvo.org/id/iso639-3/eng	Jeu des langues de publication	L'expérimentation LODEX a pour ambition d'extraire de chaque document présent dans le fonds ISTEX un même type d'information pour créer des jeux de données représentatifs, normalisés et interopérables en respectant au maximum les normes du web sémantique. Voici un aperçu des langues de publication décrites dans ce jeu de données. 	https://docs.google.com/drawings/d/1cX_Tro42YlOTYWBR-LkrI6e6nhBxzFZ3oZx9iM3drv8/pub?w=960&h=720	ISTEX	Lodex team	Les données mise en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX. Comme les métadonnées ISTEX, elles sont placées sous le régime de la licence ouverte/open licence EtalabSource de la licence 	http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf	2017/08/04	2017/08/04
ark:/67375/KM1-12WSPZQ2-0	alg	http://www.loc.gov/standards/iso639-2/php/code_list.php	algonquin (langues)	A language of Canada	massachusett ;  menomini ; natick	https://www.rero.ch/page.php?section=aacr2&pageid=annexe_	language:alg	http://lexvo.org/id/iso639-5/alg	Jeu des langues de publication	L'expérimentation LODEX a pour ambition d'extraire de chaque document présent dans le fonds ISTEX un même type d'information pour créer des jeux de données représentatifs, normalisés et interopérables en respectant au maximum les normes du web sémantique. Voici un aperçu des langues de publication décrites dans ce jeu de données. 	https://docs.google.com/drawings/d/1cX_Tro42YlOTYWBR-LkrI6e6nhBxzFZ3oZx9iM3drv8/pub?w=960&h=720	ISTEX	Lodex team	Les données mise en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX. Comme les métadonnées ISTEX, elles sont placées sous le régime de la licence ouverte/open licence EtalabSource de la licence 	http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf	2017/08/04	2017/08/04
ark:/67375/KM1-17Z42ZZS-D	peo	http://www.loc.gov/standards/iso639-2/php/code_list.php	persan ancien		perse, vieux (ca. 600-400 av. J.-C.)	https://www.rero.ch/page.php?section=aacr2&pageid=annexe_	language:peo	http://lexvo.org/id/iso639-3/peo	Jeu des langues de publication	L'expérimentation LODEX a pour ambition d'extraire de chaque document présent dans le fonds ISTEX un même type d'information pour créer des jeux de données représentatifs, normalisés et interopérables en respectant au maximum les normes du web sémantique. Voici un aperçu des langues de publication décrites dans ce jeu de données. 	https://docs.google.com/drawings/d/1cX_Tro42YlOTYWBR-LkrI6e6nhBxzFZ3oZx9iM3drv8/pub?w=960&h=720	ISTEX	Lodex team	Les données mise en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX. Comme les métadonnées ISTEX, elles sont placées sous le régime de la licence ouverte/open licence EtalabSource de la licence 	http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf	2017/08/04	2017/08/04
