Titre,Lbellé en français,Est tête d'arborescence,Terme Générique,Terme Spécifique, Description ,Source,Cette resource dans cat INIST
Applied Sciences,Sciences appliquées,Catégorie  Sciences Metrics,n/a,n/a,"Les sciences appliquées sont les sciences visant en premier lieu à la réalisation d'un objectif pratique, notamment par l'application des enseignements tirés des sciences fondamentales, qui elles visent en premier lieu à élucider certaines questions concernant le monde et à progresser dans sa connaissance. Source : https://fr.wikipedia.org/wiki/Science_appliquée",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-18XKSLK9-M
"Agriculture, Fisheries & Forestry","Agriculture, pêcherie & foresterie",n/a,Applied Sciences,Agronomy & Agriculture ; Dairy & Animal Science ; Fisheries ; Food Science Forestry ; Horticulture ; Veterinary Sciences ; Veterinary Sciences,n/a,http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-V9VJ9707-4
Agronomy & Agriculture ; ,Agronomie et agriculture,n/a,"Agriculture, Fisheries & Forestry",n/a,"L'agronomie est l'ensemble des sciences exactes, naturelles, économiques et sociales, et des techniques auxquelles il est fait appel dans la pratique et la compréhension de l'agriculture. Source : https://fr.wikipedia.org/wiki/Agronomie",http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-V9VJ9707-4
Dairy & Animal Science,Sciences animales et laitières,n/a,"Agriculture, Fisheries & Forestry",n/a,Animal Science (également animale Bioscience ) est décrit comme « l' étude de la biologie des animaux qui sont sous le contrôle de l' humanité». Source : https://en.wikipedia.org/wiki/Animal_science,http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-9PBFZJXN-R
Fisheries,Pêcheries,n/a,"Agriculture, Fisheries & Forestry",n/a,"Une pêcherie est un espace circonscrit dans une étendue d'eau, généralement à proximité immédiate du littoral, qui a été aménagé afin de pouvoir y faciliter la pratique de la pêche. Par extension, le mot désigne également les aménagements spécifiques qui y sont installés. Source : https://fr.wikipedia.org/wiki/Pêcherie",http://www.science-metrix.com/fr/classification ,n/a
Food Science,Sciences des aliments,n/a,"Agriculture, Fisheries & Forestry",n/a,La science alimentaire est la science appliquée consacré à l'étude de la nourriture .  Source : https://en.wikipedia.org/wiki/Food_science,http://www.science-metrix.com/fr/classification ,http://inist-category.lod.istex.fr/ark:/67375/JPB-PWF2QMNS-K
Forestry,Foresterie (sylviculture),n/a,"Agriculture, Fisheries & Forestry",n/a,"La sylviculture est l'activité et l'ensemble des méthodes et pratiques par lesquelles le « sylviculteur » agit sur le développement, la gestion et la mise en valeur d'une forêt ou d'un boisement pour en obtenir un bénéfice économique et/ou certains services profitables à la société. Source :https://fr.wikipedia.org/wiki/Sylviculture",http://www.science-metrix.com/fr/classification ,n/a
Horticulture,Horticulture,n/a,"Agriculture, Fisheries & Forestry",n/a,"Selon le dictionnaire de l'Académie française, l'horticulture est un art. L'horticulture est l'art de cultiver les jardins, de pratiquer la culture des légumes, des fleurs, des arbres ou des arbustes fruitiers et d'ornement. Le terme est probablement un emprunt savant à l'anglais, il se compose du latin classique hortus « jardin » et du mot culture, sur le modèle d’agriculture. Source : https://fr.wikipedia.org/wiki/Horticulture",http://www.science-metrix.com/fr/classification ,n/a
Veterinary Sciences,Sciences vétérinaires,n/a,"Agriculture, Fisheries & Forestry",n/a,"La médecine vétérinaire est la branche de la médecine qui traite de la prévention, du diagnostic et du traitement des maladies, des troubles et des blessures chez les animaux non-humains. La portée de la médecine vétérinaire est large, couvrant toutes les espèces animales, à la fois domestiques et sauvages. Source : https://en.wikipedia.org/wiki/Veterinary_medicine",http://www.science-metrix.com/fr/classification ,n/a
Built Environment & Design,Environnement bâti & design,n/a,Applied Sciences,Architecture ; Building & Construction ; Design Practice & Management ; Urban & Regional Planning,n/a,http://www.science-metrix.com/fr/classification ,
