uri	Nom de la catégorie	Source de la catégorie	Libellé en français	Description	Est tête d'arborescence	Terme Générique	Terme Spécifique	Cet item dans catégorie INIST	Cette ressource dans ISTEX	Nom du jeu de données	Description du jeu de données	Modèle conceptuel	Créateur	Editeur	Date de Création	Licence	Site de la licence
ark:/67375/Q4W-5ZXTK682-X	Endocrinology & Metabolism	http://www.science-metrix.com/fr/classification	Endocrinologie et métabolisme	L'endocrinologie est la science de la médecine qui étudie les hormones. Son nom signifie : l'étude (logos) de la sécrétion (crine) interne (endo). 2)Le métabolisme est l'ensemble des réactions chimiques qui se déroulent au sein d'un être vivant pour lui permettre notamment de se maintenir en vie, de se reproduire, de se développer et de répondre aux stimulus de son environnement.  		Clinical Medicine		https://inist-category.data.istex.fr/ark:/67375/RZL-Q1P286P1-M	"categories.scienceMetrix.raw:(""endocrinology & metabolism"")"	Jeu de données catégories Science-Metrix	Ce jeu correspond au choix de documenter des données ISTEX et plus particulièrement les catégories Science-Metrix. Ces catégories ont fait l'objet d'une structuration hiérarchique au format SKOS après enrichissement, et d'un alignement avec les catégories Inist.	https://docs.google.com/drawings/d/1DtaYjhujWku1bKoAHdcCez2DSzneDXTQz61mqQKMskA/pub?w=960&h=720	ISTEX	LODEX team	2017-06-09	Les données mise en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX.  Comme les métadonnées ISTEX, elles sont  placées sous le régime de la licence ouverte/open licence Etalab 	2017-06-09
ark:/67375/Q4W-572RB6G2-7	Speech-Language Pathology & Audiology	http://www.science-metrix.com/fr/classification	Orthophonie et audiologie	1)L'orthophonie (ortho : « correct », phonè : « voix »), ou logopédie (logos : « parole », paideia : « éducation ») en Belgique et en Suisse, est un champ d'expertise spécialisé dans l'évaluation et le traitement des troubles de la communication liés à la voix, à la parole et au langage oral et écrit. Le champ d'expertise de l'orthophonie inclut aussi les troubles de la déglutition et de motricité bucco-faciale. 2)L'audiologie est une branche de la science qui étudie l'audition. 		Public Health & Health Services		https://inist-category.data.istex.fr/ark:/67375/RZL-3QQXJ1CP-H	"categories.scienceMetrix.raw:(""speech-language pathology & audiology"")"	Jeu de données catégories Science-Metrix	Ce jeu correspond au choix de documenter des données ISTEX et plus particulièrement les catégories Science-Metrix. Ces catégories ont fait l'objet d'une structuration hiérarchique au format SKOS après enrichissement, et d'un alignement avec les catégories Inist.	https://docs.google.com/drawings/d/1DtaYjhujWku1bKoAHdcCez2DSzneDXTQz61mqQKMskA/pub?w=960&h=720	ISTEX	LODEX team	2017-06-09	Les données mise en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX.  Comme les métadonnées ISTEX, elles sont  placées sous le régime de la licence ouverte/open licence Etalab 	2017-06-09
ark:/67375/Q4W-6ZWXL0RH-4	Chemical Physics	http://www.science-metrix.com/fr/classification	Physico-chimie	La physico-chimie est une sous-discipline de la chimie et de la physique qui étudie les phénomènes physico-chimiques en utilisant des techniques de la physique atomique et moléculaire et de la physique de la matière condensée. En somme, c'est la branche de la physique qui étudie la nature physique de la chimie. À la frontière entre la chimie et la physique, la physico-chimie se différencie de la chimie physique en ce sens qu'elle se concentre avant tout sur des éléments et des théories caractéristiques de la physique. 		Physics & Astronomy		https://inist-category.data.istex.fr/ark:/67375/RZL-CQ66GD5G-R	"categories.scienceMetrix.raw:(""chemical physics"")"	Jeu de données catégories Science-Metrix	Ce jeu correspond au choix de documenter des données ISTEX et plus particulièrement les catégories Science-Metrix. Ces catégories ont fait l'objet d'une structuration hiérarchique au format SKOS après enrichissement, et d'un alignement avec les catégories Inist.	https://docs.google.com/drawings/d/1DtaYjhujWku1bKoAHdcCez2DSzneDXTQz61mqQKMskA/pub?w=960&h=720	ISTEX	LODEX team	2017-06-09	Les données mise en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX.  Comme les métadonnées ISTEX, elles sont  placées sous le régime de la licence ouverte/open licence Etalab 	2017-06-09
ark:/67375/Q4W-WND43FL3-0	Social Sciences Methods	http://www.science-metrix.com/fr/classification	Méthodes des sciences sociales			Social Sciences		https://inist-category.data.istex.fr/ark:/67375/RZL-CQZJ2R3W-2	"categories.scienceMetrix.raw:(""social sciences methods"")"	Jeu de données catégories Science-Metrix	Ce jeu correspond au choix de documenter des données ISTEX et plus particulièrement les catégories Science-Metrix. Ces catégories ont fait l'objet d'une structuration hiérarchique au format SKOS après enrichissement, et d'un alignement avec les catégories Inist.	https://docs.google.com/drawings/d/1DtaYjhujWku1bKoAHdcCez2DSzneDXTQz61mqQKMskA/pub?w=960&h=720	ISTEX	LODEX team	2017-06-09	Les données mise en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX.  Comme les métadonnées ISTEX, elles sont  placées sous le régime de la licence ouverte/open licence Etalab 	2017-06-09
ark:/67375/Q4W-Q7SX166N-3	Substance Abuse	http://www.science-metrix.com/fr/classification	Abus de substances	Un abus de substances (abus substantiel ou troubles mentaux et du comportement liés à l'utilisation de substances psycho-actives) se réfère à un niveau comportemental caractérisé par l'abus (c'est-à-dire l'usage excessif) d'une ou plusieurs substances considérées comme addictives. 		Public Health & Health Services		https://inist-category.data.istex.fr/ark:/67375/RZL-TV70PFT8-K	"categories.scienceMetrix.raw:(""substance abuse"")"	Jeu de données catégories Science-Metrix	Ce jeu correspond au choix de documenter des données ISTEX et plus particulièrement les catégories Science-Metrix. Ces catégories ont fait l'objet d'une structuration hiérarchique au format SKOS après enrichissement, et d'un alignement avec les catégories Inist.	https://docs.google.com/drawings/d/1DtaYjhujWku1bKoAHdcCez2DSzneDXTQz61mqQKMskA/pub?w=960&h=720	ISTEX	LODEX team	2017-06-09	Les données mise en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX.  Comme les métadonnées ISTEX, elles sont  placées sous le régime de la licence ouverte/open licence Etalab 	2017-06-09
ark:/67375/Q4W-M0P8VJWQ-T	Social Sciences	http://www.science-metrix.com/fr/classification	Sciences sociales			Economic & Social Sciences	Criminology ;  Cultural Studies ; Demography ; Education ; Family Studies ; Gender Studies ; Geography ; Information & Library Sciences ; International Relations ; Law ; Political Science & Public Administration ; Science Studies ; Social Sciences Methods ; Social Work ;	https://inist-category.data.istex.fr/ark:/67375/RZL-CQZJ2R3W-2	"categories.scienceMetrix.raw:(""social sciences"")"	Jeu de données catégories Science-Metrix	Ce jeu correspond au choix de documenter des données ISTEX et plus particulièrement les catégories Science-Metrix. Ces catégories ont fait l'objet d'une structuration hiérarchique au format SKOS après enrichissement, et d'un alignement avec les catégories Inist.	https://docs.google.com/drawings/d/1DtaYjhujWku1bKoAHdcCez2DSzneDXTQz61mqQKMskA/pub?w=960&h=720	ISTEX	LODEX team	2017-06-09	Les données mise en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX.  Comme les métadonnées ISTEX, elles sont  placées sous le régime de la licence ouverte/open licence Etalab 	2017-06-09
ark:/67375/Q4W-0GL924CZ-T	Economic & Social Sciences	http://www.science-metrix.com/fr/classification	Sciences économiques & sociales		Catégorie  Sciences Metrics			https://inist-category.data.istex.fr/ark:/67375/RZL-CQZJ2R3W-2	"categories.scienceMetrix.raw:(""economic & social sciences"")"	Jeu de données catégories Science-Metrix	Ce jeu correspond au choix de documenter des données ISTEX et plus particulièrement les catégories Science-Metrix. Ces catégories ont fait l'objet d'une structuration hiérarchique au format SKOS après enrichissement, et d'un alignement avec les catégories Inist.	https://docs.google.com/drawings/d/1DtaYjhujWku1bKoAHdcCez2DSzneDXTQz61mqQKMskA/pub?w=960&h=720	ISTEX	LODEX team	2017-06-09	Les données mise en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX.  Comme les métadonnées ISTEX, elles sont  placées sous le régime de la licence ouverte/open licence Etalab 	2017-06-09
ark:/67375/Q4W-V2FDZ5QB-J	Tropical Medicine	http://www.science-metrix.com/fr/classification	Médecine tropicale	La médecine tropicale est comme son nom l’indique une branche de la médecine consacrée aux affections typiques des zones tropicales (les « maladies tropicales »). Elle concerne ces zones elles-mêmes mais aussi et de plus en plus le monde entier, en raison de la mondialisation et l’accélération des transports de biens et personnes, qui contribuent à diffuser sur toute la planète des pathogènes et leurs vecteurs. 		Clinical Medicine		https://inist-category.data.istex.fr/ark:/67375/RZL-HRV9MLJH-T	"categories.scienceMetrix.raw:(""tropical medicine"")"	Jeu de données catégories Science-Metrix	Ce jeu correspond au choix de documenter des données ISTEX et plus particulièrement les catégories Science-Metrix. Ces catégories ont fait l'objet d'une structuration hiérarchique au format SKOS après enrichissement, et d'un alignement avec les catégories Inist.	https://docs.google.com/drawings/d/1DtaYjhujWku1bKoAHdcCez2DSzneDXTQz61mqQKMskA/pub?w=960&h=720	ISTEX	LODEX team	2017-06-09	Les données mise en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX.  Comme les métadonnées ISTEX, elles sont  placées sous le régime de la licence ouverte/open licence Etalab 	2017-06-09
ark:/67375/Q4W-86BX5JHN-B	Health Sciences	http://www.science-metrix.com/fr/classification	Sciences de la santé		Catégorie  Sciences Metrics			https://inist-category.data.istex.fr/ark:/67375/RZL-MZFQGD7K-2	"categories.scienceMetrix.raw:(""health sciences"")"	Jeu de données catégories Science-Metrix	Ce jeu correspond au choix de documenter des données ISTEX et plus particulièrement les catégories Science-Metrix. Ces catégories ont fait l'objet d'une structuration hiérarchique au format SKOS après enrichissement, et d'un alignement avec les catégories Inist.	https://docs.google.com/drawings/d/1DtaYjhujWku1bKoAHdcCez2DSzneDXTQz61mqQKMskA/pub?w=960&h=720	ISTEX	LODEX team	2017-06-09	Les données mise en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX.  Comme les métadonnées ISTEX, elles sont  placées sous le régime de la licence ouverte/open licence Etalab 	2017-06-09
ark:/67375/Q4W-8B02JZTL-C	Allergy	http://www.science-metrix.com/fr/classification	Allergologie	L'allergologie est une spécialité médicale de fonction prenant en charge les maladies provoquées par une réponse spécifique anormale de l'organisme à son environnement normalement bien toléré.		Clinical Medicine		https://inist-category.data.istex.fr/ark:/67375/RZL-0GXZ07J3-9	"categories.scienceMetrix.raw:(""allergy"")"	Jeu de données catégories Science-Metrix	Ce jeu correspond au choix de documenter des données ISTEX et plus particulièrement les catégories Science-Metrix. Ces catégories ont fait l'objet d'une structuration hiérarchique au format SKOS après enrichissement, et d'un alignement avec les catégories Inist.	https://docs.google.com/drawings/d/1DtaYjhujWku1bKoAHdcCez2DSzneDXTQz61mqQKMskA/pub?w=960&h=720	ISTEX	LODEX team	2017-06-09	Les données mise en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX.  Comme les métadonnées ISTEX, elles sont  placées sous le régime de la licence ouverte/open licence Etalab 	2017-06-09
