Titre,Est tête d'arborescence,Terme Générique,Verbalisation française,Description   
Science Citation Index Expanded,Catégorie Web of Science,n/a,,
Acoustics,n/a,Science Citation Index Expanded,Acoustique,"Acoustics covers resources on the study of the generation, control, transmission, reception, and effects of sounds. Relevant subjects include linear and nonlinear acoustics; atmospheric sound; underwater sound; the effects of mechanical vibrations; architectural acoustics; audio engineering; audiology; and ultrasound applications. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Agricultural Economics & Policy,n/a,Science Citation Index Expanded,Politique et économie agricoles,"Agricultural Economics & Policy covers resources concerning the production, distribution, and consumption of agricultural commodities as well as the managerial and policy decisions concerning these commodities. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Agricultural Engineering,n/a,Science Citation Index Expanded,Génie agricole,"Agricultural Engineering covers resources concerning many engineering applications in agriculture, including the design of machines, equipment, and buildings; soil and water engineering; irrigation and drainage engineering; crop harvesting, processing, and storage; animal production technology, housing, and equipment; precision agriculture; post-harvest processing and technology; rural development; agricultural mechanization; horticultural engineering; greenhouse structures and engineering, bioenergy and aquacultural engineering. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
"Agriculture, Dairy & Animal Science",n/a,Science Citation Index Expanded,"Agriculture, science laitière et animale","Agriculture, Dairy & Animal Science covers resources on the selection, breeding and management of livestock, including animal science, animal nutrition, poultry science, animal breeding and genetics, dairy science, and animal production science. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
"Agriculture, Multidisciplinary",n/a,Science Citation Index Expanded,"Agriculture , Multidisciplinaire","Agriculture, Multidisciplinary covers resources having a general or interdisciplinary approach to the agricultural sciences. Regional and multi-subject resources are also covered. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Agronomy,n/a,Science Citation Index Expanded,Agronomie,"Agronomy covers resources on the selection, breeding, management, and post-harvest treatment of crops including crop protection and science, seed science, plant nutrition, plant and soil science, soil management and tillage, weed science, agroforestry, agroclimatology, and agricultural water management. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Allergy,n/a,Science Citation Index Expanded,Allergie,"Allergy covers resources dealing with the full spectrum of immunologically-mediated hypersensitivity reactions including immediate or acute hypersensitivity, dermatitis, and asthma. This category also covers resources on the underlying cellular and molecular immunology specific to allergic reactivity, pathogenesis, tissue damage, clinical presentation, and modes of treatment. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Anatomy & Morphology,n/a,Science Citation Index Expanded,Anatomie & Morphologie,"Anatomy & Morphology includes resources describing the characteristics, generation, and organization of structure in vertebrates or invertebrates. Topics cover embryology, developmental morphology, and functional anatomy, as well as specific structures, systems, or organisms. Resources on plant structure and embryology are placed preferentially in the PLANT SCIENCE category.Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Andrology,n/a,Science Citation Index Expanded,Andrologie,"Andrology includes resources focused on the development, function, and disorders of male morphology and reproductive systems. Topics include gonad formation, gamete generation and function, male reproductive health and endocrinology, and sex determination in the male embryo. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Anesthesiology,n/a,Science Citation Index Expanded,Anesthésiologie,"Anesthesiology covers resources that focus on the administration of anesthetics, the treatment of pain, and the use of life support systems. This category also includes specific resources on cardiovascular anesthesia, pediatric anesthesia, and neurosurgical anesthesia. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
Astronomy & Astrophysics,n/a,Science Citation Index Expanded,Astronomie & Astrophysique,"Astronomy & Astrophysics covers resources that focus on the science of the celestial bodies and their magnitudes, motions, and constitution. Topics include the properties of celestial bodies such as luminosity, size, mass, density, temperature, and chemical composition, as well as their origin and evolution. This category includes some resources on planetary science that focus on astrophysical aspects of planets.General resources on planetary science are placed in the GEOCHEMISTRY & GEOPHYSICS category. Source:  http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/"
