uri	Titre	Verbalisation française	Source	Description	Est tête d'arborescence	Terme Générique	Cette ressource dans ISTEX	Nom du jeu de données	Modèle conceptuel	Description du jeu de données	Créateur	Editeur	date de création	Licence	Source de la licence
ark:/67375/NHZ-Z5TF7MZR-C	Chemistry, Inorganic & Nuclear	Chimie, Inorganique & Nucléaire	http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/	Chemistry, Inorganic & Nuclear includes resources on both inorganic and nuclear chemistry. Chemistry, Inorganic covers resources that are concerned with non-carbon elements and the preparation, properties, and reactions of their compounds. It also includes resources on the study of certain simple carbon compounds, including the oxides, carbon disulfide, the halides, hydrogen cyanide, and salts, such as the cyanides, cyanates, carbonates, and hydrogencarbonates. Resources on coordination chemistry and organo-metallic compounds (those containing a carbon-metal bond) are also covered in this category. Chemistry, Nuclear includes resources on the study of the atomic nucleus, including fission and fusion reactions and their products. This category also covers radiochemistry resources focusing on such topics as the preparation of radioactive compounds, the separation of isotopes by chemical reactions, the use of radioactive labels in studies of mechanisms, and experiments on the chemical reactions and compounds of transuranic elements.		Science Citation Index Expanded	"categories.wos.raw:(""chemistry, inorganic & nuclear"")"	Jeu de données catégories Web Of Science 	https://docs.google.com/drawings/d/1LzjO-oD6snh0MYfqxfPB7q-LU6Dev1SRmJstXFGzgvg/pub?w=960&h=720	Cette table correspond au choix de documenter des données ISTEX et plus particulièrement les catégories Web Of Science.	ISTEX	LODEX team	2015-05-12	 Les données mise en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX. Comme les métadonnées ISTEX, elles sont placées sous le régime de la licence ouverte/open licence Etalab	http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf
ark:/67375/NHZ-036SSCQ9-3	History	Histoire	http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/	The History category in Social Science covers resources that are primarily concerned with political, social, and economic history. This category also includes history resources that focus on a particular group, country or geographic area.		Social Science Citation Index	"categories.wos.raw:(""history"")"	Jeu de données catégories Web Of Science 	https://docs.google.com/drawings/d/1LzjO-oD6snh0MYfqxfPB7q-LU6Dev1SRmJstXFGzgvg/pub?w=960&h=720	Cette table correspond au choix de documenter des données ISTEX et plus particulièrement les catégories Web Of Science.	ISTEX	LODEX team	2015-05-12	 Les données mise en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX. Comme les métadonnées ISTEX, elles sont placées sous le régime de la licence ouverte/open licence Etalab	http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf
ark:/67375/NHZ-9L4QQX4H-J	Computer Science, Information Systems	Science informatique, Systèmes d'information	http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/	Computer Science, Information Systems covers resources that focus on the acquisition, processing, storage, management, and dissemination of electronic information that can be read by humans, machines, or both. This category also includes resources for telecommunications systems and discipline-specific subjects such as medical informatics, chemical information processing systems, geographical information systems, and some library science. 		Science Citation Index Expanded	"categories.wos.raw:(""computer science, information systems"")"	Jeu de données catégories Web Of Science 	https://docs.google.com/drawings/d/1LzjO-oD6snh0MYfqxfPB7q-LU6Dev1SRmJstXFGzgvg/pub?w=960&h=720	Cette table correspond au choix de documenter des données ISTEX et plus particulièrement les catégories Web Of Science.	ISTEX	LODEX team	2015-05-12	 Les données mise en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX. Comme les métadonnées ISTEX, elles sont placées sous le régime de la licence ouverte/open licence Etalab	http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf
ark:/67375/NHZ-SLHDMGS2-9	Developmental Biology	Biologie du développement	http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/	Developmental Biology includes resources focused on the specific mechanisms of cell, tissue, and organism development, as well as gametogenesis, fertilization, biochemistry and molecular genetic control of development, cell biology of gametes and zygotes, and embryology. 		Science Citation Index Expanded	"categories.wos.raw:(""developmental biology"")"	Jeu de données catégories Web Of Science 	https://docs.google.com/drawings/d/1LzjO-oD6snh0MYfqxfPB7q-LU6Dev1SRmJstXFGzgvg/pub?w=960&h=720	Cette table correspond au choix de documenter des données ISTEX et plus particulièrement les catégories Web Of Science.	ISTEX	LODEX team	2015-05-12	 Les données mise en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX. Comme les métadonnées ISTEX, elles sont placées sous le régime de la licence ouverte/open licence Etalab	http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf
ark:/67375/NHZ-FX7B4Z5Q-8	Engineering, Mechanical	Génie, Mécanique	http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/	Engineering, Mechanical includes resources on the generation, transmission, and use of heat and mechanical power, as well as with the production and operation of tools, machinery, and their products. Topics in this category include heat transfer and thermodynamics, fatigue and fracture, wear, tribology, energy conversion, hydraulics, pneumatics, microelectronics, plasticity, strain analysis, and aerosol technology. 		Science Citation Index Expanded	"categories.wos.raw:(""engineering, mechanical"")"	Jeu de données catégories Web Of Science 	https://docs.google.com/drawings/d/1LzjO-oD6snh0MYfqxfPB7q-LU6Dev1SRmJstXFGzgvg/pub?w=960&h=720	Cette table correspond au choix de documenter des données ISTEX et plus particulièrement les catégories Web Of Science.	ISTEX	LODEX team	2015-05-12	 Les données mise en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX. Comme les métadonnées ISTEX, elles sont placées sous le régime de la licence ouverte/open licence Etalab	http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf
ark:/67375/NHZ-350XKNS0-F	Medical Informatics	Informatique médicale	http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/	Medical Informatics covers resources on health care information in clinical studies and medical research. This category includes resources on the evaluation, assessment, and use of health care technology, its consequences for patients, and its impact on society. 		Science Citation Index Expanded	"categories.wos.raw:(""medical informatics"")"	Jeu de données catégories Web Of Science 	https://docs.google.com/drawings/d/1LzjO-oD6snh0MYfqxfPB7q-LU6Dev1SRmJstXFGzgvg/pub?w=960&h=720	Cette table correspond au choix de documenter des données ISTEX et plus particulièrement les catégories Web Of Science.	ISTEX	LODEX team	2015-05-12	 Les données mise en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX. Comme les métadonnées ISTEX, elles sont placées sous le régime de la licence ouverte/open licence Etalab	http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf
ark:/67375/NHZ-016J25HS-D	Dance	Danse	http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/	Dance includes resources on all forms of the art - ballet, modern, jazz, etc. Performance reviews are covered in this category, as are resources on dance history. S		Arts and Humanities Citation Index	"categories.wos.raw:(""dance"")"	Jeu de données catégories Web Of Science 	https://docs.google.com/drawings/d/1LzjO-oD6snh0MYfqxfPB7q-LU6Dev1SRmJstXFGzgvg/pub?w=960&h=720	Cette table correspond au choix de documenter des données ISTEX et plus particulièrement les catégories Web Of Science.	ISTEX	LODEX team	2015-05-12	 Les données mise en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX. Comme les métadonnées ISTEX, elles sont placées sous le régime de la licence ouverte/open licence Etalab	http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf
ark:/67375/NHZ-W3Q2LXFP-H	Health Care Sciences & Services	Services & Sciences de la santé	http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/	Health Care Sciences & Services covers resources on health services, hospital administration, health care management, health care financing, health policy and planning, health economics, health education, history of medicine, and palliative care. 		Science Citation Index Expanded	"categories.wos.raw:(""health care sciences & services"")"	Jeu de données catégories Web Of Science 	https://docs.google.com/drawings/d/1LzjO-oD6snh0MYfqxfPB7q-LU6Dev1SRmJstXFGzgvg/pub?w=960&h=720	Cette table correspond au choix de documenter des données ISTEX et plus particulièrement les catégories Web Of Science.	ISTEX	LODEX team	2015-05-12	 Les données mise en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX. Comme les métadonnées ISTEX, elles sont placées sous le régime de la licence ouverte/open licence Etalab	http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf
ark:/67375/NHZ-Z2M20QT8-4	Literature, African, Australian, Canadian	Littérature, Africaine, Australienne, Canadienne	http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/	"Literature, African, Australian, Canadian includes resources concerned with literature written in English from the African continent, as well as Australia, New Zealand, and Canada (sometimes referred to as ""Commonwealth Literature""). "		Arts and Humanities Citation Index	"categories.wos.raw:(""literature, african, australian, canadian"")"	Jeu de données catégories Web Of Science 	https://docs.google.com/drawings/d/1LzjO-oD6snh0MYfqxfPB7q-LU6Dev1SRmJstXFGzgvg/pub?w=960&h=720	Cette table correspond au choix de documenter des données ISTEX et plus particulièrement les catégories Web Of Science.	ISTEX	LODEX team	2015-05-12	 Les données mise en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX. Comme les métadonnées ISTEX, elles sont placées sous le régime de la licence ouverte/open licence Etalab	http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf
ark:/67375/NHZ-LH2ZZFT6-1	Astronomy & Astrophysics	Astronomie & Astrophysique	http://ip-science.thomsonreuters.com/mjl/scope/scope_scie/	Astronomy & Astrophysics covers resources that focus on the science of the celestial bodies and their magnitudes, motions, and constitution. Topics include the properties of celestial bodies such as luminosity, size, mass, density, temperature, and chemical composition, as well as their origin and evolution. This category includes some resources on planetary science that focus on astrophysical aspects of planets.General resources on planetary science are placed in the GEOCHEMISTRY & GEOPHYSICS category. 		Science Citation Index Expanded	"categories.wos.raw:(""astronomy & astrophysics"")"	Jeu de données catégories Web Of Science 	https://docs.google.com/drawings/d/1LzjO-oD6snh0MYfqxfPB7q-LU6Dev1SRmJstXFGzgvg/pub?w=960&h=720	Cette table correspond au choix de documenter des données ISTEX et plus particulièrement les catégories Web Of Science.	ISTEX	LODEX team	2015-05-12	 Les données mise en ligne dans le cadre de cette expérimentation sont issues des métadonnées ISTEX. Comme les métadonnées ISTEX, elles sont placées sous le régime de la licence ouverte/open licence Etalab	http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf
